Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-02-15,18 SEA VIEW VILLAS,8545492,revenue,1MK34,Shared Lives - Adult LD,1729.92
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-02-04,3E CONSULTING ENGINEERS LTD,8519838,revenue,1KR01,Responsive Maintenance,275
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-02-03,3E CONSULTING ENGINEERS LTD,8519798,revenue,1KR01,Responsive Maintenance,450.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-02-01,402K CONSULTANCY LTD,8533405,revenue,1MX15,Safeguarding,6001.86
HRA Expenditure,General Management,Revenue Expenditure,2022-02-23,4-5 GRAYS INN SQUARE LTD,8553344,revenue,1HFA7,HRA A&P RTB,1750
Resources,ICT,Revenue Expenditure,2022-02-18,4NET TECHNOLOGIES LTD,8542063,revenue,1CC24,Telecoms,3719.91
Resources,ICT,Revenue Expenditure,2022-02-10,4NET TECHNOLOGIES LTD,8508083,revenue,1CC24,Telecoms,16328.70
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-02-03,A WILDERNESS WAY,8533318,revenue,1MM20,Residential Care MH,23580
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-02-03,A WILDERNESS WAY,8533318,revenue,1MM20,Residential Care MH,-553.14
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-02-03,A WILDERNESS WAY,8531964,revenue,1MC02,Ind Sector Placements,29800.00
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-02-04,A&J KEITH LTD,8510811,revenue,1E464,Castle Nursery Shieldfield,376.00
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-02-25,A&J KEITH LTD,8532135,revenue,1EEK1,Community Family Hub - Central,724
City Futures,Communities Team,Revenue Expenditure,2022-02-04,A&J KEITH LTD,8511268,revenue,1KL28,Carnegie Building,660.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-02-11,A&J KEITH LTD,8543267,revenue,1KBRM,Sub Contractors R & M,48204.42
