Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-23,18 SEA VIEW VILLAS,8463487,revenue,1MK34,Shared Lives - Adult LD,1696
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-11-29,3E CONSULTING ENGINEERS LTD,8466628,revenue,1KR01,Responsive Maintenance,450.00
Resources,ICT,Revenue Expenditure,2021-11-22,4NET TECHNOLOGIES LTD,8462342,revenue,1CC24,Telecoms,3755.03
Resources,ICT,Revenue Expenditure,2021-11-25,4NET TECHNOLOGIES LTD,8443642,revenue,1CC24,Telecoms,11414.55
Operations & Reg Services,Operations,Revenue Expenditure,2021-11-03,A M HIRE,8436924,revenue,1KESY,Spot Hires,832.50
Operations & Reg Services,Operations,Revenue Expenditure,2021-11-04,A S PNEUMATICS,8449568,revenue,1KENB,Fleet Workshops OH,281.9
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-09,A WILDERNESS WAY,8452582,revenue,1MM20,Residential Care MH,31159.29
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-11-05,A WILDERNESS WAY,8450530,revenue,1MC02,Ind Sector Placements,29800.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-11-05,A WILDERNESS WAY,8450531,revenue,1MC02,Ind Sector Placements,27200.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-11-11,A&J KEITH LTD,8455312,revenue,1MX01,Welford Resource Centre LD,2480.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-11-12,A&J KEITH LTD,8455756,revenue,1KBRM,Sub Contractors R & M,100337.12
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-11-12,A&J KEITH LTD,8455765,revenue,1KBRM,Sub Contractors R & M,29890.65
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-11-12,A&J KEITH LTD,8455760,revenue,1KR20,M&E Electrical,27620.73
Place,Commercial Dev & Property,Revenue Expenditure,2021-11-26,A&J KEITH LTD,8455310,revenue,1KKY2,Allendale Accomodation,11964
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-11-05,A1 FOSTER CARE,8450505,revenue,1MC22,IND Sector Foster Carer Costs,4560.00
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-11-19,AAA CHEMICALS LTD,8453952,revenue,3KES1,Fleetmaster Stores Account,968.00
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-11-10,AAA CHEMICALS LTD,8453951,revenue,3KES1,Fleetmaster Stores Account,968
"Children, Education and Skills",Education,Revenue Expenditure,2021-11-23,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8449688,revenue,1EA15,Newcastle City Learning Main,854
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-10,ABBEYFIELD CASTLE FARM,8454010,revenue,1MR14,COVID 19 Rapid Testing,7897.44
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-10,ABBEYFIELD CASTLE FARM,8454066,revenue,1MR14,COVID 19 Rapid Testing,10529.92
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-09,ABBEYFIELD CASTLE FARM,8452564,revenue,1MG20,Residential Care OP,8172.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-09,ABBEYFIELD THE GROVE,8452555,revenue,1MG20,Residential Care OP,16151.09
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-09,ABBEYMOOR,8452565,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-09,ABBEYMOOR LIFEWAYS,8452606,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-09,ABBEYMOOR LIFEWAYS,8452606,revenue,1MM20,Residential Care MH,6248.72
City Futures,Economic Development,Revenue Expenditure,2021-11-08,ABFAD LTD,8451498,revenue,1FN23,ERDF-Business Energy Effciency,995.8
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-01,ABSOLUTE QUALITY CARE,8446176,revenue,1MG50,Home Care-Spot Purchased OP,19614.34
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-01,ABSOLUTE QUALITY CARE,8446176,revenue,1MH50,Home Care PD,3265.33
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-01,ABSOLUTE QUALITY CARE,8446176,revenue,1MK51,Home Care LD,2044.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-01,ABSOLUTE QUALITY CARE,8446176,revenue,1MM50,Home Care MH,461.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-01,ABSOLUTE QUALITY CARE,8446137,revenue,1MK50,Supported Living LD,9431.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-29,ABSOLUTE QUALITY CARE,8466988,revenue,1MG50,Home Care-Spot Purchased OP,21677.26
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-29,ABSOLUTE QUALITY CARE,8466988,revenue,1MH50,Home Care PD,3046.87
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-29,ABSOLUTE QUALITY CARE,8466988,revenue,1MK51,Home Care LD,2836.28
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-29,ABSOLUTE QUALITY CARE,8466988,revenue,1MM50,Home Care MH,673.47
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-11-29,ABSOLUTE QUALITY CARE,8466947,revenue,1MK50,Supported Living LD,9431.08
Resources,Financial Services,Revenue Expenditure,2021-11-25,ACCESS INDEPENDENT,8449073,revenue,1CS00,Revs and Bens Staffing,874
Resources,Financial Services,Revenue Expenditure,2021-11-05,ACCESS INDEPENDENT,8450426,revenue,1CS00,Revs and Bens Staffing,782
Resources,Financial Services,Revenue Expenditure,2021-11-05,ACCESS INDEPENDENT,8450427,revenue,1CS00,Revs and Bens Staffing,374
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-11-08,ACCESS UK LTD,8449826,revenue,1KB00,Head of Citybuild,300
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-11-08,ACCESS UK LTD,8449827,revenue,1KB00,Head of Citybuild,750
