Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Chief Executive's,CD - Legal Services,Revenue Expenditure,2017-06-12,11 KBW,7239309,Revenue,1FG52,North of Tyne Devolution Deal,1650.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-06-27,18 SEA VIEW VILLAS,7252192,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Chief Executive's,CD - Legal Services,Revenue Expenditure,2017-06-13,4 NEW SQUARE,7241065,Revenue,1MD68,Legal Fees Care,1400.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-06-12,A & C WEBER UK,7213032,Revenue,1KE41,Domestic Refuse Collection,2105.00
Chief Executive's,CD - SPAM Trading Account,Revenue Expenditure,2017-06-06,A T F RETAIL LTD,7221310,Revenue,1HFID,HRA Investment Delivery Gen.,750.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-06-09,A&J KEITH LTD,7235507,Revenue,1KVEE,Electrical Stand Alone Works,750.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-06-09,A&J KEITH LTD,7235508,Revenue,1KVEE,Electrical Stand Alone Works,750.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-06-14,A&J KEITH LTD,7242461,Revenue,1KVWC,Minor Works Contracts,107339.19
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-16,A&J KEITH LTD,7244576,Revenue,1KBRM,Sub Contractors R & M,88756.29
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-14,A&J KEITH LTD,7242465,Revenue,1KBRM,Sub Contractors R & M,127242.98
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-14,A&J KEITH LTD,7242466,Revenue,1KBRM,Sub Contractors R & M,17798.80
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-06,A&J KEITH LTD,7235514,Revenue,1KVEE,Electrical Stand Alone Works,750.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-06,A&J KEITH LTD,7235513,Revenue,1KVEE,Electrical Stand Alone Works,750.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-06,A&J KEITH LTD,7235510,Revenue,1KVEE,Electrical Stand Alone Works,815.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-06-06,A&J KEITH LTD,7235516,Revenue,1KVEE,Electrical Stand Alone Works,815.00
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-06-29,A&S LOCKSMITHS,7243159,Revenue,1KL61,Parks R&M,1257.14
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-06-23,A&S LOCKSMITHS,7250344,Revenue,1DR03,Grainger Market,412.75
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-06-06,AA GLOBAL LANGUAGES SERVICES LTD,7235493,Revenue,1CR01,Revs and Bens Supp&Svs,163.00
