Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-09-29,18 SEA VIEW VILLAS,8143695,revenue,1MK34,Shared Lives - Adult LD,1600.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-09-01,18 SEA VIEW VILLAS,8115527,revenue,1MK34,Shared Lives - Adult LD,1600.00
Resources,ICT,Capital Expenditure,2020-09-07,4NET TECHNOLOGIES LTD,8117952,Capital,2CAPI,Capital Investment,2700.00
Resources,ICT,Revenue Expenditure,2020-09-24,4NET TECHNOLOGIES LTD,8139469,revenue,1CC24,Telecoms,3975.28
Operations & Reg Services,Operations,Revenue Expenditure,2020-09-22,A S PNEUMATICS,8130749,revenue,1KENB,Fleet Workshops OH,320.00
Operations & Reg Services,Operations,Revenue Expenditure,2020-09-22,A S PNEUMATICS,8130750,revenue,1KENB,Fleet Workshops OH,396.50
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-09-09,A&J KEITH LTD,8129410,revenue,1KR20,M&E Electrical,186492.88
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-09-21,A&J KEITH LTD,8136967,revenue,1KVWC,Minor Works Contracts,42010
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-09-21,A&J KEITH LTD,8136965,revenue,1KVWC,Minor Works Contracts,5015.72
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-09-17,A&S LOCKSMITHS,8134311,revenue,1KR20,M&E Electrical,372.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-09-14,A1 FOSTER CARE,8131537,revenue,1MC22,IND Sector Foster Carer Costs,7920
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-09-25,AA GLOBAL LANGUAGES SERVICES LTD,8134345,revenue,1MD62,Support to LAC,98
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-09-25,AA GLOBAL LANGUAGES SERVICES LTD,8134345,revenue,1MD67,S17 Children in Need,592.00
Resources,Legal Services,Revenue Expenditure,2020-09-25,AA GLOBAL LANGUAGES SERVICES LTD,8134345,revenue,1FA51,Coroner,2050
"Children, Education and Skills",Education,Revenue Expenditure,2020-09-24,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8139734,revenue,1EA15,Newcastle City Learning Main,286
