Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-28,18 SEA VIEW VILLAS,8425146,revenue,1MK34,Shared Lives - Adult LD,1696
Operations & Reg Services,Community Hubs,Revenue Expenditure,2021-09-03,2CQR LTD,8406737,revenue,1EJ20,City Library and Hub,6435
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-08,3 CORE PUMPING SYSTEMS LTD,8407882,revenue,1KVEM,Mechanical Stand Alone Works,264.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-27,3E CONSULTING ENGINEERS LTD,8424129,revenue,1KR01,Responsive Maintenance,375
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-24,3E CONSULTING ENGINEERS LTD,8422725,revenue,1KR01,Responsive Maintenance,450
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-24,3E CONSULTING ENGINEERS LTD,8417130,revenue,1KR01,Responsive Maintenance,750.00
Resources,ICT,Revenue Expenditure,2021-09-08,4NET TECHNOLOGIES LTD,8413327,revenue,1CC24,Telecoms,3750.17
Resources,ICT,Revenue Expenditure,2021-09-08,4NET TECHNOLOGIES LTD,8413292,revenue,1CC24,Telecoms,3751.24
Resources,ICT,Revenue Expenditure,2021-09-30,4NET TECHNOLOGIES LTD,8419604,revenue,1CC24,Telecoms,3775.33
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-09-13,A WILDERNESS WAY,8414985,revenue,1MC02,Ind Sector Placements,29800
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-09-13,A WILDERNESS WAY,8414986,revenue,1MC02,Ind Sector Placements,27200
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-22,A&J KEITH LTD,8420940,revenue,1KR20,M&E Electrical,220319.31
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-20,A&J KEITH LTD,8418086,revenue,1KVWC,Minor Works Contracts,58863.67
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-13,A&J KEITH LTD,8415302,revenue,1KBRM,Sub Contractors R & M,29983.44
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-07,A&J KEITH LTD,8412235,revenue,1KBRM,Sub Contractors R & M,149278.69
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-07,A&J KEITH LTD,8411516,revenue,1KR12,DDA,609.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-07,A&J KEITH LTD,8412234,revenue,1KR20,M&E Electrical,25928.74
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-09-22,A&S LOCKSMITHS,8420656,revenue,1VH22,Temporary Accommodation Prem,340.30
Place,Commercial Dev & Property,Revenue Expenditure,2021-09-22,A&S LOCKSMITHS,8420655,revenue,1DR03,Grainger Market,335.81
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-09-13,A1 FOSTER CARE,8414883,revenue,1MC22,IND Sector Foster Carer Costs,4560.00
"Children, Education and Skills",Education,Revenue Expenditure,2021-09-08,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8411615,revenue,1EA15,Newcastle City Learning Main,418.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-14,ABBEYFIELD CASTLE FARM,8415790,revenue,1MG20,Residential Care OP,8172.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-14,ABBEYFIELD THE GROVE,8415781,revenue,1MG20,Residential Care OP,12259.26
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-14,ABBEYMOOR,8415791,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-14,ABBEYMOOR LIFEWAYS,8415829,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-14,ABBEYMOOR LIFEWAYS,8415829,revenue,1MM20,Residential Care MH,6248.72
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-09-27,ABERCROMBIES,8423846,revenue,1KF07,Banqueting Suite,1725
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-06,ABSOLUTE QUALITY CARE,8410870,revenue,1MG50,Home Care-Spot Purchased OP,20515.86
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-06,ABSOLUTE QUALITY CARE,8410870,revenue,1MH50,Home Care PD,3380.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-06,ABSOLUTE QUALITY CARE,8410870,revenue,1MK51,Home Care LD,2407.54
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-06,ABSOLUTE QUALITY CARE,8410870,revenue,1MM50,Home Care MH,461.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-06,ABSOLUTE QUALITY CARE,8410831,revenue,1MK50,Supported Living LD,9431.08
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-09-10,ABSOLUTE QUALITY CARE LTD,8414202,revenue,1MD66,CWD Care Packages,2260
Place,Transport,Capital Expenditure,2021-09-28,ACCENT DISTRIBUTION SERVICES,8425362,Capital,2CAPI,Capital Investment,2044.8
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-16,ACCESS UK LTD,8417154,revenue,1KB00,Head of Citybuild,9617.2
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-30,ACCESS UK LTD,8423104,revenue,1KB00,Head of Citybuild,600
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-27,ACCESS UK LTD,8423103,revenue,1KB00,Head of Citybuild,600
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-09-27,ACCOUNTABILITY,8423657,revenue,1MG40,Direct Payments OP,2837.64
Operations & Reg Services,Operations,Revenue Expenditure,2021-09-17,ACP,8406753,revenue,1KESW,Fleet & Maintce Internal SLA,3840.95
Resources,Business Management,Revenue Expenditure,2021-09-17,ACP,8406753,revenue,1KSCD,External Vehicle Tracking,1421.1
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-09-30,ACROL AIR CONDITIONING CO LTD,8410318,revenue,1KBM0,Public & Educ O/H,390.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-09-13,ACTION FOR CHILDREN,8414895,revenue,1MC13,Post 18 Staying Put,1392.4
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2021-09-10,ACTION FOR CHILDREN,8414148,revenue,1EEG3,Ext Comm Services,4059.68
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2021-09-24,ACTION FOR CHILDREN,8421770,revenue,1EEK1,Community Family Hub - Central,3120.00
