Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-03-16,18 SEA VIEW VILLAS,8280930,revenue,1MK34,Shared Lives - Adult LD,1696
Operations & Reg Services,Community Hubs,Revenue Expenditure,2021-03-15,220 SOFT LIMITED,8277851,revenue,1EJ13,Stock Services,750
Resources,ICT,Revenue Expenditure,2021-03-19,4NET TECHNOLOGIES LTD,8274771,revenue,1CC24,Telecoms,33566.00
Place,Fairer Housing Unit,Capital Expenditure,2021-03-23,A & G JOINERY AND BUILDING,8292260,Capital,2N101,Capital Grants,7986.75
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-03-29,A WILDERNESS WAY,8296212,revenue,1MC02,Ind Sector Placements,29800
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-03-01,A WILDERNESS WAY,8265122,revenue,1MC02,Ind Sector Placements,29800.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-03-10,A&J KEITH LTD,8271791,revenue,1KR20,M&E Electrical,94416.88
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-03-10,A&J KEITH LTD,8271790,revenue,1KR20,M&E Electrical,388124.62
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-03-12,A&J KEITH LTD,8273163,revenue,1KBRM,Sub Contractors R & M,22008
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-03-15,A&J KEITH LTD,8274449,revenue,1KVWC,Minor Works Contracts,109140.44
Place,Transport,Revenue Expenditure,2021-03-17,A&S LOCKSMITHS,8262984,revenue,1KEMC,Highways,272.61
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-03-29,A1 FOSTER CARE,8296191,revenue,1MC22,IND Sector Foster Carer Costs,3600.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-03-01,A1 FOSTER CARE,8265095,revenue,1MC22,IND Sector Foster Carer Costs,7920
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-03-12,AAA CHEMICALS LTD,8267542,revenue,3KES1,Fleetmaster Stores Account,787.24
"Children, Education and Skills",Education,Revenue Expenditure,2021-03-04,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8267493,revenue,1EA15,Newcastle City Learning Main,374.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-03-30,ABBEYFIELD CASTLE FARM,8297932,revenue,1MG10,Nursing Care OP,-32238.23
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-03-30,ABBEYFIELD CASTLE FARM,8297932,revenue,1MG20,Residential Care OP,35859.69
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-03-02,ABBEYFIELD CASTLE FARM,8266291,revenue,1MG20,Residential Care OP,10683.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-03-10,ABBEYFIELD CASTLE FARM,8271725,revenue,1MR07,COVID19 Infection Control Fund,6205.5
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-03-31,ABBEYFIELD THE GROVE,8299104,revenue,1MR13,COVID 19 Workforce Capacity,4814.17
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-03-30,ABBEYFIELD THE GROVE,8297919,revenue,1MG20,Residential Care OP,10683.52
