Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-11-24,18 SEA VIEW VILLAS,8186419,revenue,1MK34,Shared Lives - Adult LD,1696
Place,Commercial Dev & Property,Revenue Expenditure,2020-11-13,A T F RETAIL LTD,8164205,revenue,1DV04,Saville Row,450.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-27,A&J KEITH LTD,8178504,revenue,1KVWC,Minor Works Contracts,5200.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-18,A&J KEITH LTD,8174009,revenue,1KR12,DDA,418.86
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-18,A&J KEITH LTD,8183155,revenue,1KVWC,Minor Works Contracts,53175.41
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-18,A&J KEITH LTD,8183156,revenue,1KVWC,Minor Works Contracts,7125.57
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-11,A&J KEITH LTD,8177399,revenue,1KBRM,Sub Contractors R & M,33096.27
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-11,A&J KEITH LTD,8177407,revenue,1KR20,M&E Electrical,51060.87
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-11,A&J KEITH LTD,8177409,revenue,1KR20,M&E Electrical,178992.57
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-09,A1 FOSTER CARE,8174886,revenue,1MC22,IND Sector Foster Carer Costs,7920
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1MB30,Long Term Social Work Teams,25
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1MC21,Fostering Unit,45
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1MD67,S17 Children in Need,857
"Children, Education and Skills",Education,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1E212,Transport Special,62.00
"Children, Education and Skills",Education,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1E320,SEND APR Team,919
Resources,Financial Services,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1CR01,Revs and Bens Supp&Svs,45.00
Resources,Legal Services,Revenue Expenditure,2020-11-12,AA GLOBAL LANGUAGES SERVICES LTD,8178542,revenue,1FA51,Coroner,52
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-11-19,AAA CHEMICALS LTD,8183042,revenue,3KES1,Fleetmaster Stores Account,726.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABBEYFIELD CASTLE FARM,8175686,revenue,1MG20,Residential Care OP,8012.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABBEYFIELD CASTLE FARM,8175686,revenue,1MG30,Deferred Payments-OP,2670.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABBEYFIELD THE GROVE,8175674,revenue,1MG20,Residential Care OP,10683.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABBEYMOOR,8175687,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABBEYMOOR LIFEWAYS,8175723,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABBEYMOOR LIFEWAYS,8175723,revenue,1MM10,Nursing Care MH,4443.68
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-11-24,ABILITY SMART,8186582,revenue,1E45H,Early Years Sector Support,936.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-03,ABSOLUTE QUALITY CARE,8168935,revenue,1MG50,Home Care-Spot Purchased OP,25168.58
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-03,ABSOLUTE QUALITY CARE,8168935,revenue,1MH50,Home Care PD,7115.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-03,ABSOLUTE QUALITY CARE,8168935,revenue,1MK51,Home Care LD,1552.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-03,ABSOLUTE QUALITY CARE,8168935,revenue,1MM50,Home Care MH,452.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-03,ABSOLUTE QUALITY CARE,8168920,revenue,1MK50,Supported Living LD,9246.16
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-10,ABSOLUTE QUALITY CARE,8175759,revenue,1MR07,COVID19 Infection Control Fund,8574.38
Resources,Financial Services,Revenue Expenditure,2020-11-03,ACCESS INDEPENDENT,8168100,revenue,1CS00,Revs and Bens Staffing,1261
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-24,ACCOUNTABILITY,8186990,revenue,1MH40,Direct Payments PD,2782
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2020-11-19,ACORN DAIRY,8183961,revenue,1KFX2,School Meals Overhead,8481.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-11,ACORN DAY NURSERY ST ANDREWS LTD,8177267,revenue,1MD62,Support to LAC,460
Operations & Reg Services,Operations,Revenue Expenditure,2020-11-27,ACP,8189401,revenue,1KENB,Fleet Workshops OH,919.85
Operations & Reg Services,Operations,Revenue Expenditure,2020-11-27,ACP,8189400,revenue,1KESW,Fleet & Maintce Internal SLA,3731.55
Resources,Business Management,Revenue Expenditure,2020-11-27,ACP,8189400,revenue,1KSCD,External Vehicle Tracking,1409.65
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-26,ACTION FOR CHILDREN,8188888,revenue,1MB04,Childrens Standards Unit,3744.48
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-11-24,ACTION FOR CHILDREN,8186301,revenue,1EEK1,Community Family Hub - Central,1360.00
ASC & Integrated Services,Integrated Services,Revenue Income,2020-11-11,ACTION FOUNDATION,8177261,revenue,1VH40,Newcastle Migrant Connection,175674
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-09,ACTIVE ARK,8174912,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-09,ACTIVE ARK,8174913,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-11-09,ACTIVE ARK,8174914,revenue,1MC02,Ind Sector Placements,28901.08
Resources,Democratic Services,Revenue Expenditure,2020-11-27,ADARE LTD,8189343,revenue,1FL01,Electoral Registration Unit,415.76
Resources,Democratic Services,Revenue Expenditure,2020-11-27,ADARE LTD,8189342,revenue,1FL01,Electoral Registration Unit,533.85
Resources,Democratic Services,Revenue Expenditure,2020-11-23,ADARE LTD,8173232,revenue,1FL01,Electoral Registration Unit,2568.11
Resources,Democratic Services,Revenue Expenditure,2020-11-24,ADARE LTD,8186581,revenue,1FL01,Electoral Registration Unit,7003.82
Place,Commercial Dev & Property,Revenue Expenditure,2020-11-25,ADL BUILDERS NE LTD,8188439,revenue,1DV01,Charlotte Sq,639.67
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-11-27,ADT FIRE & SECURITY,8189678,revenue,1VH22,Temporary Accommodation Prem,2062.07
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-11-27,ADT FIRE & SECURITY,8189682,revenue,1VH22,Temporary Accommodation Prem,1980.16
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-11-12,ADT FIRE & SECURITY,8167113,revenue,1VH22,Temporary Accommodation Prem,781.70
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-11-30,ADT FIRE & SECURITY,8190772,revenue,1VH22,Temporary Accommodation Prem,2364.42
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-11-30,ADT FIRE & SECURITY,8190776,revenue,1VH22,Temporary Accommodation Prem,830.45
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2020-11-12,ADT FIRE & SECURITY,8178066,revenue,1KJ94,Security Services Delegated,2652.86
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2020-11-20,ADT FIRE & SECURITY,8184790,revenue,1KJ94,Security Services Delegated,1021.59
Operations&Regulatory Services,Operations,Capital Expenditure,2020-11-26,ADT FIRE & SECURITY,8182007,Capital,2CAPI,Capital Investment,4167
Operations&Regulatory Services,Operations,Capital Expenditure,2020-11-04,ADT FIRE & SECURITY,8166254,Capital,2CAPI,Capital Investment,19487.95
Place,Commercial Dev & Property,Revenue Expenditure,2020-11-27,ADT FIRE & SECURITY,8189675,revenue,1DQ9Y,John Marley Centre,3006
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-24,ADULT SOCIAL WORK PARTNERSHIP,8183937,revenue,1MH20,Residential Care PD,1066.2
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-11-02,ADVANCED CLEANING & MAINTENANCE LTD,8167594,revenue,1MM50,Home Care MH,490.13
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-12,ADVANCED CLEANING & MAINTENANCE LTD,8178291,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,493.51
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-17,ADVANCED WATER TECHNOLOGIES,8175010,revenue,1KR05,District Heating,475
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-19,ADVANCED WATER TECHNOLOGIES,8184049,revenue,1KR05,District Heating,1100
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-19,ADVANCED WATER TECHNOLOGIES,8184049,revenue,1KR8L,Wide District Heating,265.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-11-13,ADVANCED WATER TECHNOLOGIES,8178472,revenue,1KR8L,Wide District Heating,545
