Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-05,18 SEA VIEW VILLAS,8645007,revenue,1MK34,Shared Lives - Adult LD,461.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-05,18 SEA VIEW VILLAS,8645006,revenue,1MK34,Shared Lives - Adult LD,1749.19
"Children, Education and Skills",Education,Revenue Expenditure,2022-07-11,247 GRAPHICS,8648507,revenue,1E558,SB Music Service,267.5
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-07,3E CONSULTING ENGINEERS LTD,8647046,revenue,1KR01,Responsive Maintenance,525.00
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-08,A T F RETAIL LTD,8648018,revenue,1DV03,Old Eldon Square,2500.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-21,A&J KEITH LTD,8655284,revenue,1KR01,Responsive Maintenance,50450.99
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-13,A&J KEITH LTD,8650456,revenue,1KBRM,Sub Contractors R & M,36116.4
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-13,A&J KEITH LTD,8650304,revenue,1KR01,Responsive Maintenance,106868.57
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-13,A&J KEITH LTD,8650455,revenue,1KR20,M&E Electrical,44713.06
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-07-15,A&S LOCKSMITHS,8652427,revenue,1CC52,Outer West Library Hub,288.45
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-06,A&S LOCKSMITHS,8646248,revenue,1DT10,Riversdales Court Ind Est,357.13
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-26,A&S LOCKSMITHS,8657825,revenue,1DR03,Grainger Market,314.75
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-07-18,A1 FOSTER CARE,8653201,revenue,1MC22,IND Sector Foster Carer Costs,4560
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-08,AAA CHEMICALS LTD,8639748,revenue,3KES1,City Transport Stock,484.00
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-07-05,ABACUS,8643471,revenue,1E892,St Johns Primary Turf Account,2724.71
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-19,ABBEYFIELD CASTLE FARM,8654170,revenue,1MG20,Residential Care OP,8697.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-19,ABBEYFIELD CASTLE FARM,8654169,revenue,1MG20,Residential Care OP,630.82
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-19,ABBEYFIELD THE GROVE,8654155,revenue,1MG20,Residential Care OP,11596.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-19,ABBEYMOOR,8654171,revenue,1MH10,Nursing Care PD,11290.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-19,ABBEYMOOR LIFEWAYS,8654092,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-19,ABBEYMOOR LIFEWAYS,8654092,revenue,1MM20,Residential Care MH,6248.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-12,ABSOLUTE QUALITY CARE,8650380,revenue,1MG50,Home Care-Spot Purchased OP,10688.47
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-12,ABSOLUTE QUALITY CARE,8650380,revenue,1MH50,Home Care PD,2899.56
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-12,ABSOLUTE QUALITY CARE,8650380,revenue,1MK51,Home Care LD,2113.20
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-12,ABSOLUTE QUALITY CARE,8650380,revenue,1MM50,Home Care MH,1373.58
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-12,ABSOLUTE QUALITY CARE,8650322,revenue,1MK50,Supported Living LD,12213.03
"Children, Education and Skills","Dir of Children, Educ & Skills",Revenue Expenditure,2022-07-26,ACADEMIA LTD,8647009,revenue,1MB02,Dir of Chldrn Edcn and Skills,339.68
Place,Fairer Housing Unit,Revenue Expenditure,2022-07-08,ACCENT DISTRIBUTION SERVICES,8647959,revenue,1DF55,Special Events,400.00
Finance,Financial Services,Revenue Expenditure,2022-07-28,ACCESS INDEPENDENT,8646991,revenue,1CS00,Revs and Bens Staffing,1299.00
Finance,Financial Services,Revenue Expenditure,2022-07-04,ACCESS INDEPENDENT,8643376,revenue,1CS00,Revs and Bens Staffing,1851
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-07-19,ACORN CARE & EDUCATION LTD,8654417,revenue,1E20A,SB Independent Schools,24930.85
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-07-19,ACORN CARE & EDUCATION LTD,8654418,revenue,1E20P,High Needs Post16 Funding,2958.92
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-07-19,ACORN DAIRY,8654230,revenue,1KFX2,School Meals Overhead,11822.97
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-07-19,ACORN DAIRY,8654232,revenue,1KFX2,School Meals Overhead,6132.78
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-07-19,ACORN DAIRY,8654239,revenue,1KFX2,School Meals Overhead,12383.29
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-07-18,ACORN HOUSE,8653202,revenue,1MC22,IND Sector Foster Carer Costs,9433.04
Operations & Reg Services,Business Management,Revenue Expenditure,2022-07-28,ACP,8647141,revenue,1KSCD,External Vehicle Tracking,382.56
Operations & Reg Services,Operations,Revenue Expenditure,2022-07-14,ACP,8643654,revenue,1KENB,Fleet Workshops OH,853.49
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-07-18,ACTION FOR CHILDREN,8653218,revenue,1MC13,Post 18 Staying Put,1392.4
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-07-06,ACTION FOR CHILDREN,8646501,revenue,1EEG3,Ext Comm Services,450011.38
"Children, Education and Skills",Strategy & Commissioning Unit,Revenue Expenditure,2022-07-06,ACTION FOR CHILDREN,8646500,revenue,1EY10,Youth Management,6118.84
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-07-18,ACTIVE ARK,8653242,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-07-18,ACTIVE ARK,8653241,revenue,1MC02,Ind Sector Placements,23800
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-27,ADELPHI HOTEL,8659944,revenue,1MN30,Asylum Seekers Adults,1595.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-27,ADELPHI HOTEL,8659924,revenue,1MN30,Asylum Seekers Adults,1320
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-07-05,ADELPHI HOTEL,8645302,revenue,1MN30,Asylum Seekers Adults,405
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-07-11,ADELPHI HOTEL,8648793,revenue,1MN20,Asy Seekers Families,1190
Place,Transport,Revenue Expenditure,2022-07-06,ADEPT,8625966,revenue,1V001,Transport Development,585.00
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-07-14,ADL BUILDERS NE LTD,8652007,revenue,1E464,Castle Nursery Shieldfield,1995.71
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-01,ADL BUILDERS NE LTD,8642310,revenue,1DT10,Riversdales Court Ind Est,320.00
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-29,ADL BUILDERS NE LTD,8653162,revenue,1DR03,Grainger Market,440.00
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-29,ADL BUILDERS NE LTD,8653159,revenue,1DY50,Misc Corporate Estates,1500.00
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-29,ADL BUILDERS NE LTD,8653158,revenue,1DY50,Misc Corporate Estates,3402.50
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-14,ADL BUILDERS NE LTD,8634123,revenue,1DR03,Grainger Market,6651.41
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-14,ADL BUILDERS NE LTD,8634122,revenue,1DY50,Misc Corporate Estates,2200
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-05,ADS AIRCON LTD,8641734,revenue,1KVWC,Minor Works Contracts,2700
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643281,revenue,1MR58,Transport Function,519.18
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643251,revenue,1MX01,Welford Resource Centre LD,782.34
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-07-06,ADT FIRE & SECURITY,8643253,revenue,1E465,Castle Nursery Willow Ave,414.69
"Children, Education and Skills",Education,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643258,revenue,1EA04,Heaton ASB,1745.08
General Fund Capital,General Fund Capital,Capital Expenditure,2022-07-29,ADT FIRE & SECURITY,8661305,Capital,2EE01,Education Capital,1841.6
HRA Expenditure,Special Services,Revenue Expenditure,2022-07-01,ADT FIRE & SECURITY,8637429,revenue,1HP01,Comm. Centres - Citywide,972.13
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-07-06,ADT FIRE & SECURITY,8643254,revenue,1CC52,Outer West Library Hub,420.29
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643255,revenue,1CC52,Outer West Library Hub,1274.37
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643256,revenue,1CC52,Outer West Library Hub,1362.2
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-06,ADT FIRE & SECURITY,8646295,revenue,1DR03,Grainger Market,350.15
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643257,revenue,1DR03,Grainger Market,1629.11
Place,Commercial Dev & Property,Revenue Expenditure,2022-07-04,ADT FIRE & SECURITY,8643283,revenue,1KKX1,Civic Centre Direct Costs,1114.12
General Fund Capital,General Fund Capital,Capital Expenditure,2022-07-21,ADVANCED CHILDCARE ASSESSMENTS LIMITED,8655493,Capital,2CAPI,Capital Investment,2958.20
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-22,ADVANCED INDUSTRIAL SOLUTIONS,8647064,revenue,1KB06,Citybuild Training,1000
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-20,ADVANCED RADIATORS LTD,8648073,revenue,3KES1,City Transport Stock,270
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-01,ADVANCED WATER TECHNOLOGIES,8624157,revenue,1KR05,District Heating,1100.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-01,ADVANCED WATER TECHNOLOGIES,8624157,revenue,1KR8L,Wide District Heating,265
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-07-29,ADVANCED WATER TECHNOLOGIES,8659653,revenue,1KVEM,Mechanical Stand Alone Works,625
Operations & Reg Services,Operations,Revenue Expenditure,2022-07-27,ADVOCACY AFTER FATAL DOMESTIC ABUSE AAFD,8659615,revenue,1VP22,Community Safety Team,400.00
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-08,AEBI SCHMIDT UK LTD,8638285,revenue,3KES1,City Transport Stock,376.11
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-08,AEBI SCHMIDT UK LTD,8638284,revenue,3KES1,City Transport Stock,1428.12
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-22,AEBI SCHMIDT UK LTD,8643327,revenue,3KES1,City Transport Stock,680.22
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-22,AEBI SCHMIDT UK LTD,8641149,revenue,3KES1,City Transport Stock,1024.75
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-07-01,AEBI SCHMIDT UK LTD,8638247,revenue,3KES1,City Transport Stock,1099.27
