Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-04-14,18 SEA VIEW VILLAS,8024984,revenue,1MK34,Shared Lives - Adult LD,1600
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-04-24,1ST COVERALL CO LTD,8033177,revenue,1MG27,General Resource Centres,46155.15
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-04-07,220 SOFT LIMITED,8002273,revenue,1EJ13,Stock Services,500.00
HRA Expenditure,General Management,Revenue Expenditure,2020-04-29,4-5 GRAYS INN SQUARE LTD,8034207,revenue,1HRA1,HRA-General,1000.00
Resources,ICT,Revenue Expenditure,2020-04-24,4NET TECHNOLOGIES LTD,8034026,revenue,1CC24,Telecoms,312.50
Resources,ICT,Revenue Expenditure,2020-04-24,4NET TECHNOLOGIES LTD,8034028,revenue,1CC24,Telecoms,534.27
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-03,A&J KEITH LTD,8015168,revenue,1KVWC,Minor Works Contracts,53773.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-03,A&J KEITH LTD,8015169,revenue,1KVWC,Minor Works Contracts,15128.42
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-20,A&J KEITH LTD,8029626,revenue,1KR20,M&E Electrical,9862.12
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-30,A&J KEITH LTD,8038198,revenue,1KBRM,Sub Contractors R & M,70361.26
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-30,A&J KEITH LTD,8038281,revenue,1KVWC,Minor Works Contracts,30780.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-22,A&J KEITH LTD,8033467,revenue,1KBRM,Sub Contractors R & M,15559.52
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-22,A&J KEITH LTD,8033454,revenue,1KR10,Voids,24452.32
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-22,A&J KEITH LTD,8033454,revenue,1KR12,DDA,13367.74
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-04-22,A&J KEITH LTD,8033454,revenue,1KR20,M&E Electrical,156912.33
