Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-01-18,18 SEA VIEW VILLAS,8513087,revenue,1MK34,Shared Lives - Adult LD,1729.92
City Futures,Communities Team,Revenue Expenditure,2022-01-05,1ST TYNE SEA SCOUTS,8500716,revenue,1FW24,Walkergate,1000.00
Place,Transport,Capital Expenditure,2022-01-14,21ST CENTURY FLEET SYSTEMS LTD,8471228,Capital,2CAPI,Capital Investment,3285
Resources,ICT,Revenue Expenditure,2022-01-14,4NET TECHNOLOGIES LTD,8500290,revenue,1CC24,Telecoms,3745.32
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-20,A&J KEITH LTD,8515613,revenue,1KBRM,Sub Contractors R & M,59019.59
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-20,A&J KEITH LTD,8515616,revenue,1KR20,M&E Electrical,33810.74
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-20,A&J KEITH LTD,8515619,revenue,1KR20,M&E Electrical,161444.3
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-14,A&J KEITH LTD,8481183,revenue,1KVEE,Electrical Stand Alone Works,6740
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-17,A&J KEITH LTD,8510813,revenue,1KVEE,Electrical Stand Alone Works,672
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-17,A&J KEITH LTD,8511434,revenue,1KVEE,Electrical Stand Alone Works,1648
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-17,A&J KEITH LTD,8511436,revenue,1KVWC,Minor Works Contracts,43889.45
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-01-21,A&J KEITH LTD,8517010,revenue,1KVWC,Minor Works Contracts,22804.35
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-01-28,A&S LOCKSMITHS,8530873,revenue,1KL84,Out of Scope Open Space,882.12
Operations & Reg Services,Operations,Revenue Expenditure,2022-01-14,A&S LOCKSMITHS,8505158,revenue,1KEWA,Newington Road East Depot,935.62
Place,Commercial Dev & Property,Revenue Expenditure,2022-01-28,A&S LOCKSMITHS,8531222,revenue,1DQ9Y,John Marley Centre,339.57
Place,Commercial Dev & Property,Revenue Expenditure,2022-01-14,A&S LOCKSMITHS,8499549,revenue,1DR03,Grainger Market,272.62
Place,Commercial Dev & Property,Revenue Expenditure,2022-01-05,A&S LOCKSMITHS,8499548,revenue,1DR16,11-15Clayton St&31-37NelsonSt,1373.94
