Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Resources,Human Resources,Revenue Expenditure,2020-10-19,16 DEGREE SHIFT TRAINING & CONSULT LTD,8157576,revenue,1FP40,Health & Safety Team,660.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-10-27,18 SEA VIEW VILLAS,8163918,revenue,1MK34,Shared Lives - Adult LD,1696
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-10-15,18 SEA VIEW VILLAS,8155775,revenue,1MK34,Shared Lives - Adult LD,689.14
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-10-02,1ST COVERALL CO LTD,8146799,revenue,1MG27,General Resource Centres,11760.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-10-02,1ST COVERALL CO LTD,8146800,revenue,1MG27,General Resource Centres,16240
City Futures,Economic Development,Revenue Expenditure,2020-10-14,3NB NORTH EAST LTD,8154718,revenue,1FN23,ERDF-Business Energy Effciency,4590
Resources,ICT,Revenue Expenditure,2020-10-08,4NET TECHNOLOGIES LTD,8151553,revenue,1CC24,Telecoms,3962.51
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-27,A&J KEITH LTD,8164203,revenue,1KR20,M&E Electrical,941.47
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-27,A&J KEITH LTD,8164204,revenue,1KR20,M&E Electrical,1680.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-27,A&J KEITH LTD,8146645,revenue,1KVWC,Minor Works Contracts,5867.2
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-27,A&J KEITH LTD,8146646,revenue,1KVWC,Minor Works Contracts,5120
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-27,A&J KEITH LTD,8146647,revenue,1KVWC,Minor Works Contracts,4000.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-23,A&J KEITH LTD,8161676,revenue,1KVWC,Minor Works Contracts,1088.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-23,A&J KEITH LTD,8161678,revenue,1KVWC,Minor Works Contracts,49421.47
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-14,A&J KEITH LTD,8154645,revenue,1KBRM,Sub Contractors R & M,30917.21
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-14,A&J KEITH LTD,8154619,revenue,1KR20,M&E Electrical,19990.42
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-14,A&J KEITH LTD,8154621,revenue,1KR20,M&E Electrical,175406.32
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-10-22,A&S LOCKSMITHS,8160346,revenue,1KL61,Parks R&M,2392
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-10-27,A&S LOCKSMITHS,8160415,revenue,1KL61,Parks R&M,782
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,A1 FOSTER CARE,8154832,revenue,1MC22,IND Sector Foster Carer Costs,7920
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-10-09,AAA CHEMICALS LTD,8137058,revenue,3KES1,Fleetmaster Stores Account,968.00
Place,Fairer Housing Unit,Capital Expenditure,2020-10-12,AAL LTD,8151486,Capital,2N101,Capital Grants,450
Place,Fairer Housing Unit,Capital Expenditure,2020-10-15,AAL LTD,8153495,Capital,2N101,Capital Grants,3430.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-23,AAT (GB) LTD,8161679,revenue,1MD66,CWD Care Packages,1255
"Children, Education and Skills",Education,Revenue Expenditure,2020-10-30,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8166253,revenue,1EA15,Newcastle City Learning Main,374
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ABBEYFIELD CASTLE FARM,8151377,revenue,1MR03,COVID19 Premium Payments,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-01,ABBEYFIELD CASTLE FARM,8145389,revenue,1MR03,COVID19 Premium Payments,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYFIELD CASTLE FARM,8154753,revenue,1MG10,Nursing Care OP,-3528.22
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYFIELD CASTLE FARM,8154753,revenue,1MG20,Residential Care OP,8012.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYFIELD CASTLE FARM,8154753,revenue,1MG30,Deferred Payments-OP,2670.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ABBEYFIELD THE GROVE,8151376,revenue,1MR03,COVID19 Premium Payments,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-01,ABBEYFIELD THE GROVE,8145312,revenue,1MR03,COVID19 Premium Payments,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYFIELD THE GROVE,8154744,revenue,1MG20,Residential Care OP,10683.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYMOOR,8154754,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ABBEYMOOR LIFEWAYS,8151374,revenue,1MR03,COVID19 Premium Payments,480.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ABBEYMOOR LIFEWAYS,8151375,revenue,1MR03,COVID19 Premium Payments,295.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-01,ABBEYMOOR LIFEWAYS,8145390,revenue,1MR03,COVID19 Premium Payments,295.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-01,ABBEYMOOR LIFEWAYS,8145396,revenue,1MR03,COVID19 Premium Payments,480.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYMOOR LIFEWAYS,8154793,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ABBEYMOOR LIFEWAYS,8154793,revenue,1MM10,Nursing Care MH,4443.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-06,ABSOLUTE QUALITY CARE,8148968,revenue,1MG50,Home Care-Spot Purchased OP,22914.23
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-06,ABSOLUTE QUALITY CARE,8148968,revenue,1MH50,Home Care PD,7228.34
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-06,ABSOLUTE QUALITY CARE,8148968,revenue,1MK51,Home Care LD,1552.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-06,ABSOLUTE QUALITY CARE,8148968,revenue,1MM50,Home Care MH,452.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-06,ABSOLUTE QUALITY CARE,8148950,revenue,1MK50,Supported Living LD,9246.16
ASC & Integrated Services,Adult Social Care,Revenue Income,2020-10-06,ABSOLUTE QUALITY CARE,8148949,revenue,1MK50,Supported Living LD,1798.02
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-27,ACCOUNTABILITY,8163805,revenue,1MH40,Direct Payments PD,2782.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-22,ACE INTERVENTIONS,8160832,revenue,1MD67,S17 Children in Need,800
Operations & Reg Services,Operations,Revenue Expenditure,2020-10-06,ACP,8149262,revenue,1KESW,Fleet & Maintce Internal SLA,3733.9
Operations & Reg Services,Operations,Revenue Expenditure,2020-10-02,ACP,8145690,revenue,1KESW,Fleet & Maintce Internal SLA,3723.9
Resources,Business Management,Revenue Expenditure,2020-10-06,ACP,8149262,revenue,1KSCD,External Vehicle Tracking,1409.25
Resources,Business Management,Revenue Expenditure,2020-10-02,ACP,8145690,revenue,1KSCD,External Vehicle Tracking,1409.65
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,ACTION FOR CHILDREN,8154846,revenue,1MC13,Post 18 Staying Put,1360
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,ACTION FOR CHILDREN,8154846,revenue,1MC22,IND Sector Foster Carer Costs,6200
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-10-06,ACTION FOR CHILDREN,8148765,revenue,1EEG3,CFH - Commission,92580.26
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-10-16,ACTION FOR CHILDREN,8156999,revenue,1EEG3,CFH - Commission,224342.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ACTION ON HEARING LOSS,8151011,revenue,1MH50,Home Care PD,445.28
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ACTION ON HEARING LOSS,8151012,revenue,1MH50,Home Care PD,309.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-05,ACTION ON HEARING LOSS,8129567,revenue,1MR03,COVID19 Premium Payments,1972.69
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,ACTIVE ARK,8154877,revenue,1MC02,Ind Sector Placements,3036.88
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,ACTIVE ARK,8154878,revenue,1MC02,Ind Sector Placements,28957.53
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,ACTIVE ARK,8154879,revenue,1MC02,Ind Sector Placements,28957.53
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-14,ACTIVE ARK,8154880,revenue,1MC02,Ind Sector Placements,43265.42
Resources,Democratic Services,Revenue Expenditure,2020-10-27,ADARE LTD,8153938,revenue,1FL01,Electoral Registration Unit,1639.96
Resources,Democratic Services,Revenue Expenditure,2020-10-09,ADARE LTD,8152187,revenue,1FL01,Electoral Registration Unit,9193.84
Resources,Democratic Services,Revenue Expenditure,2020-10-09,ADARE LTD,8152188,revenue,1FL01,Electoral Registration Unit,1912.25
Resources,Democratic Services,Revenue Expenditure,2020-10-09,ADARE LTD,8152189,revenue,1FL01,Electoral Registration Unit,2811.75
Resources,Democratic Services,Revenue Expenditure,2020-10-12,ADARE LTD,8153466,revenue,1FL01,Electoral Registration Unit,7897.47
Resources,Democratic Services,Revenue Expenditure,2020-10-21,ADARE LTD,8153940,revenue,1FL01,Electoral Registration Unit,442.05
Resources,Democratic Services,Revenue Expenditure,2020-10-20,ADARE LTD,8153936,revenue,1FL01,Electoral Registration Unit,1341.2
ASC & Integrated Services,Dir of ASC & Integrated Svces,Revenue Expenditure,2020-10-08,ADASS TREASURY,8150908,revenue,1MA01,Director of People,2253
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-10-16,ADT FIRE & SECURITY,8157061,revenue,1EEG2,Community Family Hub -Premises,599.19
"Children, Education and Skills",Education,Revenue Expenditure,2020-10-22,ADT FIRE & SECURITY,8160821,revenue,1EA15,Newcastle City Learning Main,1245.47
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-16,ADT FIRE & SECURITY,8157041,revenue,1DQ9Y,John Marley Centre,1350
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-30,ADT FIRE & SECURITY,8166982,revenue,1DR03,Grainger Market,1538.09
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-20,ADT FIRE & SECURITY,8158766,revenue,1DQ9Y,John Marley Centre,256
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-20,ADT FIRE & SECURITY,8158768,revenue,1DQ9Y,John Marley Centre,536
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-20,ADT FIRE & SECURITY,8158770,revenue,1DQ9Y,John Marley Centre,832
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-20,ADT FIRE & SECURITY,8152174,revenue,1DQ9Y,John Marley Centre,3030.7
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-10-30,AEBI SCHMIDT UK LTD,8151104,revenue,3KES1,Fleetmaster Stores Account,681.34
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-10-14,AEBI SCHMIDT UK LTD,8137060,revenue,3KES1,Fleetmaster Stores Account,528.41
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-10-02,AEBI SCHMIDT UK LTD,8139634,revenue,3KES1,Fleetmaster Stores Account,552.34
Place,Transport,Revenue Expenditure,2020-10-02,AGD SYSTEMS LTD,8146692,revenue,1KELH,Traffic Sig Newcastle Maintce,1200.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-23,AKW MEDI-CARE LTD,8161961,revenue,1KR12,DDA,351.91
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2020-10-13,ALARM SUPPLIES SCOTLAND LTD,8153907,revenue,1KJ42,Security Consultancy,2324.00
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-26,ALARM SUPPLIES SCOTLAND LTD,8153902,revenue,1KKX1,Civic Centre Direct Costs,2347.00
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-13,ALARM SUPPLIES SCOTLAND LTD,8153903,revenue,1KKX1,Civic Centre Direct Costs,526
Place,Commercial Dev & Property,Revenue Expenditure,2020-10-13,ALARM SUPPLIES SCOTLAND LTD,8153904,revenue,1KKX1,Civic Centre Direct Costs,2090
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ALBANY HOUSE  (WHITLEY BAY),8154755,revenue,1MM20,Residential Care MH,5429.34
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-10-22,ALBANY MOTORS,8139667,revenue,3KES1,Fleetmaster Stores Account,259.85
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-10-16,ALBANY MOTORS,8137071,revenue,3KES1,Fleetmaster Stores Account,259.85
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-10-02,ALBANYOFFICE FURNITURESOLUTIONS,8146508,revenue,1MG26,Byker Lodge Resource Centre OP,645
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-22,ALBANYOFFICE FURNITURESOLUTIONS,8155138,revenue,1MB14,Social Care Strategic Mngment,290.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-10-02,ALBANYOFFICE FURNITURESOLUTIONS,8146504,revenue,1MC52,Welford Centre,1200
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-10-01,ALBANYOFFICE FURNITURESOLUTIONS,8139442,revenue,1KVWC,Minor Works Contracts,8680
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-10-30,ALBANYOFFICE FURNITURESOLUTIONS,8166298,revenue,1EJ20,City Library and Hub,1600.00
Resources,Financial Services,Revenue Expenditure,2020-10-02,ALBANYOFFICE FURNITURESOLUTIONS,8146509,revenue,1CS14,Revs & Bens Small Grants,308
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-27,ALEXANDRA HOUSE,8163902,revenue,1MG20,Residential Care OP,4424
ASC & Integrated Services,Adult Social Care,Revenue Income,2020-10-27,ALEXANDRA HOUSE,8163902,revenue,1MG20,Residential Care OP,-1190.80
"Children, Education and Skills",Education Schools,Revenue Expenditure,2020-10-30,ALL STAR PRODUCTIONS NE LTD,8166883,revenue,1E892,St Johns Primary Turf Account,1400.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ALLAN COURT RESIDENTIAL HOME,8134513,revenue,1MR03,COVID19 Premium Payments,6158.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-08,ALLAN COURT RESIDENTIAL HOME,8151294,revenue,1MR03,COVID19 Premium Payments,6323.66
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-01,ALLAN COURT RESIDENTIAL HOME,8145314,revenue,1MR03,COVID19 Premium Payments,6463.67
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ALLAN COURT RESIDENTIAL HOME,8154814,revenue,1MG10,Nursing Care OP,41879.41
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ALLAN COURT RESIDENTIAL HOME,8154814,revenue,1MG20,Residential Care OP,63784.6
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-10-14,ALLAN COURT RESIDENTIAL HOME,8154814,revenue,1MH10,Nursing Care PD,3406.56
