Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2018-05-25,3663,7511445,Revenue,1KF07,Banqueting Suite,267.46
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2018-05-23,3663,7511137,Revenue,1KF07,Banqueting Suite,398.38
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2018-05-29,18 SEA VIEW VILLAS,7517161,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2018-05-01,18 SEA VIEW VILLAS,7495870,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-05-25,A&J KEITH LTD,7508355,Revenue,1KVEE,Electrical Stand Alone Works,385.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-05-17,A&J KEITH LTD,7508519,Revenue,1KVEE,Electrical Stand Alone Works,2500.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-05-03,A&J KEITH LTD,7497780,Revenue,1KVWC,Minor Works Contracts,32384.42
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-05-03,A&J KEITH LTD,7497782,Revenue,1KVWC,Minor Works Contracts,11516.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-05-03,A&J KEITH LTD,7497781,Revenue,1KVWC,Minor Works Contracts,29600.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-05-09,A&J KEITH LTD,7501789,Revenue,1KBRM,Sub Contractors R & M,153367.06
Environment & Regeneration,NS: Repairs & Maintenance,Revenue Expenditure,2018-05-17,A&J KEITH LTD,7508349,Revenue,1KVEE,Electrical Stand Alone Works,6400.00
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2018-05-21,A&S LOCKSMITHS,7506713,Revenue,1DY50,Misc Corporate Estates,539.76
