Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-05-11,18 SEA VIEW VILLAS,8329095,revenue,1MK34,Shared Lives - Adult LD,1696
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,A WILDERNESS WAY,8339287,revenue,1MC02,Ind Sector Placements,29800
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,A WILDERNESS WAY,8339288,revenue,1MC02,Ind Sector Placements,27200
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-05-18,A&J KEITH LTD,8334743,revenue,1KVEE,Electrical Stand Alone Works,10200.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-05-13,A&J KEITH LTD,8331379,revenue,1KBRM,Sub Contractors R & M,40493.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-05-13,A&J KEITH LTD,8331380,revenue,1KR20,M&E Electrical,20701.48
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-05-13,A&J KEITH LTD,8331381,revenue,1KR20,M&E Electrical,388390.62
Operations & Reg Services,Operations,Revenue Expenditure,2021-05-21,A&S LOCKSMITHS,8338626,revenue,1KEWL,Leazes Lane Depot,320.46
Place,Commercial Dev & Property,Revenue Expenditure,2021-05-18,A&S LOCKSMITHS,8335918,revenue,1KKX1,Civic Centre Direct Costs,1660.63
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,A1 FOSTER CARE,8339263,revenue,1MC22,IND Sector Foster Carer Costs,4560
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-05-27,AAT (GB) LTD,8323767,revenue,1MX01,Welford Resource Centre LD,1355
"Children, Education and Skills",Education,Revenue Expenditure,2021-05-21,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8331410,revenue,1EA15,Newcastle City Learning Main,752
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-26,ABBEYFIELD CASTLE FARM,8341246,revenue,1MR14,COVID 19 Rapid Testing,5524.56
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-26,ABBEYFIELD CASTLE FARM,8341262,revenue,1MR14,COVID 19 Rapid Testing,4324.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-25,ABBEYFIELD CASTLE FARM,8340332,revenue,1MG20,Residential Care OP,10683.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-26,ABBEYFIELD THE GROVE,8341244,revenue,1MR14,COVID 19 Rapid Testing,7366.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-26,ABBEYFIELD THE GROVE,8341268,revenue,1MR14,COVID 19 Rapid Testing,5765.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-25,ABBEYFIELD THE GROVE,8340323,revenue,1MG20,Residential Care OP,19363.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-25,ABBEYMOOR,8340333,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-25,ABBEYMOOR LIFEWAYS,8340371,revenue,1MH10,Nursing Care PD,12327.4
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-25,ABBEYMOOR LIFEWAYS,8340371,revenue,1MM10,Nursing Care MH,6999.12
Operations & Reg Services,Environment&Public Protection,Revenue Expenditure,2021-05-28,ABC FOOD LAW LTD,8338489,revenue,1D500,Food Safety & Training,1170.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-12,ABEL ALARM COMPANY LTD,8329827,revenue,1KE27,Bereavement Services Overhead,987.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-17,ABSOLUTE QUALITY CARE,8333361,revenue,1MG50,Home Care-Spot Purchased OP,17824.34
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-17,ABSOLUTE QUALITY CARE,8333361,revenue,1MH50,Home Care PD,2240.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-17,ABSOLUTE QUALITY CARE,8333361,revenue,1MK51,Home Care LD,1629.12
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-17,ABSOLUTE QUALITY CARE,8333361,revenue,1MM50,Home Care MH,475.16
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-17,ABSOLUTE QUALITY CARE,8333255,revenue,1MK50,Supported Living LD,9246.16
Resources,Financial Services,Revenue Expenditure,2021-05-27,ACCESS INDEPENDENT,8342604,revenue,1CS00,Revs and Bens Staffing,900.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-05-12,ACCOUNTABILITY,8330343,revenue,1MG40,Direct Payments OP,2782
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-28,ACORN DAIRY,8342539,revenue,1KFX2,School Meals Overhead,6185.75
Resources,ICT,Capital Expenditure,2021-05-13,ACS SYSTEMS (UK)T/A ACS OFFICE SOLUTIONS,8331754,Capital,2CITC,IT Services,386.30
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,ACTION FOR CHILDREN,8339276,revenue,1MC13,Post 18 Staying Put,2752.4
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2021-05-27,ACTION FOR CHILDREN,8342252,revenue,1EEK1,Community Family Hub - Central,6880
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,ACTIVE ARK,8265127,revenue,1MC02,Ind Sector Placements,5526.73
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,ACTIVE ARK,8339296,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,ACTIVE ARK,8314854,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,ACTIVE ARK,8265128,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-05-24,ACTIVE ARK,8296219,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills","Dir of Children, Educ & Skills",Revenue Expenditure,2021-05-04,ADCS,8323759,revenue,1MB02,Dir of Chldrn Edcn and Skills,2686.00
HRA Expenditure,General Management,Revenue Expenditure,2021-05-27,ADL BUILDERS NE LTD,8331420,revenue,1HRA9,HRA - Demolition Revenue Exp,3835.82
HRA Expenditure,Special Services,Revenue Expenditure,2021-05-21,ADL BUILDERS NE LTD,8331422,revenue,1HP01,Comm. Centres - Citywide,1010
Place,Commercial Dev & Property,Revenue Expenditure,2021-05-13,ADL BUILDERS NE LTD,8331418,revenue,1DR03,Grainger Market,2039.92
Place,Commercial Dev & Property,Revenue Expenditure,2021-05-13,ADL BUILDERS NE LTD,8331419,revenue,1DV10,Anderson House,850.00
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-05-12,ADT FIRE & SECURITY,8329834,revenue,1MR58,Transport Function,482.51
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-05-12,ADT FIRE & SECURITY,8329829,revenue,1MX01,Welford Resource Centre LD,727.09
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8325820,revenue,1VH22,Temporary Accommodation Prem,673.5
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2021-05-12,ADT FIRE & SECURITY,8329828,revenue,1E465,Castle Nursery Willow Ave,385.4
"Children, Education and Skills",Education,Revenue Expenditure,2021-05-05,ADT FIRE & SECURITY,8326234,revenue,1EA04,Heaton ASB,1623.62
City Futures,Communities Team,Revenue Expenditure,2021-05-12,ADT FIRE & SECURITY,8329836,revenue,1KL17,Community Buildings R&M,713.39
HRA Expenditure,Special Services,Revenue Expenditure,2021-05-05,ADT FIRE & SECURITY,8325813,revenue,1HP01,Comm. Centres - Citywide,912.19
Operations & Reg Services,Community Hubs,Revenue Expenditure,2021-05-05,ADT FIRE & SECURITY,8325818,revenue,1CC52,Outer West Library Hub,390.61
Operations & Reg Services,Community Hubs,Revenue Expenditure,2021-05-05,ADT FIRE & SECURITY,8325817,revenue,1CC52,Outer West Library Hub,1184.36
Operations & Reg Services,Community Hubs,Revenue Expenditure,2021-05-05,ADT FIRE & SECURITY,8325819,revenue,1CC52,Outer West Library Hub,1265.99
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338718,revenue,1KJ94,Security Services Delegated,1027.75
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338717,revenue,1KJ94,Security Services Delegated,1192.75
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338674,revenue,1KJ94,Security Services Delegated,1229.10
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338722,revenue,1KJ94,Security Services Delegated,350.55
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338719,revenue,1KJ94,Security Services Delegated,328.22
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338716,revenue,1KJ94,Security Services Delegated,695.96
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338723,revenue,1KJ94,Security Services Delegated,1151.57
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338679,revenue,1KJ94,Security Services Delegated,393.63
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-21,ADT FIRE & SECURITY,8338680,revenue,1KJ94,Security Services Delegated,582.97
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-11,ADT FIRE & SECURITY,8328747,revenue,1KJ94,Security Services Delegated,276.20
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337869,revenue,1KJ94,Security Services Delegated,1196.26
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337966,revenue,1KJ94,Security Services Delegated,1231.21
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337967,revenue,1KJ94,Security Services Delegated,1377.08
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337850,revenue,1KJ94,Security Services Delegated,1288.26
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337863,revenue,1KJ94,Security Services Delegated,1711.18
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337862,revenue,1KJ94,Security Services Delegated,265.84
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-05-20,ADT FIRE & SECURITY,8337859,revenue,1KJ94,Security Services Delegated,436.80
