Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services,Revenue Expenditure,2017-01-18,14 EIGHTH ROW,7124401,Revenue,1MM20,Residential Care MH,9954.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-01-10,18 SEA VIEW VILLAS,7117008,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Adult and Culture,Libraries/Galaxy Payments,Revenue Expenditure,2017-01-24,220 SOFT LIMITED,7112127,Revenue,1EJ13,Stock Services,600.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-01-24,A & C WEBER UK,7120592,Revenue,1KE41,Domestic Refuse Collection,4210.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-01-10,A SIGNIFICANT OTHER LTD,7116820,Revenue,1MC02,Ind Sector Placements,18400.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-01-10,A WILDERNESS WAY,7116810,Revenue,1MC02,Ind Sector Placements,6952.41
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-01-13,A&J KEITH LTD,7119951,Revenue,1KBRM,Sub Contractors R & M,1488.64
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-01-17,A&J KEITH LTD,7123141,Revenue,1KVWC,Minor Works Contracts,51480.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-01-17,A&J KEITH LTD,7123140,Revenue,1KVWC,Minor Works Contracts,8585.16
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-01-09,A&J KEITH LTD,7116014,Revenue,1KBRM,Sub Contractors R & M,23148.71
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-01-09,A&J KEITH LTD,7116006,Revenue,1KBRM,Sub Contractors R & M,68949.62
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-01-09,A&J KEITH LTD,7116010,Revenue,1KBRM,Sub Contractors R & M,11036.75
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-01-04,AA GLOBAL LANGUAGES SERVICES LTD,7112739,Revenue,1CR01,Revs and Bens Supp&Svs,50.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-01-04,AA GLOBAL LANGUAGES SERVICES LTD,7112739,Revenue,1MD68,Legal Fees Care,2500.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-01-04,AA GLOBAL LANGUAGES SERVICES LTD,7112739,Revenue,1MR82,Commisioning And Procurement,60.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-01-04,AA GLOBAL LANGUAGES SERVICES LTD,7112739,Revenue,1FT08,Translation Unit,300.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-01-11,AA GLOBAL LANGUAGES SERVICES LTD,7118142,Revenue,1MD62,Support to LAC,125.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-01-11,AA GLOBAL LANGUAGES SERVICES LTD,7118142,Revenue,1FT08,Translation Unit,312.00
HRA,HRA Planning QS,Capital Expenditure,2017-01-26,AARAN BUILDERS (NE) LTD,7127645,Capital,2HE01,Capital Citywide,19469.00
Adult and Culture,Adult Serv Welf,Revenue Expenditure,2017-01-11,AAT (GB) LTD,7113400,Revenue,1MX01,Welford Resource Centre LD,3360.65
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-01-24,ABBEYFIELD CASTLE FARM,7128210,Revenue,1MG20,Residential Care OP,4283.36
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-01-24,ABBEYFIELD CASTLE FARM,7128210,Revenue,1MG20,Residential Care OP,1018.60
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-01-24,ABBEYMOOR,7128211,Revenue,1MG10,Nursing Care OP,3025.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-01-24,ABBEYMOOR,7128211,Revenue,1MH10,Nursing Care PD,3473.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-01-24,ABBEYMOOR,7128211,Revenue,1MK10,Nursing Care LD,2848.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-01-24,ABBEYMOOR,7128211,Revenue,1MM10,Nursing Care MH,10208.00
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-01-24,ABBEYMOOR,7128211,Revenue,1MH10,Nursing Care PD,660.08
