Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-01-19,18 SEA VIEW VILLAS,8227258,revenue,1MK34,Shared Lives - Adult LD,1696
City Futures,Policy and Performance,Revenue Expenditure,2021-01-21,1SPATIAL GROUP LTD,8229296,revenue,1EJ10,Digital Newcastle,13000
Place,Transport,Revenue Expenditure,2021-01-21,360 RI LTD,8228451,revenue,1KTCD,A69 Routine Works,5950
Resources,ICT,Revenue Expenditure,2021-01-27,4NET TECHNOLOGIES LTD,8225105,revenue,1CC24,Telecoms,3759.01
Place,Fairer Housing Unit,Capital Expenditure,2021-01-18,A & G JOINERY AND BUILDING,8225794,Capital,2N101,Capital Grants,2916.46
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-22,A&J KEITH LTD,8233561,revenue,1KVWC,Minor Works Contracts,66368.42
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-21,A&J KEITH LTD,8229319,revenue,1KVWC,Minor Works Contracts,7680.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-28,A&J KEITH LTD,8233560,revenue,1KVWC,Minor Works Contracts,9731.33
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-13,A&J KEITH LTD,8223176,revenue,1KR20,M&E Electrical,221916.57
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-13,A&J KEITH LTD,8223177,revenue,1KR20,M&E Electrical,67659.79
Place,Commercial Dev & Property,Revenue Expenditure,2021-01-21,A&S LOCKSMITHS,8229439,revenue,1DE49,i4- Quayside NEC,300.44
Place,Commercial Dev & Property,Revenue Expenditure,2021-01-21,A&S LOCKSMITHS,8229441,revenue,1DY50,Misc Corporate Estates,619.32
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-07,A1 FOSTER CARE,8217691,revenue,1MC22,IND Sector Foster Carer Costs,7920.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1MB30,Long Term Social Work Teams,36.4
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1MC20,In-House Foster Carer Costs,30
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1MD62,Support to LAC,736
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1MD67,S17 Children in Need,541
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1MF01,16+ Team (YP),153.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239670,revenue,1MD62,Support to LAC,214.71
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239670,revenue,1MD67,S17 Children in Need,1408
"Children, Education and Skills",Education,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1E45C,Admissions & Info Team,685
"Children, Education and Skills",Education,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239670,revenue,1E320,SEND APR Team,270.00
Public Health Service,Public Health,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239670,revenue,1MR95,PH - COVID-19 Test and Trace,285
Resources,Financial Services,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239690,revenue,1CR01,Revs and Bens Supp&Svs,142
Resources,Financial Services,Revenue Expenditure,2021-01-28,AA GLOBAL LANGUAGES SERVICES LTD,8239670,revenue,1CR01,Revs and Bens Supp&Svs,56
"Children, Education and Skills",Education,Revenue Expenditure,2021-01-07,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8207225,revenue,1EA15,Newcastle City Learning Main,282
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-27,ABBEYFIELD CASTLE FARM,8238329,revenue,1MR07,COVID19 Infection Control Fund,8208.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-05,ABBEYFIELD CASTLE FARM,8215808,revenue,1MG20,Residential Care OP,8012.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-05,ABBEYFIELD CASTLE FARM,8215808,revenue,1MG30,Deferred Payments-OP,2670.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-27,ABBEYFIELD THE GROVE,8238330,revenue,1MR07,COVID19 Infection Control Fund,10944.80
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-19,ABBEYFIELD THE GROVE,8227558,revenue,1MR07,COVID19 Infection Control Fund,10975.29
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-05,ABBEYFIELD THE GROVE,8215799,revenue,1MG20,Residential Care OP,12018.96
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-05,ABBEYMOOR,8215809,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-05,ABBEYMOOR LIFEWAYS,8215845,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-05,ABBEYMOOR LIFEWAYS,8215845,revenue,1MM10,Nursing Care MH,4554.92
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-01-18,ABEL ALARM COMPANY LTD,8225264,revenue,1KE27,Bereavement Services Overhead,2050
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-26,ABSOLUTE QUALITY CARE,8236307,revenue,1MG50,Home Care-Spot Purchased OP,27819.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-26,ABSOLUTE QUALITY CARE,8236307,revenue,1MH50,Home Care PD,-3605.63
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-26,ABSOLUTE QUALITY CARE,8236307,revenue,1MK51,Home Care LD,1552.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-26,ABSOLUTE QUALITY CARE,8236307,revenue,1MM50,Home Care MH,452.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-26,ABSOLUTE QUALITY CARE,8236209,revenue,1MK50,Supported Living LD,9246.16
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-29,ABSOLUTE QUALITY CARE,8239734,revenue,1MR07,COVID19 Infection Control Fund,8574.3
Resources,Financial Services,Revenue Expenditure,2021-01-28,ACCENTURE,8216880,revenue,1CF00,Payroll,5329.5
Resources,Financial Services,Revenue Expenditure,2021-01-28,ACCENTURE,8216877,revenue,1CF00,Payroll,6170.15
Resources,Financial Services,Revenue Expenditure,2021-01-28,ACCESS INDEPENDENT,8239578,revenue,1CS00,Revs and Bens Staffing,306
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-01-18,ACCOUNTABILITY,8226020,revenue,1MH40,Direct Payments PD,2782
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-04,ACCOUNTING OFFICER HOME OFFICER,8214782,revenue,1MD62,Support to LAC,1012
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-04,ACCOUNTING OFFICER HOME OFFICER,8214781,revenue,1MD62,Support to LAC,1012
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-01-06,ACORN DAIRY,8216801,revenue,1KFX2,School Meals Overhead,12577.75
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2021-01-06,ACORN DAIRY,8216822,revenue,1KFX2,School Meals Overhead,10043.25
Operations & Reg Services,Operations,Revenue Expenditure,2021-01-21,ACP,8224612,revenue,1KESW,Fleet & Maintce Internal SLA,4161
Operations & Reg Services,Operations,Revenue Expenditure,2021-01-06,ACP,8213503,revenue,1KESW,Fleet & Maintce Internal SLA,3753.05
Resources,Business Management,Revenue Expenditure,2021-01-22,ACP,8233546,revenue,1KSCD,External Vehicle Tracking,614.73
Resources,Business Management,Revenue Expenditure,2021-01-06,ACP,8213503,revenue,1KSCD,External Vehicle Tracking,1426.7
Resources,ICT,Capital Expenditure,2021-01-15,ACS BUSINESS SUPPLIES LTD,8224380,Capital,2CITC,IT Services,386.3
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-07,ACTION FOR CHILDREN,8217705,revenue,1MC13,Post 18 Staying Put,1360.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-07,ACTION FOR CHILDREN,8217705,revenue,1MC22,IND Sector Foster Carer Costs,3280.00
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2021-01-07,ACTION FOR CHILDREN,8218222,revenue,1EEG3,CFH - Commission,306948.59
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-07,ACTIVE ARK,8217719,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-07,ACTIVE ARK,8217720,revenue,1MC02,Ind Sector Placements,19343.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-07,ACTIVE ARK,8217721,revenue,1MC02,Ind Sector Placements,28901.08
Place,Commercial Dev & Property,Revenue Expenditure,2021-01-29,ADL BUILDERS NE LTD,8239566,revenue,1DZW1,Mill Lane Ind. Est.,1442.18
Place,Commercial Dev & Property,Revenue Expenditure,2021-01-14,ADL BUILDERS NE LTD,8223653,revenue,1DT10,Riversdales Court Ind Est,670.00
Place,Commercial Dev & Property,Revenue Expenditure,2021-01-14,ADL BUILDERS NE LTD,8223652,revenue,1V075,Guildhall,300
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,ADOPTION FOCUS (FAMILY SOCIETY),8239214,revenue,1MF10,Adoption Payments,51714
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-01-28,ADOPTION FOCUS (FAMILY SOCIETY),8239217,revenue,1MF10,Adoption Payments,34476.00
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-01-08,ADVANCED RADIATORS LTD,8206460,revenue,3KES1,Fleetmaster Stores Account,260.00
Operations & Reg Services,Operations,Revenue Expenditure,2021-01-19,AEBI SCHMIDT UK LTD,8224366,revenue,1KESW,Fleet & Maintce Internal SLA,495
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-01-28,AEBI SCHMIDT UK LTD,8215919,revenue,3KES1,Fleetmaster Stores Account,529.91
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-01-14,AEBI SCHMIDT UK LTD,8212001,revenue,3KES1,Fleetmaster Stores Account,329.6
Operations&Regulatory Services,Operations,Capital Expenditure,2021-01-19,AEBI SCHMIDT UK LTD,8224366,Capital,2KF01,Facility Services,216855
Place,Transport,Capital Expenditure,2021-01-27,AECOM,8238325,Capital,2CAPI,Capital Investment,16188.87
Place,Transport,Revenue Expenditure,2021-01-04,AGD SYSTEMS LTD,8179224,revenue,1KELU,Traffic Sig Durham Maintce,20.00
Children Education & Skills,Education,Capital Expenditure,2021-01-06,AGROVISTA UK LTD,8215765,Capital,2EE01,Education Capital,795.00
Operations & Reg Services,Local Services,Revenue Expenditure,2021-01-19,AGROVISTA UK LTD,8224545,revenue,1KEFA,Grounds Maintenance,2604.40
Operations & Reg Services,Local Services,Revenue Expenditure,2021-01-04,AGROVISTA UK LTD,8214902,revenue,1KEFA,Grounds Maintenance,2468.4
Place,Commercial Dev & Property,Revenue Expenditure,2021-01-21,AIR SUPPLY (NORTH EAST) LTD,8225230,revenue,1KKX1,Civic Centre Direct Costs,766.6
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-29,AKW MEDI-CARE LTD,8184090,revenue,1KVWC,Minor Works Contracts,966.78
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-29,AKW MEDI-CARE LTD,8184093,revenue,1KVWC,Minor Works Contracts,816.45
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-06,AKW MEDI-CARE LTD,8216878,revenue,1KR12,DDA,445.57
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-06,AKW MEDI-CARE LTD,8216879,revenue,1KR12,DDA,445.57
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-05,AKW MEDI-CARE LTD,8202683,revenue,1KVWC,Minor Works Contracts,445.15
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-01-05,AKW MEDI-CARE LTD,8202685,revenue,1KVWC,Minor Works Contracts,394.54
