Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-08-04,18 SEA VIEW VILLAS,8100222,revenue,1MK34,Shared Lives - Adult LD,1600
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-08-10,1ST MOVERS,8103511,revenue,1MR68,Greggs & Brough Charitable Tr,500
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-08-10,1ST MOVERS,8103511,revenue,1MF02,16+ Team,280
Place,Transport,Revenue Expenditure,2020-08-17,360 RI LTD,8100375,revenue,1KE09,City Bridge,1250
Resources,ICT,Capital Expenditure,2020-08-12,4NET TECHNOLOGIES LTD,8105912,Capital,2CITC,IT Services,65314.80
Resources,ICT,Revenue Expenditure,2020-08-14,4NET TECHNOLOGIES LTD,8107634,revenue,1CC24,Telecoms,1465.20
Resources,ICT,Revenue Expenditure,2020-08-14,4NET TECHNOLOGIES LTD,8105919,revenue,1CC24,Telecoms,6457.63
Resources,ICT,Revenue Expenditure,2020-08-14,4NET TECHNOLOGIES LTD,8105918,revenue,1CC24,Telecoms,78260.54
City Futures,"Museums, Arts and Culture",Revenue Expenditure,2020-08-17,A LIVING TRADITION CIC,8108472,revenue,1DF66,Holocaust Memorial Day,850.00
Place,Commercial Dev & Property,Revenue Expenditure,2020-08-03,A T F RETAIL LTD,8085794,revenue,1DV03,Old Eldon Square,550
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-08-14,A&J KEITH LTD,8107383,revenue,1KBRM,Sub Contractors R & M,17274
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-08-19,A&J KEITH LTD,8109814,revenue,1KVWC,Minor Works Contracts,34441.5
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-08-19,A&J KEITH LTD,8109812,revenue,1KVWC,Minor Works Contracts,26703.16
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-08-12,A&J KEITH LTD,8106224,revenue,1KR20,M&E Electrical,37942.56
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-08-12,A&J KEITH LTD,8106242,revenue,1KR20,M&E Electrical,188651.18
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-08-19,A&S LOCKSMITHS,8106640,revenue,1KL61,Parks R&M,292.29
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-08-25,A&S LOCKSMITHS,8112934,revenue,1KL60,Parks - Premises Costs,262.38
Place,Commercial Dev & Property,Revenue Expenditure,2020-08-12,A&S LOCKSMITHS,8105920,revenue,1DR03,Grainger Market,627.6
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-08-17,A1 FOSTER CARE,8107924,revenue,1MC22,IND Sector Foster Carer Costs,7920
