Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
People,Adult Social Care,Revenue Expenditure,2018-11-13,18 SEA VIEW VILLAS,7643628,revenue,1MK34,Shared Lives - Adult LD,1540
HRA Expenditure,General Management,Revenue Expenditure,2018-11-27,2 BEDFORD ROW,7655650,revenue,1HRA1,HRA-General,10075
HRA Expenditure,General Management,Revenue Expenditure,2018-11-16,3E CONSULTING ENGINEERS LTD,7646425,revenue,1HRA3,Misc Feasibility Study/Survey,1200
HRA Expenditure,General Management,Revenue Expenditure,2018-11-16,3E CONSULTING ENGINEERS LTD,7646582,revenue,1HRA3,Misc Feasibility Study/Survey,1250
People,Education,Revenue Expenditure,2018-11-01,4 IMPRINT,7634239,revenue,1EA15,Newcastle City Learning Main,273.95
People,Education,Revenue Expenditure,2018-11-09,4 IMPRINT,7641661,revenue,1EA15,Newcastle City Learning Main,293.95
HRA Expenditure,General Management,Revenue Expenditure,2018-11-29,4-6 GRAYS INN SQUARE,7657671,revenue,1HRA1,HRA-General,980
People,Children's Social Care,Revenue Expenditure,2018-11-12,A SIGNIFICANT OTHER LTD,7642934,revenue,1MC02,Ind Sector Placements,11800
Place,Commercial Dev & Property,Revenue Expenditure,2018-11-09,A T F RETAIL LTD,7641551,revenue,1DR16,11-15Clayton St&31-37NelsonSt,3200
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,2018-11-15,A&J KEITH LTD,7644992,revenue,1KBRM,Sub Contractors R & M,25202.2
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,2018-11-20,A&J KEITH LTD,7649036,revenue,1KVWC,Minor Works Contracts,74176.42
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,2018-11-13,A&J KEITH LTD,7643894,revenue,1KBRM,Sub Contractors R & M,155230.01
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,2018-11-13,A&J KEITH LTD,7643883,revenue,1KBRM,Sub Contractors R & M,19598.8
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,2018-11-07,A&J KEITH LTD,7639450,revenue,1KVWC,Minor Works Contracts,11097
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,2018-11-07,A&J KEITH LTD,7639452,revenue,1KVWC,Minor Works Contracts,5664
Operations & Reg Services,Community Hubs,Revenue Expenditure,2018-11-05,A&S LOCKSMITHS,7636518,revenue,1KL6F,General Expenditure - East,454.89
Operations & Reg Services,Community Hubs,Revenue Expenditure,2018-11-05,A&S LOCKSMITHS,7636592,revenue,1KL6F,General Expenditure - East,334.54
Operations & Reg Services,Community Hubs,Revenue Expenditure,2018-11-02,A&S LOCKSMITHS,7634242,revenue,1KL6F,General Expenditure - East,701.2
Place,Commercial Dev & Property,Revenue Expenditure,2018-11-14,A&S LOCKSMITHS,7638057,revenue,1DY50,Misc Corporate Estates,615.48
Place,Commercial Dev & Property,Revenue Expenditure,2018-11-14,A&S LOCKSMITHS,7638058,revenue,1DY50,Misc Corporate Estates,280.48
