Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-07,18 SEA VIEW VILLAS,7947534,revenue,1MK34,Shared Lives - Adult LD,1600
Place,Transport,Revenue Expenditure,2020-01-16,360 RI LTD,7956209,revenue,1KTCD,A69 Routine Works,5650
Resources,ICT,Capital Expenditure,2020-01-28,4NET TECHNOLOGIES LTD,7964783,Capital,2CAPI,Capital Investment,195944
Resources,ICT,Capital Expenditure,2020-01-28,4NET TECHNOLOGIES LTD,7964623,Capital,2CITC,IT Services,195944
City Futures,Communities Team,Revenue Expenditure,2020-01-28,93RD NEWCASTLE SCOUTS GROUP,7964646,revenue,1FW24,Walkergate,251
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2020-01-10,A S PNEUMATICS,7946857,revenue,1KE27,Bereavement Services Overhead,261.6
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-01-15,A&J KEITH LTD,7955491,revenue,1KBRM,Sub Contractors R & M,37814.69
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-01-07,A&J KEITH LTD,7947898,revenue,1KBRM,Sub Contractors R & M,10768.49
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-01-08,A&J KEITH LTD,7949048,revenue,1KBRM,Sub Contractors R & M,190094.3
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-01-08,A&J KEITH LTD,7948702,revenue,1KVWC,Minor Works Contracts,37477.09
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-01-08,A&J KEITH LTD,7948701,revenue,1KVWC,Minor Works Contracts,6098
Place,Commercial Dev & Property,Revenue Expenditure,2020-01-31,A&S LOCKSMITHS,7966039,revenue,1DY50,Misc Corporate Estates,616.2
Place,Commercial Dev & Property,Revenue Expenditure,2020-01-27,A&S LOCKSMITHS,7963807,revenue,1DE50,i6- Charlotte Square NEC,369
Place,Commercial Dev & Property,Revenue Expenditure,2020-01-16,A&S LOCKSMITHS,7956030,revenue,1DY50,Misc Corporate Estates,616.2
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946108,revenue,1MG02,Community Health & Social Care,25
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-14,AA GLOBAL LANGUAGES SERVICES LTD,7946109,revenue,1MC20,In-House Foster Carer Costs,630
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-14,AA GLOBAL LANGUAGES SERVICES LTD,7946109,revenue,1MD62,Support to LAC,73.5
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-14,AA GLOBAL LANGUAGES SERVICES LTD,7946109,revenue,1MD67,S17 Children in Need,1254
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-14,AA GLOBAL LANGUAGES SERVICES LTD,7946109,revenue,1MD68,Legal Fees Care,372
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-30,AA GLOBAL LANGUAGES SERVICES LTD,7965248,revenue,1MC20,In-House Foster Carer Costs,272
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-30,AA GLOBAL LANGUAGES SERVICES LTD,7965248,revenue,1MD62,Support to LAC,237
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-30,AA GLOBAL LANGUAGES SERVICES LTD,7965248,revenue,1MD67,S17 Children in Need,1061
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-30,AA GLOBAL LANGUAGES SERVICES LTD,7965248,revenue,1MD68,Legal Fees Care,261
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946108,revenue,1MB30,Long Term Social Work Teams,580
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946108,revenue,1MD67,S17 Children in Need,25
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946108,revenue,1MD68,Legal Fees Care,883
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946107,revenue,1MD62,Support to LAC,1860
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946107,revenue,1MD67,S17 Children in Need,682
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946107,revenue,1MD68,Legal Fees Care,4592
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-01-30,AA GLOBAL LANGUAGES SERVICES LTD,7965248,revenue,1MD72,Citywide Family Support,25
"Children, Education and Skills",Education,Revenue Expenditure,2020-01-14,AA GLOBAL LANGUAGES SERVICES LTD,7946109,revenue,1E320,SEND APR Team,330
"Children, Education and Skills",Education,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946108,revenue,1E320,SEND APR Team,50.4
"Children, Education and Skills",Education Schools,Revenue Expenditure,2020-01-30,AA GLOBAL LANGUAGES SERVICES LTD,7965248,revenue,1E236,SB Young Childrens Spec. Needs,129
City Futures,Communication Services,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946108,revenue,1FT08,Translation Unit,25
City Futures,Communication Services,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946107,revenue,1FT08,Translation Unit,283
Place,Development Management,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946107,revenue,1V030,Development Management,45.5
Resources,Legal Services,Revenue Expenditure,2020-01-03,AA GLOBAL LANGUAGES SERVICES LTD,7946107,revenue,1FA51,Coroner,35
Operations & Regulatory Services,Operations,Revenue Expenditure,2020-01-13,AAA CHEMICALS LTD,7952410,revenue,3KES1,Fleetmaster Stores Account,968
"Children, Education and Skills",Education,Revenue Expenditure,2020-01-20,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7949596,revenue,1EA15,Newcastle City Learning Main,495
"Children, Education and Skills",Education,Revenue Expenditure,2020-01-16,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7956177,revenue,1EA15,Newcastle City Learning Main,622
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-21,ABBEYFIELD CASTLE FARM,7959896,revenue,1MG20,Residential Care OP,7511.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-21,ABBEYFIELD THE GROVE,7959887,revenue,1MG20,Residential Care OP,7511.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-21,ABBEYMOOR LIFEWAYS,7959931,revenue,1MM10,Nursing Care MH,4517.38
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-01-21,ABILITY SMART,7960189,revenue,1EJ12,ICT,683
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-14,ABSOLUTE QUALITY CARE,7953888,revenue,1MG50,Home Care-Spot Purchased OP,18460.36
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-14,ABSOLUTE QUALITY CARE,7953888,revenue,1MH50,Home Care PD,5531.29
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-14,ABSOLUTE QUALITY CARE,7953888,revenue,1MK51,Home Care LD,1449.7
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-14,ABSOLUTE QUALITY CARE,7953888,revenue,1MM50,Home Care MH,68.67
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-01-14,ABSOLUTE QUALITY CARE,7953831,revenue,1MK50,Supported Living LD,1982.72
"Children, Education and Skills",Education,Revenue Expenditure,2020-01-23,ACADEMY MUSIC GROUP LTD T/A O2 ACADEMY N,7961467,revenue,1E558,SB Music Service,500
Resources,Financial Services,Revenue Expenditure,2020-01-28,ACCENTURE,7948726,revenue,1CF00,Payroll,5329.5
Resources,Financial Services,Revenue Expenditure,2020-01-28,ACCENTURE,7948017,revenue,1CF00,Payroll,6170.15
