Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,18 SEA VIEW VILLAS,8663068,revenue,1MK34,Shared Lives - Adult LD,1847.04,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,18 SEA VIEW VILLAS,8682534,revenue,1MK34,Shared Lives - Adult LD,1847.04,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-24,3E CONSULTING ENGINEERS LTD,8678519,revenue,1KR01,Responsive Maintenance,450,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-11,A WILDERNESS WAY,8619078,revenue,1MD62,Support to CIC,2492.64,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,A WILLIAMSON LTD,8679617,revenue,1KVEM,Mechanical Stand Alone Works,720.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,A&J KEITH LTD,8676007,revenue,1KVEE,Electrical Stand Alone Works,400,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-19,A&J KEITH LTD,8674628,revenue,1KBRM,Sub Contractors R & M,68620.12,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-19,A&J KEITH LTD,8674646,revenue,1KR01,Responsive Maintenance,147890.65,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-19,A&J KEITH LTD,8674630,revenue,1KR20,M&E Electrical,9012.68,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-24,A&J KEITH LTD,8675963,revenue,1KR10,Voids,312.34,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-24,A&J KEITH LTD,8676004,revenue,1KVEE,Electrical Stand Alone Works,796,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-12,A&J KEITH LTD,8671796,revenue,1KR01,Responsive Maintenance,430.91,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,A&J KEITH LTD,8675959,revenue,1KR01,Responsive Maintenance,16591.86,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-30,A&J KEITH LTD,8679089,revenue,1KVWC,Minor Works Contracts,57571.83,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-02,A&J KEITH LTD,8660936,revenue,1KVWC,Minor Works Contracts,3270,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-02,A&J KEITH LTD,8660937,revenue,1KVWC,Minor Works Contracts,75452.89,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-23,A&J KEITH LTD,8579377,revenue,1KVEE,Electrical Stand Alone Works,720.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-23,A&J KEITH LTD,8579378,revenue,1KVEE,Electrical Stand Alone Works,705.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-23,A&J KEITH LTD,8515577,revenue,1KVEE,Electrical Stand Alone Works,560.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-04,A&J KEITH LTD,8665950,revenue,1KVWC,Minor Works Contracts,33638,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-02,A&S LOCKSMITHS,8663672,revenue,1DY50,Misc Corporate Estates,1288.17,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-11,A&S LOCKSMITHS,8671205,revenue,1KKX1,Civic Centre Direct Costs,695.20,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,A1 FOSTER CARE,8672367,revenue,1MC22,IND Sector Foster Carer Costs,4560,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-19,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8659721,revenue,1EA15,Newcastle City Learning Main,441,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-12,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8659720,revenue,1EA15,Newcastle City Learning Main,829.00,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-31,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8668180,revenue,1EA15,Newcastle City Learning Main,318.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ABBEYFIELD CASTLE FARM,8673074,revenue,1MG20,Residential Care OP,8697.48,#N/A
