Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,18 SEA VIEW VILLAS,8480106,revenue,1MK34,Shared Lives - Adult LD,2040.04
City Futures,Policy and Performance,Revenue Expenditure,2021-12-17,1SPATIAL GROUP LTD,8472509,revenue,1EJ10,Digital Newcastle,2940
Resources,ICT,Revenue Expenditure,2021-12-17,4NET TECHNOLOGIES LTD,8481640,revenue,1CC24,Telecoms,3772.31
Place,Commercial Dev & Property,Revenue Expenditure,2021-12-24,A T F RETAIL LTD,8481638,revenue,1DV04,Saville Row,450
Place,Fairer Housing Unit,Revenue Expenditure,2021-12-02,A T F RETAIL LTD,8470893,revenue,1VA05,Allerdale House - Parkway,5600.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-07,A WILDERNESS WAY,8473120,revenue,1MM20,Residential Care MH,47160
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-12-06,A WILDERNESS WAY,8471836,revenue,1MC02,Ind Sector Placements,29800
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-12-06,A WILDERNESS WAY,8471837,revenue,1MC02,Ind Sector Placements,27200.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-12-21,A&J KEITH LTD,8484580,revenue,1KBRM,Sub Contractors R & M,74456.51
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-12-21,A&J KEITH LTD,8484579,revenue,1KR20,M&E Electrical,41241.55
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-12-21,A&J KEITH LTD,8484581,revenue,1KR20,M&E Electrical,277724.05
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-12-02,A&J KEITH LTD,8469871,revenue,1KVWC,Minor Works Contracts,24291.94
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-12-10,A&J KEITH LTD,8473816,revenue,1KR20,M&E Electrical,201725.58
Place,Commercial Dev & Property,Revenue Expenditure,2021-12-08,A&J KEITH LTD,8453214,revenue,1DZ16,Stephenson Rd Benton Road,2850.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-12-06,A1 FOSTER CARE,8471807,revenue,1MC22,IND Sector Foster Carer Costs,4560
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-07,ABBEYFIELD CASTLE FARM,8473098,revenue,1MG20,Residential Care OP,19069.96
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,ABBEYFIELD CASTLE FARM,8480368,revenue,1MR14,COVID 19 Rapid Testing,6504.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,ABBEYFIELD CASTLE FARM,8480370,revenue,1MR14,COVID 19 Rapid Testing,4621.92
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,ABBEYFIELD CASTLE FARM,8480369,revenue,1MR14,COVID 19 Rapid Testing,457.44
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-07,ABBEYFIELD THE GROVE,8473086,revenue,1MG20,Residential Care OP,19069.96
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,ABBEYFIELD THE GROVE,8480373,revenue,1MR14,COVID 19 Rapid Testing,8672.96
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,ABBEYFIELD THE GROVE,8480398,revenue,1MR14,COVID 19 Rapid Testing,6162.56
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-16,ABBEYFIELD THE GROVE,8480396,revenue,1MR14,COVID 19 Rapid Testing,609.92
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-07,ABBEYMOOR,8473099,revenue,1MH10,Nursing Care PD,12157.36
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-07,ABBEYMOOR LIFEWAYS,8473146,revenue,1MH10,Nursing Care PD,12157.36
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-07,ABBEYMOOR LIFEWAYS,8473146,revenue,1MM20,Residential Care MH,12497.44
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-23,ABSOLUTE QUALITY CARE,8494651,revenue,1MG50,Home Care-Spot Purchased OP,25608.27
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-23,ABSOLUTE QUALITY CARE,8494651,revenue,1MH50,Home Care PD,3380.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-23,ABSOLUTE QUALITY CARE,8494651,revenue,1MK51,Home Care LD,4617.2
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2021-12-23,ABSOLUTE QUALITY CARE,8494651,revenue,1MM50,Home Care MH,582.72
