Organisational Unit,Payment Date,Amount,Benificiary Name
AHL Policy Res & Dev,2014-10-22,569.72,MAYFIELD BOOKS & GIFTS
AHL Policy Res & Dev,2014-10-08,600.00,LEEDS AND PARTNERS
AHL Policy Res & Dev,2014-10-15,2500.00,CAMERA CREW
AHL Policy Res & Dev,2014-10-15,3045.00,R//EVOLUTION MARKETING
AHL Policy Res & Dev,2014-10-17,7500.00,VISITBRITAIN
AHL Policy Res & Dev,2014-10-22,-1112.50,MEDIACOM NORTH LTD
AHL Policy Res & Dev,2014-10-31,1409.00,MEDIACOM NORTH LTD
AHL Policy Res & Dev,2014-10-31,618.41,THE MIDLAND HOTEL
AHL Policy Res & Dev,2014-10-29,2607.60,SALTS ESTATES LTD
Asset Management,2014-10-03,13686.25,BELLE VUE BOYS SCHOOL
Asset Management,2014-10-03,11796.25,HEATON PRIMARY SCHOOL
Asset Management,2014-10-03,7515.62,LEY TOP PRIMARY SCHOOL
Asset Management,2014-10-03,19115.00,NEWBY PRIMARY SCHOOL
Asset Management,2014-10-03,14339.38,QUEENSBURY  SCHOOL
Asset Management,2014-10-03,6413.13,REEVY HILL PRIMARY SCHOOL
Asset Management,2014-10-03,5147.50,STANBURY VILLAGE SCHOOL
Asset Management,2014-10-10,11329.38,GREEN LANE PRIMARY SCHOOL
Asset Management,2014-10-10,27680.00,LAYCOCK PRIMARY SCHOOL
Asset Management,2014-10-10,6250.00,THORPE PRIMARY SCHOOL
Asset Management,2014-10-17,8950.00,ALLERTON PRIMARY SCHOOL
Asset Management,2014-10-17,6542.50,FAGLEY PRIMARY SCHOOL
Asset Management,2014-10-17,21313.75,PARKSIDE SCHOOL
Asset Management,2014-10-24,8000.00,KEELHAM PRIMARY SCHOOL
Asset Management,2014-10-01,2570.00,Yorkshire Purchasing Organization
Asset Management,2014-10-10,675.00,BROWFIELD CONTRACTING LTD
Asset Management,2014-10-06,150000.00,VASILI INVESTMENTS LTD
Asset Management,2014-10-06,643.00,DARVILLS REMOVALS
Asset Management,2014-10-08,750.00,Smiths Gore
Asset Management,2014-10-10,11020.00,CALDER CABINS
Asset Management,2014-10-10,531.40,GRICE BROS & CO LTD
Asset Management,2014-10-15,758.00,DARVILLS REMOVALS
Asset Management,2014-10-15,1841.65,RACKLINE LIMITED
Asset Management,2014-10-15,943.40,G E CAPITAL EQUIPMENT FINANCE LTD
Asset Management,2014-10-29,12666.00,Bruynzeel Storage Systems Ltd
Asset Management,2014-10-17,565.00,BROWFIELD CONTRACTING LTD
Asset Management,2014-10-20,4120.00,CALDER CABINS
Asset Management,2014-10-29,1976.00,VISUAL BLINDS
Asset Management,2014-10-29,1456.00,Gary Hoerty Associates Ltd
Asset Management,2014-10-27,1395.00,CIPFA BUSINESS LTD
Bradford i,2014-10-06,38000.00,OMBIEL LIMITED
Bradford i,2014-10-27,3343.32,BYTES SOFTWARE SERVICES LTD
Bradford i,2014-10-27,8340.00,PURO SOLUTIONS LIMITED
Building Control,2014-10-17,1450.00,DRAKE PLANT HIRE
Building Control,2014-10-06,1450.00,UNIVERSITY OF ABERTAY DUNDEE
Building Control,2014-10-06,1450.00,UNIVERSITY OF ABERTAY DUNDEE
Building Control,2014-10-03,650.00,HAIGHS FOR DRAINS LTD
Building Control,2014-10-17,-1450.00,DRAKE PLANT HIRE
Building Control,2014-10-29,525.00,F HARDWICK LTD
Business Services,2014-10-01,1318.00,NET VIEW SYSTEMS LTD
Business Services,2014-10-06,6627.74,I-COMPLY LTD
Business Services,2014-10-13,2968.50,TMC TECHNOLOGY UK CO LTD
Business Services,2014-10-13,3515.00,TMC TECHNOLOGY UK CO LTD
Business Services,2014-10-13,4917.01,LEVEL 3 COMMUNICATIONS UK LIMITED
Business Services,2014-10-13,9689.52,NET VIEW SYSTEMS LTD
Chief Executive's Office,2014-10-06,575.12,CANON (UK) LTD
Council wide,2014-10-01,734.33,NPOWER (ELECTRIC)
Council wide,2014-10-01,1053.23,NPOWER (ELECTRIC)
Council wide,2014-10-06,1004.42,NPOWER (ELECTRIC)
Council wide,2014-10-06,3563.31,NPOWER (ELECTRIC)
Council wide,2014-10-06,2878.80,NPOWER (ELECTRIC)
Council wide,2014-10-06,2690.11,NPOWER (ELECTRIC)
Council wide,2014-10-06,4656.33,NPOWER (ELECTRIC)
Council wide,2014-10-06,4329.23,NPOWER (ELECTRIC)
Council wide,2014-10-06,5402.92,NPOWER (ELECTRIC)
Council wide,2014-10-06,3446.44,NPOWER (ELECTRIC)
Council wide,2014-10-06,1744.75,NPOWER (ELECTRIC)
Council wide,2014-10-06,4871.39,NPOWER (ELECTRIC)
Council wide,2014-10-06,4785.38,NPOWER (ELECTRIC)
Council wide,2014-10-06,2551.32,NPOWER (ELECTRIC)
Council wide,2014-10-06,17140.61,NPOWER (ELECTRIC)
Council wide,2014-10-06,1499.80,NPOWER (ELECTRIC)
Council wide,2014-10-06,5408.22,NPOWER (ELECTRIC)
Council wide,2014-10-06,1405.07,NPOWER (ELECTRIC)
Council wide,2014-10-06,4989.33,NPOWER (ELECTRIC)
Council wide,2014-10-06,6637.89,NPOWER (ELECTRIC)
Council wide,2014-10-06,856.27,NPOWER (ELECTRIC)
Council wide,2014-10-06,7039.68,NPOWER (ELECTRIC)
