Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6234,Asylum Seekers Allow,2018-11-06,1900195672,596.00,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2018-11-06,1900195672,3407.46,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2018-11-06,1900195673,720.00,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2018-11-06,1900195673,1037.20,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-11-08,1900195691,3608.30,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2018-11-08,1900195700,955.54,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-11-15,1900195862,553.78,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2018-11-15,6101639567,1200.00,115439,1 TO CONSULT LTD
1034,AHL Policy Res & Dev,13140,Drinks Alch&Non-Alch,2018-11-08,6101639274,27912.86,T67573,CARLSBERG UK
1034,AHL Policy Res & Dev,13140,Drinks Alch&Non-Alch,2018-11-08,6101639294,11957.48,T67573,CARLSBERG UK
1034,AHL Policy Res & Dev,13140,Drinks Alch&Non-Alch,2018-11-08,6101639442,3766.60,T67573,CARLSBERG UK
1034,AHL Policy Res & Dev,13140,Drinks Alch&Non-Alch,2018-11-08,6101639443,3766.60,T67573,CARLSBERG UK
1034,AHL Policy Res & Dev,13140,Drinks Alch&Non-Alch,2018-11-13,6101639444,4454.44,T67573,CARLSBERG UK
1034,AHL Policy Res & Dev,28120,Office Equipment,2018-11-13,6101640080,2454.00,I35626,INDEPENDENT EQUIPMENT COMPANY
1034,AHL Policy Res & Dev,21110,Marketing Services,2018-11-13,6101640078,500.00,101522,TOURISM SOUTH EAST
1034,AHL Policy Res & Dev,21110,Marketing Services,2018-11-08,6101636430,796.00,107385,WORTH VALLEY MAG
,Area Operarations,4500,Services,2018-11-20,1900195947,1100.00,106075,ALL STAR YOUTH ENTERTAINMENT
,Area Operarations,4550,Fees & Charges,2018-11-13,1900195845,10000.00,104184,HMCS
,Area Operarations,3150,Car Parking,2018-11-13,1900195928,2310.34,W34971,WEST YORKSHIRE COMBINED AUTHORITY
,Assessment & Support,4060,Materials,2018-11-15,1900195942,652.00,REDACTED PERSONAL DATA,REDACTED PERSONAL DATA
