Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2019-09-12,500.67,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,800,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,5180.76,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,512.55,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,600,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,2700.48,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,4221.30,Access & Inclusion,PREPAID FINANCIAL SERVICES LIMITED,,
2019-09-12,1000.00,AHL Policy Res & Dev,Bahamas Loco Trading Ltd,,
2019-09-03,3555.00,AHL Policy Res & Dev,MEDIACOM NORTH LTD,,
2019-09-10,600,AHL Policy Res & Dev,WORTH VALLEY MAG,,
2019-09-10,500,Area Co-ordinators Office,BINGLEY REMEMBRANCE GROUP,,
2019-09-05,500,Area Co-ordinators Office,Equality for All CIC,,
2019-09-03,500,Area Co-ordinators Office,HOLLINGS YOUTH,,
2019-09-03,500,Area Co-ordinators Office,RCCG CHAPEL OF GRACE BRADFORD,,
2019-09-19,10000.00,Area Operarations,HMCS,,
2019-09-26,10000.00,Area Operarations,HMCS,,
2019-09-05,1400.00,Assessment & Support,Windmill Court Country House,,
2019-09-05,500,Asset Management,AXIS PROPERTY CONSULTANCY LLP,,
2019-09-10,27875.00,Asset Management,COMBINED PROPERTY CONTROL,,
2019-09-19,758,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-24,544,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-26,544,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-26,651,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-26,819,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-26,819,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-26,556.26,Asset Management,DARVILLS REMOVALS & STORAGE LTD,,
2019-09-03,2550.00,Asset Management,DRAKE PLANT HIRE,,
2019-09-26,10410.00,Asset Management,FRIENDS OF SILSDEN TOWN HALL,,
2019-09-26,4000.00,Asset Management,OAKWORTH COMMUNITY TRUST,,
2019-09-26,6000.00,Asset Management,OAKWORTH COMMUNITY TRUST,,
2019-09-10,4950.00,Asset Management,SAVILLS,,
2019-09-12,965,Breavement & Amenities,REDACTED PERSONAL DATA,,
2019-09-26,980,Building Control,BB7 FIRE LIMITED,,
2019-09-12,750,Building Control,CALDERDALE MBC,,
2019-09-05,1100.00,Building Control,DRAKE PLANT HIRE,,
2019-09-05,1723.00,Building Control,G & A FABRICATIONS LIMITED,,
2019-09-12,1190.00,Building Control,HAVEN BUILDING & MAINTENANCE LTD,,
2019-09-12,840,Building Control,HONEYWELL ANALYTICS AG,,
2019-09-12,800,Building Control,JBA CONSULTING,,
2019-09-12,4517.00,Business Services,NEOLOGY UK LIMITED,,
2019-09-24,720,Business Services,NET VIEW SYSTEMS LTD,,
2019-09-24,1181.70,Business Services,NORBAIN HOLDINGS LIMITED,,
2019-09-24,1909.18,Business Services,NORBAIN HOLDINGS LIMITED,,
2019-09-03,105695.14,Capital - CS0381 Fmr Odeon Building,BRADFORD LIVE,,
2019-09-19,52571.80,Capital - CS0381 Fmr Odeon Building,BRADFORD LIVE,,
2019-09-17,903,Capital -City Centre Business District Priority Streets,BROW ART & BEAUTY LIMITED,,
2019-09-24,14825.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,FAROOK AHMED T/A F BUILDER,,
2019-09-12,3800.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,GM WINDOWS LTD,,
2019-09-24,2740.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,HOMESHIELD (NORTHERN) LTD,,
2019-09-12,13000.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,IS BUILDING CONTRACTORS,,
2019-09-17,3600.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,JAMES ILLINGWORTH,,
2019-09-19,25000.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,LOCAL BUILDING SERVICES,,
2019-09-03,4566.00,Capital -Development of Equity Loans B.O.C. HAL-Loan,XCEL KITCHENS UK LIMITED,,
2019-09-17,1450.00,Capital -Development of Equity Loans H&S Assistance,MOZZAM KHAN,,
2019-09-17,1994.58,Capital -Development of Equity Loans H&S Assistance,SWIFT KITCHENS & BATHROOMS,,
2019-09-24,8332.22,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,A S BUILDERS,,
2019-09-05,17817.22,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,BRADFORD CONSTRUCTION LTD,,
2019-09-05,2671.00,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,HAINSLACK DEVELOPMENTS LTD,,
2019-09-26,6041.00,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,MAHMOOD BUILDERS,,
2019-09-05,2500.00,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,REDACTED PERSONAL DATA,,
2019-09-17,8000.00,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,REDACTED PERSONAL DATA,,
2019-09-17,4054.16,Capital -Disabled Housing Facilities Grant 96 ACT-M-DFG,REDACTED PERSONAL DATA,,
2019-09-03,3370.03,Capital -Empty Private Sector Homes Strategy Empty Property Assistance,A & P CONTRACTORS LIMITED,,
2019-09-19,10000.00,Capital -Empty Private Sector Homes Strategy Empty Property Loans,K P BUILDERS,,
2019-09-10,10000.00,Capital-Capital Improvement Works,MYRTLE PARK PRIMARY SCHOOL,,
2019-09-26,1997.56,CCA Finance,Family Wise Ltd,,
2019-09-12,500,CCA Finance,REDACTED PERSONAL DATA,,
2019-09-26,7631.36,CCA Finance,REDACTED PERSONAL DATA,,
2019-09-17,2720.00,CCA Finance,UNITED CO-OPERATIVES LTD,,
2019-09-17,1510.00,CCA Finance,UNITED CO-OPERATIVES LTD,,
2019-09-26,1674.00,CCA Finance,UNITED CO-OPERATIVES LTD,,
2019-09-24,624,CCA Finance,YELLOWDOT,,
2019-09-19,28083.25,Commissioning & Contracts,AGE UK BRADFORD & DISTRICT,,
2019-09-19,50500.00,Commissioning & Contracts,ALZHEIMERS SOCIETY,,
2019-09-19,7675.00,Commissioning & Contracts,BRADFORD DISTRICT CREDIT UNION,,
2019-09-19,6125.00,Commissioning & Contracts,EQUALITY TOGETHER,,
2019-09-19,3312.55,Commissioning & Contracts,EQUALITY TOGETHER,,
2019-09-19,4737.45,Commissioning & Contracts,EQUALITY TOGETHER,,
2019-09-19,19008.00,Commissioning & Contracts,EQUALITY TOGETHER,,
2019-09-05,3653.00,Commissioning & Contracts,R&B Farrar,,
2019-09-03,3971.97,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1487.66,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,2986.47,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,504.41,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,728.52,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,2684.36,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,669.68,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1818.99,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,553.97,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1171.60,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,677.83,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1206.06,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,2429.37,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,2285.98,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,590.15,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,4178.77,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,887.51,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,757.69,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1046.61,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,731.21,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,4611.51,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,2088.46,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1584.29,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,7285.42,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,822.77,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,840.13,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,631.59,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1729.06,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1289.34,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,4033.86,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-03,1303.14,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,695.35,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,2511.75,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1794.34,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1153.12,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,6868.44,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,945.88,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,2650.52,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,722.82,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1858.80,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,4341.02,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,2231.30,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1330.29,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,3030.54,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1596.05,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,834.85,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,690.97,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,622.08,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1056.29,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,778.79,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1150.26,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,762.67,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,2683.39,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,523.39,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,4194.67,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,947.16,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,715.23,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,1154.83,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,734.77,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,4112.39,COUNCIL WIDE,CORONA ENERGY RETAIL 4 LIMITED,,
2019-09-24,875.12,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,1937.96,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,1967.05,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,1988.95,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,2055.05,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,630.34,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,1726.70,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,685.14,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
2019-09-24,646.52,COUNCIL WIDE,NPOWER (ELECTRIC) YPO CONTRACT,,
