Organisational Unit,Payment Date,Amount,Benificiary Name
AHL,2015-05-08,1395.90,SOCIETY OF LONDON THEATRE
AHL,2015-05-22,7211.38,ELEVATIONS DANCE
AHL,2015-05-20,13422.88,PENNY APPEAL
AHL Policy Res & Dev,2015-05-13,2607.60,SALTS ESTATES LTD
AHL Policy Res & Dev,2015-05-06,2450.00,NEW VISION GROUP LTD
AHL Policy Res & Dev,2015-05-27,9510.00,MEDIACOM NORTH LTD
AHL Policy Res & Dev,2015-05-29,591.75,INDEPENDENT EQUIPMENT COMPANY
AHL Policy Res & Dev,2015-05-29,695.00,YP ELECTRONICS LTD
AHL Policy Res & Dev,2015-05-06,1916.55,ASPECT CPM (UK) LIMITED
AHL Policy Res & Dev,2015-05-06,-2299.86,ASPECT CPM (UK) LIMITED
AHL Policy Res & Dev,2015-05-06,600.11,MAYFIELD BOOKS & GIFTS
AHL Policy Res & Dev,2015-05-20,1049.49,MAYFIELD BOOKS & GIFTS
Asset Management,2015-05-13,6735.00,LAMBERT SMITH HAMPTON
Asset Management,2015-05-29,4251.00,VISUAL BLINDS
Asset Management,2015-05-29,3240.00,VISUAL BLINDS
Asset Management,2015-05-29,3240.00,VISUAL BLINDS
Asset Management,2015-05-29,3240.00,VISUAL BLINDS
Asset Management,2015-05-29,3240.00,VISUAL BLINDS
Asset Management,2015-05-01,2181.00,VISUAL BLINDS
Asset Management,2015-05-29,675.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-05-29,1365.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-05-01,515.00,BURMAR FABRICATION LTD
Asset Management,2015-05-08,2011.00,SAVILLS (UK) LTD
Asset Management,2015-05-01,1183.18,CANON (UK) LTD
Asset Management,2015-05-27,2250.00,GRICE BROS & CO LTD
Asset Management,2015-05-15,761.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-27,918.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-27,659.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-29,918.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-01,500.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-01,778.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-01,995.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-01,921.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-01,985.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-05-27,2250.00,GRICE BROS & CO LTD
Asset Management,2015-05-15,906.50,GRICE BROS & CO LTD
Asset Management,2015-05-11,2929.50,GRICE BROS & CO LTD
Asset Management,2015-05-06,600.00,ANLABY WINDOW CLEANING SERVICES LTD
Asset Management,2015-05-06,2240.00,ANLABY WINDOW CLEANING SERVICES LTD
Bradford i,2015-05-06,16875.00,LIQUIDLOGIC LTD
Bradford i,2015-05-22,678.34,BNP PARIBAS LEASE GROUP (RENTALS)
Bradford i,2015-05-11,1059.64,CANON (UK) LTD
Bradford i,2015-05-11,1712.82,CANON (UK) LTD
Bradford i,2015-05-11,1321.72,CANON (UK) LTD
Bradford i,2015-05-08,1829.53,CANON (UK) LTD
Bradford i,2015-05-08,954.33,CANON (UK) LTD
Bradford i,2015-05-08,1522.62,CANON (UK) LTD
Bradford i,2015-05-11,1681.62,SIEMENS FINANCIAL SERVICES LTD
Bradford i,2015-05-11,-2017.94,SIEMENS FINANCIAL SERVICES LTD
Bradford i,2015-05-29,3995.00,TEXTHELP LTD
Bradford i,2015-05-22,7080.76,BYTES SOFTWARE SERVICES LTD
Bradford i,2015-05-18,928.42,BYTES SOFTWARE SERVICES LTD
Bradford i,2015-05-01,579.42,BYTES SOFTWARE SERVICES LTD
Bradford i,2015-05-20,19154.88,BYTES SOFTWARE SERVICES LTD
Bradford i,2015-05-08,3089.31,VODAFONE
Bradford i,2015-05-08,1358.95,CANON (UK) LTD
Bradford i,2015-05-08,1358.95,CANON (UK) LTD
Bradford i,2015-05-08,1358.95,CANON (UK) LTD
Bradford i,2015-05-15,990.00,QA LTD
Building Control,2015-05-18,2505.98,H2O FLOWTECH LTD
Building Control,2015-05-01,575.00,DRAKE PLANT HIRE
Building Control,2015-05-22,22830.00,DRAKE PLANT HIRE
Building Control,2015-05-20,2195.00,KOREC
Building Control,2015-05-06,3421.00,LEXISNEXIS UK
Building Control,2015-05-06,932.00,HONEYWELL ANALYTICS AG
Business Services,2015-05-01,4300.00,BOLD COMMUNICATIONS LTD
Business Services,2015-05-22,3379.00,TERRIER SC LTD
Business Services,2015-05-01,4926.00,TMC TECHNOLOGY UK CO LTD
