Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
1034,Place,12140,Building H&S,2018-08-16,6101619476,8359.00,C06761,CANNON ELECTRICAL SERVICES LTD
1034,Place,19100,Artistes Fees,2018-08-16,6101620231,850.00,120519,KAPOW DANCE CIRCUS THEATRE
1034,Place,21110,Marketing Services,2018-08-28,6101621267,599.33,L32320,LEEDS COUNCIL
1034,Place,28190,Small items - resale,2018-08-14,6101619380,760.40,117566,OUTSTANDING MAP DISTIBUTORS LTD
1034,Place,24120,ICT Hardware,2018-08-14,6101619379,940.33,117382,SUDLOWS ENTERPRISE SERVICES LTD
1025,Corporate Resources,31130,Other Prof Services,2018-08-23,6101621980,1080.00,119966,AXIS PROPERTY CONSULTANCY LLP
1025,Corporate Resources,28180,Removal  & Storage,2018-08-14,6101619828,521.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-08-14,6101619829,729.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,12395,Minor Building Wks,2018-08-16,6101620704,800.00,D66941,DRAKE PLANT HIRE
1025,Corporate Resources,12200,Drainage Works,2018-08-30,6101622902,712.50,D66941,DRAKE PLANT HIRE
1025,Corporate Resources,12200,Drainage Works,2018-08-07,6101618098,8279.00,E60484,ENVIRONMENT AGENCY
1025,Corporate Resources,12610,Accomm Serv Charges,2018-08-09,6101619261,2243.20,F01215,FAGLEY PRIMARY SCHOOL
1025,Corporate Resources,20120,Water Rates,2018-08-23,6101622103,1725.00,113886,LAMBERT SMITH HAMPTON
1025,Corporate Resources,17200,Cons Other,2018-08-09,6101619019,600.00,113471,MARK BREARLEY & COMPANY
1041,Place,12200,Drainage Works,2018-08-28,6101622225,849.00,A03805,AARAN SHEET METAL LTD
1041,Place,12200,Drainage Works,2018-08-02,6101616876,584.00,100644,HONEYWELL ANALYTICS AG
1041,Place,12470,Highways Struc Works,2018-08-23,6101621778,36259.77,105460,JAGGER CONSTRUCTION SERVICES LTD
1041,Place,31100,Prof Subscriptions,2018-08-02,6101616993,3094.65,100329,LABC
1041,Place,12200,Drainage Works,2018-08-30,6101612140,2545.57,D77607,PETER DUFFY LTD
1041,Place,12470,Highways Struc Works,2018-08-16,6101618967,1298.00,111927,SCCS SURVEY EQUIPMENT LIMITED
1047,Place,30160,Community Safety Sys,2018-08-14,6101615377,688.80,100524,BOLD COMMUNICATIONS LTD
1047,Place,30280,Licence fees,2018-08-28,6101622561,587.25,100076,OFCOM
1047,Place,30280,Licence fees,2018-08-28,6101622562,587.25,100076,OFCOM
Council wide,Corporate Resources,,,2018-08-23,5101671513,583.66,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671515,955.25,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671536,2151.93,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671544,1627.82,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671545,3028.32,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671561,529.34,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671570,1144.28,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671591,3573.20,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671592,595.93,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671597,765.97,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671598,912.76,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671601,564.88,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671602,2716.52,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671604,2048.47,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671609,1158.91,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671641,1762.18,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671642,1383.83,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671643,557.60,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671650,1255.23,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671651,878.05,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671668,630.94,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671670,1022.18,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671671,690.51,116913,CORONA ENERGY RETAIL 4 LIMITED
Council wide,Corporate Resources,,,2018-08-23,5101671672,834.36,116913,CORONA ENERGY RETAIL 4 LIMITED
