Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6234,Asylum Seekers Allow,2019-11-05,1900205099,698.91,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-11-05,1900205100,1935.84,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-11-05,1900205101,507.80,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-11-26,1900205673,760.75,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-11-26,1900205673,3792.78,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,28190,Small items - resale,2019-11-07,6101719006,789.24,E37436,ELGATE PRODUCTS LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-11-26,6101723896,1200.00,123181,THE ARK DESIGN & PRINT LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-11-26,6101723948,500.00,101522,TOURISM SOUTH EAST
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-11-12,6101719865,796.00,107385,WORTH VALLEY MAG
,Area Co-ordinators Office,9600,Other Misc Income,2019-11-26,1900205726,500.00,122797,BRADFORD MOOR PLAY & SUPPORT LTD
,Area Co-ordinators Office,4700,Grants,2019-11-07,1900205222,500.00,120762,DEMENTIA FRIENDLY KEIGHLEY
,Area Co-ordinators Office,4700,Grants,2019-11-28,1900205697,500.00,G30351,GIRLINGTON COMMUNITY CENTRE
,Area Co-ordinators Office,4700,Grants,2019-11-07,1900205214,500.00,ONETIME,Kly Musical Theatre Company
,Area Co-ordinators Office,4700,Grants,2019-11-12,1900205335,500.00,123538,MENSTON COMMUNITY ASSOCIATION
,Area Co-ordinators Office,4700,Grants,2019-11-19,1900205573,500.00,103365,SALTS TENNIS CLUB
,Area Co-ordinators Office,4700,Grants,2019-11-07,1900205217,500.00,ONETIME,STC Safeguarding through Communitie
,Area Co-ordinators Office,4700,Grants,2019-11-07,1900205225,500.00,ONETIME,The Free Seed Company
,Area Co-ordinators Office,4700,Grants,2019-11-07,1900205221,500.00,ONETIME,The Hive Silsden CIO
,Area Co-ordinators Office,4700,Grants,2019-11-07,1900205219,500.00,ONETIME,Yorkshire Cat Rescue 1160138
,Area Operarations,4700,Grants,2019-11-19,1900205582,500.00,120510,FRIENDS OF CENTRE POINT & HOLMEWOOD
,Area Operarations,4700,Grants,2019-11-19,1900205580,500.00,108028,GUJARATI COMMUNITY CENTRE
,Area Operarations,4550,Fees & Charges,2019-11-26,1900205693,10000.00,104184,HMCS
,Assessment & Support,4600,Expenses - Other,2019-11-07,1900205282,1000.00,ONETIME,Mrs Kathryn Burnett
1025,Asset Management,31130,Other Prof Services,2019-11-05,6101717214,1000.00,116254,BINGLEY TOWN COUNCIL
1025,Asset Management,26100,Grounds Maintenance,2019-11-28,6101724168,5000.00,B83067,BURLEY PARISH COUNCIL
1025,Asset Management,28180,Removal  & Storage,2019-11-12,6101719985,594.36,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-11-12,6101720002,601.98,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,14220,Waste Mgmnt Services,2019-11-26,6101723339,1700.00,D66941,DRAKE PLANT HIRE
1025,Asset Management,12200,Drainage Works,2019-11-26,6101723917,8279.00,E60484,ENVIRONMENT AGENCY
1025,Asset Management,31130,Other Prof Services,2019-11-19,6101721988,4975.00,117915,JONES LANG LASALLE LIMITED
1025,Asset Management,12610,Accomm Serv Charges,2019-11-07,6101718809,1328.14,N34824,NEWHALL PARK PRIMARY SCHOOL
1025,Asset Management,12100,Accomm Rent,2019-11-05,6101717271,4950.00,118397,NORTHCLIFFE ALLOTMENT SOCIETY
1025,Asset Management,12170,Demolition Works,2019-11-14,6101720653,27768.57,X03738,NORTHERN POWERGRID (YORKSHIRE) PLC
1025,Asset Management,31130,Other Prof Services,2019-11-14,6101719526,696.00,ONETIME,Oxenhope Village Council
1025,Asset Management,31130,Other Prof Services,2019-11-07,6101717244,1000.00,ONETIME,The Valley Project
1025,Asset Management,17200,Cons Other,2019-11-26,6101723410,37500.00,T86164,TURNER & TOWNSEND
1025,Asset Management,17120,Cons Architect/Bldg,2019-11-19,6101721987,7000.00,111601,WOODHALL PLANNING & CONSERVATION LT
1041,Building Control,14250,Repairs to Machinery,2019-11-14,6101720910,637.50,A08450,ACTIVE HYDRAULICS LTD
1041,Building Control,12380,Plant & Tool Hire,2019-11-21,6101722252,1220.00,A62349,ASHTEAD PLANT HIRE COMPANY LIMITED
1041,Building Control,12510,Tool Supplies,2019-11-21,6101722516,575.00,A62349,ASHTEAD PLANT HIRE COMPANY LIMITED
1041,Building Control,12200,Drainage Works,2019-11-12,6101719815,4900.00,107462,CALDERDALE SEWER SERVICES
1041,Building Control,12200,Drainage Works,2019-11-28,6101724757,725.00,D66941,DRAKE PLANT HIRE
1041,Building Control,12200,Drainage Works,2019-11-28,6101724774,575.00,D66941,DRAKE PLANT HIRE
1041,Building Control,12580,Display Materials,2019-11-07,6101719360,1000.00,109703,SANDINYOUREYE LTD
1041,Building Control,12580,Display Materials,2019-11-07,6101719360,2000.00,109703,SANDINYOUREYE LTD
1041,Building Control,34140,Trng Technical,2019-11-26,6101723239,1355.75,U87067,UNIVERSITY OF LEEDS
