Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
1034,Place,21110,Marketing Services,2018-04-12,6101592659,4478.40,113427,COMMUNICORP UK
1034,Place,21110,Marketing Services,2018-04-12,6101592671,3732.00,113427,COMMUNICORP UK
1034,Place,21110,Marketing Services,2018-04-10,6101591901,27650.00,100955,NEW VISION GROUP LTD
1034,Place,21110,Marketing Services,2018-04-19,6101594206,1950.00,112630,PAUL RAYBOULD MARKETING LTD
1034,Place,12100,Accomm Rent,2018-04-17,6101593667,869.20,S12352,SALTS ESTATES LTD
1034,Place,24130,ICT Maintenance Svs,2018-04-19,6101594794,695.00,X00321,THE PCMS GROUP PLC
1034,Place,28120,Office Equipment,2018-04-26,6101595807,695.00,X00321,THE PCMS GROUP PLC
1034,Place,21110,Marketing Services,2018-04-19,6101594235,851.00,W34971,WEST YORKSHIRE COMBINED AUTHORITY
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101590987,643.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101590989,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,14160,Recycling Services,2018-04-10,6101590990,903.90,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101590991,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591061,643.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591062,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591063,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591064,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591065,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591067,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591068,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591305,735.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591321,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591335,735.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591341,662.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591343,645.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Corporate Resources,28180,Removal  & Storage,2018-04-10,6101591346,697.00,D09681,DARVILLS REMOVALS & STORAGE LTD
