Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6230,Client Accomm costs,2019-05-07,1900200474,1538.68,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6249,Asylum Seekers Trave,2019-05-16,1900200836,2705.61,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-05-21,1900200920,1085.60,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-05-21,1900200920,4548.84,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-05-23,1900201038,8222.76,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-05-23,1900201039,643.40,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-05-23,1900201039,6301.42,117996,PREPAID FINANCIAL SERVICES LIMITED
,Area Operarations,3150,Car Parking,2019-05-02,1900200447,3634.95,W34971,WEST YORKSHIRE COMBINED AUTHORITY
1025,Asset Management,12300,Interior Finish Svs,2019-05-14,6101680031,735.00,103076,BROWFIELD CONTRACTING LIMITED
1025,Asset Management,31130,Other Prof Services,2019-05-28,6101682748,1000.00,120139,FRIENDS OF SILSDEN TOWN HALL
1025,Asset Management,31130,Other Prof Services,2019-05-21,6101681880,968.75,113026,HAYFIELD ROBINSON LTD
1025,Asset Management,31130,Other Prof Services,2019-05-21,6101681728,6500.00,117915,JONES LANG LASALLE LIMITED
1025,Asset Management,31130,Other Prof Services,2019-05-23,6101682142,500.00,104438,PUGH & CO LTD
1025,Asset Management,31130,Other Prof Services,2019-05-14,6101679725,1800.00,X03756,YELLOWDOT
,Breavement & Amenities,9384,Burial Rights,2019-05-09,1900200481,740.00,REDACTED PERSONAL DATA,REDACTED PERSONAL DATA
,Breavement & Amenities,9384,Burial Rights,2019-05-16,1900200737,1008.00,ONETIME,Wilsons Solicitors Client Account
1047,Business Services,30280,Licence fees,2019-05-02,6101677336,720.00,100524,BOLD COMMUNICATIONS LTD
1047,Business Services,30160,Community Safety Sys,2019-05-16,6101680919,5176.50,C69674,CORE INTEGRATED SOLUTIONS LTD
1047,Business Services,30160,Community Safety Sys,2019-05-02,6101677746,1174.00,ONETIME,FOX DESIGN & MANUFACTURING LTD
1047,Business Services,30160,Community Safety Sys,2019-05-16,6101680910,1909.18,120695,NORBAIN HOLDINGS LIMITED
1047,Business Services,30160,Community Safety Sys,2019-05-14,6101679657,7838.46,104071,TERRIER SC LTD
,Capital - CS0381 Fmr Odeon Building,8058,Grants Capital Purps,2019-05-21,1900200910,71872.01,113760,BRADFORD LIVE
,Capital - CS0381 Godwin St (fmr Odeon),8058,Grants Capital Purps,2019-05-14,1900200825,113916.56,113760,BRADFORD LIVE
