Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-02,6101567676,3250.00,116251,XAIS ASSET MANAGEMENT LIMITED
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-18,6101571355,4957.87,J59913,JOINTLINE LTD
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-23,6101571947,1241.54,P25898,DYNNIQ UK LTD
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-16,6101569778,3070.19,C69674,CORE INTEGRATED SOLUTIONS LTD
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-18,6101570097,817.50,112116,TOTAL ACCESS (UK) LTD
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-11,6101569651,25000.00,W00345,WSP UK LTD
1042,Highways Asset Management,12210,Electrical Services,2018-01-23,6101571995,1203.25,X03738,NORTHERN POWERGRID (YORKSHIRE) PLC
1042,Highways Asset Management,12210,Electrical Services,2018-01-23,6101571994,1439.54,X03738,NORTHERN POWERGRID (YORKSHIRE) PLC
1042,Highways Asset Management,12210,Electrical Services,2018-01-23,6101572760,1125.66,X03738,NORTHERN POWERGRID (YORKSHIRE) PLC
1026,Facilities Management,12350,Major Building Works,2018-01-16,6101570552,2699.39,116494,SIMPLY MOVING AND SLEEPING LTD
1026,Facilities Management,12350,Major Building Works,2018-01-30,6101574459,1394.50,116494,SIMPLY MOVING AND SLEEPING LTD
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101568078,4635.00,A76000,ASTOR-BANNERMAN (MEDICAL) LTD
1050,Housing,12180,Disabled Adaptations,2018-01-23,6101571965,4451.00,109395,BEACON CONSTRUCTION AND JOINERY LTD
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568678,5000.00,B84031,BURNS CONTRACTORS
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568679,10000.00,B84031,BURNS CONTRACTORS
1050,Housing,12180,Disabled Adaptations,2018-01-16,6101571072,12000.00,B84031,BURNS CONTRACTORS
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573023,13000.00,B84031,BURNS CONTRACTORS
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573024,15600.00,B84031,BURNS CONTRACTORS
1050,Housing,12180,Disabled Adaptations,2018-01-11,6101569516,3200.58,H86152,HUGH STEEPER LTD
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101567826,4239.24,115732,MEARS LIMITED
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101568079,4990.06,115732,MEARS LIMITED
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101568121,2101.90,115732,MEARS LIMITED
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568352,5204.18,115732,MEARS LIMITED
1050,Housing,12180,Disabled Adaptations,2018-01-16,6101570084,4369.12,115732,MEARS LIMITED
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573144,5476.31,115732,MEARS LIMITED
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101567970,14970.75,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568902,9754.06,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568903,6170.74,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568904,6774.62,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568974,6690.97,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101568976,12000.00,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101569112,5868.69,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-09,6101569115,8000.00,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571454,2845.88,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571530,7054.14,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571752,6815.57,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571753,6648.07,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-23,6101571973,1887.68,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-23,6101571974,2017.51,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573088,4588.18,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573129,6742.21,M68351,MOREABILITY
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101567705,1212.00,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-11,6101569375,7999.00,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-11,6101569376,1112.00,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-16,6101570827,5799.33,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571114,8662.45,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-23,6101571853,4357.71,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573516,6541.75,115612,PARTNERING IN PROPERTY MANAGEMENT L
1050,Housing,12180,Disabled Adaptations,2018-01-11,6101569689,2569.00,S66603,STANNAH LIFTS SERVICE LTD
1050,Housing,12180,Disabled Adaptations,2018-01-11,6101569690,2580.00,S66603,STANNAH LIFTS SERVICE LTD
1050,Housing,12180,Disabled Adaptations,2018-01-11,6101569702,2175.00,S66603,STANNAH LIFTS SERVICE LTD
1050,Housing,12180,Disabled Adaptations,2018-01-04,6101568087,4176.00,L61407,THYSSENKRUPP ENCASA LTD
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571141,2650.00,L61407,THYSSENKRUPP ENCASA LTD
1050,Housing,12180,Disabled Adaptations,2018-01-18,6101571599,4530.00,L61407,THYSSENKRUPP ENCASA LTD
1050,Housing,12180,Disabled Adaptations,2018-01-25,6101573340,2205.00,L61407,THYSSENKRUPP ENCASA LTD
1050,Housing,12180,Disabled Adaptations,2018-01-23,6101572729,8831.00,W28591,WESSEX LIFT CO LTD
,#N/A,8058,Grants Capital Purps,2018-01-18,1900188474,4412.87,115674,MAHMOOD BUILDERS
,#N/A,8058,Grants Capital Purps,2018-01-25,1900188582,6424.24,115838,MR G SINGH T/A G S BUILDERS
,#N/A,8058,Grants Capital Purps,2018-01-09,1900188172,5018.90,REDACTED PERSONAL DATA,REDACTED PERSONAL DATA
,#N/A,8058,Grants Capital Purps,2018-01-16,1900188300,5269.44,REDACTED PERSONAL DATA,REDACTED PERSONAL DATA
,#N/A,8058,Grants Capital Purps,2018-01-30,1900188386,1300.00,118113,C STOICA
,#N/A,8058,Grants Capital Purps,2018-01-16,1900188355,13000.00,108244,LOCAL BUILDING SERVICES
,#N/A,8058,Grants Capital Purps,2018-01-30,1900188619,3710.00,112771,PAUL MARTINDALE
1050,Housing,12350,Major Building Works,2018-01-25,6101573046,3575.00,110505,REDMOND GROUP (YORKSHIRE) LIMITED
1050,Housing,12350,Major Building Works,2018-01-25,6101573049,4290.00,110505,REDMOND GROUP (YORKSHIRE) LIMITED
,#N/A,8058,Grants Capital Purps,2018-01-30,1900188637,1900.00,118729,MR JIBRAN AJAIB T/A A&J ELECTRICIAN
,#N/A,8058,Grants Capital Purps,2018-01-30,1900188639,3006.61,118730,MUHAMMAD ALI
,#N/A,8058,Grants Capital Purps,2018-01-25,1900188589,6000.00,108781,SAFE SPARK ELECTRICAL LTD
,#N/A,8058,Grants Capital Purps,2018-01-18,1900188472,21758.00,117409,GABOR KORCSOG
,#N/A,8058,Grants Capital Purps,2018-01-18,1900188471,8340.00,108375,K P BUILDERS
1042,Highways Asset Management,12210,Electrical Services,2018-01-30,6101574034,1177.05,X03738,NORTHERN POWERGRID (YORKSHIRE) PLC
1042,Highways Asset Management,12210,Electrical Services,2018-01-11,6101560338,1537.00,118174,RLP PAINTING CONTRACTORS LTD
1042,Highways Asset Management,12210,Electrical Services,2018-01-16,6101567484,5762.00,U89585,URBIS SCHREDER LTD
1042,Highways Asset Management,12160,Civil Engineers Wks,2018-01-30,6101560327,5050.00,104956,KIRKLEES COUNCIL
1029,Landscape,19150,Recreation Equipment,2018-01-04,6101567811,14400.00,117589,IAN BARRAND CONSERVATION CONSULTANC
1026,Facilities Management,12350,Major Building Works,2018-01-16,6101570710,1912.00,109270,TRIAD CONTROLS LTD
