Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6230,Client Accomm costs,2019-06-04,1900201102,1041.77,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-06-04,1900201188,1129.81,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-06-18,1900201583,6301.42,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-06-18,1900201621,1233.40,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-06-18,1900201621,5358.24,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-06-20,1900201627,600.00,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-06-20,1900201627,7307.64,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-06-20,1900201717,856.50,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,28190,Small items - resale,2019-06-11,6101684731,606.60,E37436,ELGATE PRODUCTS LIMITED
1034,AHL Policy Res & Dev,28190,Small items - resale,2019-06-04,6101683921,676.82,114055,SOUTHFIELD STATIONERS LTD
,Area Operarations,4550,Fees & Charges,2019-06-04,1900201203,10000.00,104184,HMCS
,Assessment & Support,4015,Purchase Aids & Adap,2019-06-20,1900201567,652.00,ONETIME,Mr Ayaz Rauf
1025,Asset Management,12100,Accomm Rent,2019-06-18,6101686962,22700.00,C54891,COMBINED PROPERTY CONTROL
1025,Asset Management,14170,Refuse Services,2019-06-20,6101687279,570.00,D66941,DRAKE PLANT HIRE
1025,Asset Management,31130,Other Prof Services,2019-06-04,6101683809,1500.00,E36251,EDDISONS COMMERCIAL LIMITED
1025,Asset Management,12300,Interior Finish Svs,2019-06-18,6101687114,690.00,120139,FRIENDS OF SILSDEN TOWN HALL
1025,Asset Management,14220,Waste Mgmnt Services,2019-06-25,6101688979,1259.50,B48105,INCOMMUNITIES
1025,Asset Management,31130,Other Prof Services,2019-06-25,6101689084,10000.00,117915,JONES LANG LASALLE LIMITED
1025,Asset Management,31130,Other Prof Services,2019-06-18,6101687241,6412.50,113886,LAMBERT SMITH HAMPTON
1025,Asset Management,12610,Accomm Serv Charges,2019-06-27,6101689447,2552.83,N34824,NEWHALL PARK PRIMARY SCHOOL
1025,Asset Management,31130,Other Prof Services,2019-06-25,6101689103,500.00,104438,PUGH & CO LTD
1025,Asset Management,31130,Other Prof Services,2019-06-25,6101689104,500.00,104438,PUGH & CO LTD
1025,Asset Management,21110,Marketing Services,2019-06-18,6101686787,900.00,S41452,TIM SMITH
1025,Asset Management,17120,Cons Architect/Bldg,2019-06-11,6101683500,3000.00,111601,WOODHALL PLANNING & CONSERVATION LT
1041,Building Control,12200,Drainage Works,2019-06-06,6101684413,2000.00,S81969,KOREC
1041,Building Control,12200,Drainage Works,2019-06-18,6101687097,4650.32,D77607,PETER DUFFY LTD
1041,Building Control,12200,Drainage Works,2019-06-18,6101687113,520.83,D77607,PETER DUFFY LTD
1041,Building Control,17210,Cons Planning/Devlpt,2019-06-18,6101687210,5000.00,W00345,WSP UK LIMITED
1047,Business Services,17110,Cons Accountancy/Fin,2019-06-27,6101689773,850.00,R29190,AUKER RHODES PROFESSIONAL SERV LLP
1047,Business Services,30160,Community Safety Sys,2019-06-18,6101685375,595.00,100524,BOLD COMMUNICATIONS LTD
1047,Business Services,30160,Community Safety Sys,2019-06-25,6101689059,4808.04,R01126,CENTURYLINK COMMUNICATIONS UK LTD
