Organisational Unit,Payment Date,Amount,Benificiary Name
Adult and Community Services,2016-10-06,1572.95,06 CARE LTD
Adult and Community Services,2016-10-06,7594.80,06 CARE LTD
Adult and Community Services,2016-10-06,666.50,06 CARE LTD
Adult and Community Services,2016-10-06,1302.00,06 CARE LTD
Adult and Community Services,2016-10-06,3010.00,06 CARE LTD
Adult and Community Services,2016-10-06,9141.60,06 CARE LTD
Adult and Community Services,2016-10-20,793.14,06 CARE LTD
Adult and Community Services,2016-10-20,3419.15,06 CARE LTD
Adult and Community Services,2016-10-20,777.00,06 CARE LTD
Adult and Community Services,2016-10-20,1505.00,06 CARE LTD
Adult and Community Services,2016-10-20,4654.80,06 CARE LTD
Adult and Community Services,2016-10-20,779.81,06 CARE LTD
Adult and Community Services,2016-10-20,3515.79,06 CARE LTD
Adult and Community Services,2016-10-20,16703.40,06 CARE LTD
Adult and Community Services,2016-10-20,1505.00,06 CARE LTD
Adult and Community Services,2016-10-20,4766.80,06 CARE LTD
Adult and Community Services,2016-10-06,1376.62,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,1352.54,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,3443.02,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,2912.00,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,6192.34,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,3292.38,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,3266.48,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,2813.86,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,3888.92,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,3220.00,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,3643.22,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,6192.34,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,2912.00,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,3443.02,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,1352.54,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,1376.62,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,3643.22,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,3220.00,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,3888.92,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,2813.86,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,3266.48,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-20,3292.38,2a PARK VIEW ROAD CARE HOME
Adult and Community Services,2016-10-06,4576.60,AALPS NORTH
Adult and Community Services,2016-10-05,4576.60,AALPS NORTH
Adult and Community Services,2016-10-05,-4576.60,AALPS NORTH
Adult and Community Services,2016-10-20,4576.60,AALPS NORTH
Adult and Community Services,2016-10-21,799.00,AAT (GB) LTD
Adult and Community Services,2016-10-06,850.00,ABBEY COURT
Adult and Community Services,2016-10-05,850.00,ABBEY COURT
Adult and Community Services,2016-10-05,-850.00,ABBEY COURT
Adult and Community Services,2016-10-20,850.00,ABBEY COURT
Adult and Community Services,2016-10-06,921.90,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-06,-527.64,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-06,835.24,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-06,-835.24,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-06,921.90,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-20,-835.24,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-20,921.90,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-20,921.90,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-20,-527.64,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-20,835.24,ABBEYDALE RESIDENTIAL HOME
Adult and Community Services,2016-10-03,1032.00,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-03,1316.20,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-03,726.66,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-03,2064.00,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-04,1236.23,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-04,969.50,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-06,921.90,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-06,-510.10,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-06,921.90,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-06,-761.48,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-06,1056.96,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-07,821.00,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-07,1279.55,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-07,1056.96,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-13,1056.96,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-13,1017.00,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-13,1279.56,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-14,1056.96,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-20,921.90,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-20,-761.48,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-27,951.00,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-27,1256.21,ABBEYFIELD THE DALES LTD
Adult and Community Services,2016-10-13,1612.80,ABLE COMMUNITY CARE
Adult and Community Services,2016-10-13,806.40,ABLE COMMUNITY CARE
Adult and Community Services,2016-10-20,806.40,ABLE COMMUNITY CARE
Adult and Community Services,2016-10-20,806.40,ABLE COMMUNITY CARE
Adult and Community Services,2016-10-21,806.40,ABLE COMMUNITY CARE
Adult and Community Services,2016-10-20,2133.15,ACTIVE SOCIAL CARE LTD
Adult and Community Services,2016-10-20,846.00,ACTIVE SOCIAL CARE LTD
Adult and Community Services,2016-10-20,1442.65,ACTIVE SOCIAL CARE LTD
Adult and Community Services,2016-10-20,699.70,ACTIVE SOCIAL CARE LTD
Adult and Community Services,2016-10-20,1466.40,ACTIVE SOCIAL CARE LTD
Adult and Community Services,2016-10-20,2206.69,ACTIVE SOCIAL CARE LTD
Adult and Community Services,2016-10-06,1098.48,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,1095.22,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,837.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
Adult and Community Services,2016-10-06,921.90,ADA CARE LTD
