Organisational Unit,Payment Date,Amount,Benificiary Name
AHL Policy Res & Dev,2013-05-31,1471.51,RICHARD LANG & SON LTD
AHL Policy Res & Dev,2013-05-31,695.00,YP ELECTRONICS LTD
Asset Management,2013-05-20,1950.00,ACANTHUS WSM ARCHITECTS
Asset Management,2013-05-20,1609.00,ACANTHUS WSM ARCHITECTS
Asset Management,2013-05-20,1601.00,ACANTHUS WSM ARCHITECTS
Asset Management,2013-05-20,655.00,LUCILLE FAIRBANK
Asset Management,2013-05-08,1000.00,REEDS RAINS LTD
Asset Management,2013-05-08,1000.00,REEDS RAINS LTD
Asset Management,2013-05-08,1000.00,REEDS RAINS LTD
Asset Management,2013-05-08,855.62,CANON (UK) LTD
Asset Management,2013-05-22,999.00,DARVILLS REMOVALS
Asset Management,2013-05-08,975.00,DARVILLS REMOVALS
Asset Management,2013-05-20,950.00,DARVILLS REMOVALS
Asset Management,2013-05-22,900.00,DARVILLS REMOVALS
Asset Management,2013-05-08,772.80,DARVILLS REMOVALS
Asset Management,2013-05-20,680.00,DARVILLS REMOVALS
Asset Management,2013-05-22,650.00,DARVILLS REMOVALS
Asset Management,2013-05-08,640.00,DARVILLS REMOVALS
Asset Management,2013-05-08,563.50,DARVILLS REMOVALS
Asset Management,2013-05-22,550.00,DARVILLS REMOVALS
Asset Management,2013-05-24,550.00,DARVILLS REMOVALS
Asset Management,2013-05-08,527.00,DARVILLS REMOVALS
Asset Management,2013-05-20,515.00,DARVILLS REMOVALS
Asset Management,2013-05-22,500.00,DARVILLS REMOVALS
Asset Management,2013-05-22,500.00,DARVILLS REMOVALS
Asset Management,2013-05-08,500.00,DARVILLS REMOVALS
Asset Management,2013-05-08,500.00,DARVILLS REMOVALS
Asset Management,2013-05-08,500.00,DARVILLS REMOVALS
Asset Management,2013-05-22,6840.00,ENVIRONMENT AGENCY
Asset Management,2013-05-29,2500.00,GRICE BROS & CO LTD
Asset Management,2013-05-20,1932.45,GRICE BROS & CO LTD
Asset Management,2013-05-13,1500.00,GRICE BROS & CO LTD
Asset Management,2013-05-24,1409.20,GRICE BROS & CO LTD
Bradford i,2013-05-31,764.00,PROBRAND LIMITED
Bradford i,2013-05-01,8057.00,NVIRON LTD
Bradford i,2013-05-01,1203.74,NVIRON LTD
Bradford i,2013-05-03,2584.75,VODAFONE
Bradford i,2013-05-10,6910.40,Miss Jacqueline Reid
Building Control,2013-05-10,601.90,AIR SERVICES UK
Building Control,2013-05-22,26630.00,HAVEN BUILDING & MAINTENANCE LTD
Building Control,2013-05-22,705.00,NATIONAL SOIL RESOURCES INSTITUTE
Building Control,2013-05-15,739.16,J N BENTLEY LTD
Building Control,2013-05-17,3226.00,LEXISNEXIS UK
