Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6230,Client Accomm costs,2018-09-06,1900194177,2269.09,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-09-11,1900194198,608.30,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-09-11,1900194201,3443.46,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2018-09-11,1900194202,540.00,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2018-09-11,1900194202,1037.20,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-09-11,1900194251,6075.74,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-09-20,1900194381,4216.50,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2018-09-20,1900194405,629.20,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2018-09-11,6101625970,4813.00,106448,BMERCH LTD
1034,AHL Policy Res & Dev,21110,Marketing Services,2018-09-11,6101625827,600.00,C05026,CAMERA CREW
1034,AHL Policy Res & Dev,17200,Cons Other,2018-09-25,6101629224,13088.50,115978,MRS C MORROW
,Area Co-ordinators Office,4700,Grants,2018-09-20,1900194440,500.00,121001,BOWLING ALLOTMENTS & GDNS SOCIETY
,Area Co-ordinators Office,4700,Grants,2018-09-20,1900194443,500.00,120567,BRADFORD PHAB CLUB
,Area Co-ordinators Office,4700,Grants,2018-09-25,1900194491,500.00,118327,THE AIRE RIVERS TRUST
,Area Operarations,4550,Fees & Charges,2018-09-18,1900194335,10000.00,104184,HMCS
1025,Asset Management,26110,Landscapes Services,2018-09-13,6101626274,625.00,103076,BROWFIELD CONTRACTING LIMITED
1025,Asset Management,12100,Accomm Rent,2018-09-11,6101625718,22700.00,C54891,COMBINED PROPERTY CONTROL
1025,Asset Management,14160,Recycling Services,2018-09-18,6101627499,882.56,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,14160,Recycling Services,2018-09-18,6101627500,635.46,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2018-09-18,6101627524,802.06,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2018-09-25,6101629071,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2018-09-27,6101629742,602.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2018-09-27,6101629745,551.00,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,20130,Rates,2018-09-20,6101628565,8078.62,113886,LAMBERT SMITH HAMPTON
1025,Asset Management,20130,Rates,2018-09-20,6101628572,3487.50,113886,LAMBERT SMITH HAMPTON
1025,Asset Management,14110,Cleaning Premises,2018-09-06,6101616677,742.62,M55856,MINSTER CLEANING SERVICES
1025,Asset Management,14110,Cleaning Premises,2018-09-20,6101628068,788.42,M55856,MINSTER CLEANING SERVICES
1025,Asset Management,25100,Insurance Bldgs/Cont,2018-09-25,6101628842,748.84,N33740,NEWLANDS COMM ASSOC (TRADING) LTD
1025,Asset Management,31130,Other Prof Services,2018-09-06,6101624995,500.00,104438,PUGH & CO LTD
,Assistant Director's Office,1900,Staff Training,2018-09-27,1900194495,1980.00,ONETIME,M.A.Higgs
1041,Building Control,12200,Drainage Works,2018-09-13,6101624767,800.00,D66941,DRAKE PLANT HIRE
1041,Building Control,12200,Drainage Works,2018-09-13,6101624770,4800.00,D66941,DRAKE PLANT HIRE
1041,Building Control,17210,Cons Planning/Devlpt,2018-09-25,6101624765,3500.00,104435,OVE ARUP & PARTNERS LTD
1041,Building Control,12470,Highways Struc Works,2018-09-11,6101624999,1298.00,111927,SCCS SURVEY EQUIPMENT LIMITED
1041,Building Control,12200,Drainage Works,2018-09-13,6101626094,1619.48,W00345,WSP UK LIMITED
1047,Business Services,30160,Community Safety Sys,2018-09-25,6101628658,644.76,100770,AIRWAVE SOLUTIONS LTD
1047,Business Services,30160,Community Safety Sys,2018-09-25,6101628659,644.76,100770,AIRWAVE SOLUTIONS LTD
1047,Business Services,12470,Highways Struc Works,2018-09-06,6101609836,1806.80,C69674,CORE INTEGRATED SOLUTIONS LTD
1047,Business Services,12470,Highways Struc Works,2018-09-06,6101612595,23408.77,C69674,CORE INTEGRATED SOLUTIONS LTD
1047,Business Services,30160,Community Safety Sys,2018-09-06,6101624483,8264.60,C69674,CORE INTEGRATED SOLUTIONS LTD
