Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6230,Client Accomm costs,2019-03-26,1900199266,782.82,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-03-28,1900199289,643.40,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-03-28,1900199289,4520.37,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-03-28,1900199379,851.49,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-03-28,1900199379,4496.72,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-03-28,1900199382,1106.80,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-03-28,1900199382,5229.58,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-03-28,6101661748,1645.00,112783,CARRIER DIRECT MARKETING
1034,AHL Policy Res & Dev,17200,Cons Other,2019-03-19,6101667801,7589.16,116519,CULTURE CREATIVITY PLACE LTD
,Area Co-ordinators Office,4700,Grants,2019-03-12,1900198672,1000.00,105194,16-2-25
,Area Co-ordinators Office,4700,Grants,2019-03-07,1900198688,500.00,109784,3C YORKSHIRE LTD
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198626,500.00,120495,AMAZING GRACE FRIENDS GROUP
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198627,500.00,121892,ATHLETICO JUNIOR FOOTBALL CLUB
,Area Co-ordinators Office,4700,Grants,2019-03-12,1900198949,500.00,121972,BRADFORD BEENI TEAM
,Area Co-ordinators Office,4700,Grants,2019-03-19,1900199086,800.00,118749,BURLEY-IN-WHARFEDALE COMMUNITY TRUS
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198857,500.00,105183,EAST BOWLING PENSIONERS CLUBS
,Area Co-ordinators Office,5400,Grants to Vol Orgs,2019-03-21,1900199228,900.00,109285,GREAT HORTON CHURCH CRICKET CLUB
,Area Co-ordinators Office,4700,Grants,2019-03-21,1900199264,970.00,120466,HIGHER COACH ROAD RESIDENTS GROUP
,Area Co-ordinators Office,4700,Grants,2019-03-12,1900198662,1000.00,K64837,HIVE (BRADFORD)
,Area Co-ordinators Office,5400,Grants to Vol Orgs,2019-03-14,1900199013,800.00,101827,LOWER GRANGE COMMUNITY ASSOC
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900199006,500.00,116982,MARY MAGDALENE CIC
,Area Co-ordinators Office,5400,Grants to Vol Orgs,2019-03-28,1900199381,800.00,116982,MARY MAGDALENE CIC
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198641,950.00,121839,NEIGHBOURHOOD RESOURCE
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198656,500.00,107365,PCC ST JOHNS BOWLING
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198639,1000.00,100664,RAVENSCLIFFE YOUTH ASSOCIATION
,Area Co-ordinators Office,5400,Grants to Vol Orgs,2019-03-19,1900199111,900.00,110898,ROOTED IN
,Area Co-ordinators Office,4700,Grants,2019-03-12,1900198986,500.00,S00310,SAHELI
,Area Co-ordinators Office,5400,Grants to Vol Orgs,2019-03-21,1900199230,800.00,117686,THE HEATON TENNIS & SQUASH CLUB LTD
,Area Co-ordinators Office,4700,Grants,2019-03-14,1900198640,1000.00,V38673,THE VINE TRUST
,Area Co-ordinators Office,5400,Grants to Vol Orgs,2019-03-21,1900199231,800.00,121772,THORNTON COMMUNITY CENTRE
