Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6234,Asylum Seekers Allow,2019-07-18,1900202357,709.6,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-07-18,1900202357,5329.80,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-07-18,1900202370,600,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-07-18,1900202370,6107.64,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-07-18,1900202371,5537.58,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-07-30,1900202673,638.78,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-07-30,6101697883,682.8,113993,LIFESTYLE MEDIA GROUP
1034,AHL Policy Res & Dev,28190,Small items - resale,2019-07-09,6101692794,544.4,117566,OUTSTANDING MAP DISTIBUTORS LTD
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-07-16,6101694267,500,101522,TOURISM SOUTH EAST
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-07-18,6101695189,80000.00,E54311,WELCOME TO YORKSHIRE
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-07-18,6101695192,20000.00,E54311,WELCOME TO YORKSHIRE
,Area Co-ordinators Office,4700,Grants,2019-07-25,1900202639,500,113389,CREATIVE FLARE YORKSHIRE CIC
,Area Co-ordinators Office,4700,Grants,2019-07-02,1900201831,500,112407,FRIENDS OF HORTON PARK
,Area Co-ordinators Office,4700,Grants,2019-07-02,1900201834,500,109145,HOLLINGS YOUTH
,Area Operarations,4550,Fees & Charges,2019-07-02,1900201910,10000.00,104184,HMCS
,Area Operarations,4550,Fees & Charges,2019-07-23,1900202565,10000.00,104184,HMCS
,Area Operarations,3150,Car Parking,2019-07-11,1900202259,5421.77,W34971,WEST YORKSHIRE COMBINED AUTHORITY
,Assessment & Support,5400,Grants to Vol Orgs,2019-07-11,1900202255,1400.00,ONETIME,Windmill Court Country House
1025,Asset Management,12210,Electrical Services,2019-07-16,6101694124,720,105266,ACCESS CONTRACTING LIMITED
1025,Asset Management,12100,Accomm Rent,2019-07-02,6101690449,1751.59,117880,ALLERTON ALLOTMENT ASSOCIATION
1025,Asset Management,31130,Other Prof Services,2019-07-11,6101693142,5200.00,119966,AXIS PROPERTY CONSULTANCY LLP
1025,Asset Management,24120,ICT Hardware,2019-07-11,6101692865,1104.00,117381,CABLENET (LEEDS) LIMITED
1025,Asset Management,24120,ICT Hardware,2019-07-04,6101691867,1060.00,106163,COMPLETE IT SYSTEMS
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694211,712,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694212,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694213,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694214,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694215,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694216,712,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694217,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694218,758,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694227,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694228,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694231,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-16,6101694232,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-07-30,6101694235,593.5,D09681,DARVILLS REMOVALS & STORAGE LTD
