Organisational Unit,Payment Date,Amount,Benificiary Name
Adult & Community Services,2015-11-20,2145.00,CARE UNIQUE LTD
Adult & Community Services,2015-11-20,2340.00,CARE UNIQUE LTD
Adult & Community Services,2015-11-20,2483.00,CARE UNIQUE LTD
Adult & Community Services,2015-11-20,3328.00,CARE UNIQUE LTD
Adult & Community Services,2015-11-13,524.60,West Yorkshire Pension Fund
Adult & Community Services,2015-11-04,1331.76,Cliffe Vale
Adult & Community Services,2015-11-13,4784.07,Fraser & Fraser
Adult & Community Services,2015-11-04,42400.00,PEACE MUSEUM UK
Adult & Community Services,2015-11-11,1000.00,KEIGHLEY ARMED FORCES ASSOCIATION
Adult & Community Services,2015-11-06,3532.48,THREE SISTERS
Adult & Community Services,2015-11-20,3532.48,THREE SISTERS
Adult & Community Services,2015-11-06,864.92,LEYLANDS CARE HOME
Adult & Community Services,2015-11-20,864.92,LEYLANDS CARE HOME
Adult & Community Services,2015-11-06,1331.40,THE HEATHERS
Adult & Community Services,2015-11-20,1331.40,THE HEATHERS
Adult & Community Services,2015-11-27,2873.70,THE HEATHERS
Adult & Community Services,2015-11-06,4144.42,BRONTE VIEW
Adult & Community Services,2015-11-20,4144.42,BRONTE VIEW
Adult & Community Services,2015-11-27,-44549.12,CAIREACH LTD T/A WOODLEIGH COMM CAR
Adult & Community Services,2015-11-27,-18450.27,CAIREACH LTD T/A WOODLEIGH COMM CAR
Adult & Community Services,2015-11-06,2784.32,CAIREACH LTD T/A WOODLEIGH COMM CAR
Adult & Community Services,2015-11-20,2784.32,CAIREACH LTD T/A WOODLEIGH COMM CAR
Adult & Community Services,2015-11-06,864.92,LINDISFARNE CARE HOME LTD
Adult & Community Services,2015-11-20,864.92,LINDISFARNE CARE HOME LTD
Adult & Community Services,2015-11-06,867.02,LINDISFARNE CARE HOME LTD
Adult & Community Services,2015-11-20,867.02,LINDISFARNE CARE HOME LTD
Adult & Community Services,2015-11-06,612.36,THE FLOWERS
Adult & Community Services,2015-11-20,612.36,THE FLOWERS
Adult & Community Services,2015-11-20,3778.04,THE FLOWERS
Adult & Community Services,2015-11-06,782.74,DUCHESS GARDENS CARE CENTRE
Adult & Community Services,2015-11-20,782.74,DUCHESS GARDENS CARE CENTRE
Adult & Community Services,2015-11-06,530.18,REGENCY HEALTHCARE LTD
Adult & Community Services,2015-11-20,530.18,REGENCY HEALTHCARE LTD
Adult & Community Services,2015-11-06,782.74,REGENCY HEALTHCARE LTD
Adult & Community Services,2015-11-20,782.74,REGENCY HEALTHCARE LTD
Adult & Community Services,2015-11-06,917.00,ASHMEADOWS CARE HOME
Adult & Community Services,2015-11-20,931.42,ASHMEADOWS CARE HOME
Adult & Community Services,2015-11-06,518.14,CROSSLEY HOUSE CARE HOME
