Service Code,Service Label,Expenditure code,Expenditure category,Payment date,Transaction Number,Net Amount,Supplier Number,Supplier Name
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-10,1900205974,1866.84,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-10,1900205975,1958.84,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-10,1900206029,573.9,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-10,1900206029,2908.34,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-10,1900206030,573.9,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-10,1900206030,3331.24,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-17,1900206132,1047.80,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-12-17,1900206247,1873.18,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-31,1900206450,1107.12,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-31,1900206450,3020.86,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6234,Asylum Seekers Allow,2019-12-31,1900206513,1107.12,117996,PREPAID FINANCIAL SERVICES LIMITED
,Access & Inclusion,6230,Client Accomm costs,2019-12-31,1900206513,3460.86,117996,PREPAID FINANCIAL SERVICES LIMITED
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-12-10,6101727858,3806.00,113427,COMMUNICORP UK
1034,AHL Policy Res & Dev,21110,Marketing Services,2019-12-10,6101727896,3000.00,113427,COMMUNICORP UK
,Area Operarations,4700,Grants,2019-12-24,1900206461,500,100501,ST MATTHEWS CHURCH
,Area Operarations,4700,Grants,2019-12-24,1900206353,500,112459,WIBSEY RUGBY CLUB
1025,Asset Management,12100,Accomm Rent,2019-12-10,6101728298,27875.00,C54891,COMBINED PROPERTY CONTROL
1025,Asset Management,28180,Removal  & Storage,2019-12-17,6101729770,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-17,6101729771,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-17,6101729772,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-17,6101729773,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-17,6101729802,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-17,6101729803,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-19,6101730072,544,D09681,DARVILLS REMOVALS & STORAGE LTD
1025,Asset Management,28180,Removal  & Storage,2019-12-19,6101730221,651,D09681,DARVILLS REMOVALS & STORAGE LTD
