Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2016-01-04,1171209,316.20,SWIFT - PREPAID CARDS,299980,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-01-04,1171210,438.50,MEADOW WELL CONNECTED,355522,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-01-04,1171211,381.43,RIVERSIDE VIEW CARE HOME / FOUR SEASONS,393021,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171211,445.00,RIVERSIDE VIEW CARE HOME / FOUR SEASONS,393021,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171213,500.62,HELEN MCARDLE CARE,392923,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171214,510.91,HELEN MCARDLE CARE,392922,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171217,495.73,GUIDEPOSTS TRUST,392787,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171218,599.07,CARE UK MENTAL HEALTH PARTNERSHIPS LTD,333648,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,341.18,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,460.52,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,477.65,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,477.65,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,477.65,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,477.65,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-01-04,1171219,477.65,ORCHARD CARE HOMES.COM,387538,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
