Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2016-04-01,1219830,15.50,PRECOR PRODUCTS LIMITED,302540,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.EQUIPMENT
2016-04-01,1219830,25.76,PRECOR PRODUCTS LIMITED,302540,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.EQUIPMENT
2016-04-01,1219830,30.59,PRECOR PRODUCTS LIMITED,302540,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.EQUIPMENT
2016-04-01,1219830,33.85,PRECOR PRODUCTS LIMITED,302540,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.EQUIPMENT
2016-04-01,1219830,212.54,PRECOR PRODUCTS LIMITED,302540,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.EQUIPMENT
2016-04-01,1219835,258.00,Redacted Personal Data,317517,"Environment, Housing & Leisure",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,06.TUITION
2016-04-01,1219835,318.00,Redacted Personal Data,317517,"Environment, Housing & Leisure",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,06.TUITION
2016-04-01,1219837,447.13,CRYOSERVICE LIMITED,344901,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,08.ENVIRONMENTAL SERV
2016-04-01,1219837,372.61,CRYOSERVICE LIMITED,344901,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,08.ENVIRONMENTAL SERV
2016-04-01,1219837,447.13,CRYOSERVICE LIMITED,344901,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,08.ENVIRONMENTAL SERV
