Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2026-05-04,2381501,330.72,Redacted Personal Data,402590,Capital,Capital,Capital,Third Party Payments,505,Other Establishments,5041,Capital,NON INFLUENCIBLE.INDIVIDUAL
2026-05-05,2383183,408.31,Redacted Personal Data,396265,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,NON INFLUENCIBLE.INDIVIDUAL
2026-05-05,2383183,408.31,Redacted Personal Data,396265,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,NON INFLUENCIBLE.INDIVIDUAL
2026-05-05,2383190,452.85,LINSKILL TRADING LTD,393264,Capital,Capital,Capital,Income,509,Customer and Client Receipts,5064,Capital,HUMAN RESOURCES.TRAINING & CONFERENCES
2026-05-06,2384571,383.31,SHIREMOOR PRIMARY SCHOOL,256148,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,NON INFLUENCIBLE.NT SCHOOLS
2026-05-06,2384572,316.65,SHIREMOOR PRIMARY SCHOOL,256148,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,NON INFLUENCIBLE.NT SCHOOLS
2026-05-06,2384573,383.31,CARVILLE PRIMARY SCHOOL,345409,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,NON INFLUENCIBLE.NT SCHOOLS
2026-05-10,2385822,408.31,DUDLEY PRE SCHOOL,391686,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,SOCIAL CARE.FAMILY SUPPORT
2026-05-10,2385822,408.31,DUDLEY PRE SCHOOL,391686,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,SOCIAL CARE.FAMILY SUPPORT
2026-05-12,2390619,408.31,NEW YORK PRIMARY SCHOOL,276829,Capital,Capital,Capital,Third Party Payments,505,Independent Units within the Council,5035,Capital,NON INFLUENCIBLE.NT SCHOOLS
