Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2015-05-01,2251,400.00,HMCS,360503,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.PUBLIC SECTOR
2015-05-01,2254,890.40,HOUSING BENEFIT,299992,Finance & Commercial Services,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2015-05-01,2255,438.20,GENERAL INVOICES - BSS ONLY,379831,Corporate Accounting,Holding A/C,N/A,Control Accounts,N/A,Control Accounts,N/A,Revenue,00.NON INFLUENCIBLE
2015-05-01,2256,307.74,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,2258,300.00,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,2259,381.88,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,2260,808.26,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,2261,1396.00,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2015-05-01,2265,270.00,ASHINGTON HIGH SCHOOL,392281,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,00.EXT SCHOOLS
2015-05-01,1042533,2699.23,NORCARE LTD,334347,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042533,2699.24,NORCARE LTD,334347,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042534,7360.50,NEW PROSPECTS ASSOCIATION LIMITED,203069,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.DAY CARE SERVICES
2015-05-01,1042534,10164.66,NEW PROSPECTS ASSOCIATION LIMITED,203069,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.DAY CARE SERVICES
2015-05-01,1042535,4195.21,NORTHERN LIFE CARE LTD T/A UBU LTD,214737,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.RESIDENTIAL
2015-05-01,1042536,4355.75,MEARS HOME IMPROVEMENT LIMITED,386511,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042537,28286.07,ISOS HOUSING LIMITED,105505,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042538,14988.33,HARBOUR SUPPORT SERVICES,384545,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2015-05-01,1042539,9764.02,ST ANNE'S COMMUNITY SERVICES,366247,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.DAY CARE SERVICES
2015-05-01,1042540,37000.00,INLINE,321443,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
