Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2016-09-05,1302265,1475.88,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302266,254.55,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302267,802.38,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302268,999.90,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302269,317.76,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302271,294.24,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302273,414.24,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302276,844.46,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-05,1302290,301.62,SWIFT - PREPAID CARDS,299980,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-09-05,1302291,262.75,SWIFT - PREPAID CARDS,299980,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-09-05,1302299,961.88,SWIFT - PREPAID CARDS,299980,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-09-05,1302302,586.92,SWIFT - PREPAID CARDS,299980,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-09-05,1302306,527.00,SWIFT - PREPAID CARDS,299980,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2016-09-01,12143,2000.00,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.WELFARE
2016-09-01,12144,870.88,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.WELFARE
2016-09-01,12154,1510.71,BULK PAYMENTS,299982,Central Items,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.NON INFLUENCIBLE
2016-09-01,12158,720.00,Redacted Personal Data,394102,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,00.NON INFLUENCIBLE
2016-09-01,12163,4250.00,MS KIRTI JERAM,364768,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,16.LEGAL SERVICES
2016-09-01,1302020,1035.60,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302021,360.80,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302023,302.29,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302024,1111.92,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302025,848.36,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302026,319.20,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302029,1105.34,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302031,1735.44,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302032,1161.51,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302035,905.85,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302039,414.24,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302043,281.09,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302045,460.28,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302046,488.21,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302050,355.46,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302051,1991.76,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302052,329.66,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302054,323.54,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302056,1050.77,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-09-01,1302060,14.08,GREENLAY (GRASS MACHINERY) LTD,337595,"Environment, Housing & Leisure",Cultural & Related Services,104,Transport,503,Direct Transport Costs,5016,Revenue,13.EQUIPMENT
2016-09-01,1302060,64.00,GREENLAY (GRASS MACHINERY) LTD,337595,"Environment, Housing & Leisure",Cultural & Related Services,104,Transport,503,Direct Transport Costs,5016,Revenue,13.EQUIPMENT
2016-09-01,1302060,403.20,GREENLAY (GRASS MACHINERY) LTD,337595,"Environment, Housing & Leisure",Cultural & Related Services,104,Transport,503,Direct Transport Costs,5016,Revenue,13.EQUIPMENT
2016-09-01,1302062,198.00,FLEET FACTORS LTD,006831,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302062,319.96,FLEET FACTORS LTD,006831,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,22.62,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,25.04,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,71.62,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,156.08,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,250.00,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,287.29,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,361.75,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,428.68,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,440.95,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302064,595.00,NORTH EAST TRUCK & VAN,014751,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302065,174.00,THOMAS OWEN AND SONS LTD,015083,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,05.CLEANING MATERIALS
2016-09-01,1302065,273.00,THOMAS OWEN AND SONS LTD,015083,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,05.CLEANING MATERIALS
2016-09-01,1302067,720.00,STANNAH LIFT SERVICES LIMITED,102817,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL FITTED
2016-09-01,1302067,1293.00,STANNAH LIFT SERVICES LIMITED,102817,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL FITTED
2016-09-01,1302068,355.20,MARITIME CARGO PROCESSING LTD,388267,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,15.HARDWARE
2016-09-01,1302070,4837.12,ROYAL MAIL GROUP LTD,350981,Law & Governance,Central Services,102,Supplies and Services,504,Communications & Computing,5028,Revenue,18.POSTAGE
2016-09-01,1302071,742.95,ALISON BLACK LIMITED T/A SPORTMAX,387480,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SPORTS EQUIP
2016-09-01,1302071,36.15,ALISON BLACK LIMITED T/A SPORTMAX,387480,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SPORTS EQUIP
2016-09-01,1302071,706.80,ALISON BLACK LIMITED T/A SPORTMAX,387480,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SPORTS EQUIP
2016-09-01,1302071,742.95,ALISON BLACK LIMITED T/A SPORTMAX,387480,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SPORTS EQUIP
2016-09-01,1302074,1153.15,TMP (UK) LTD,386724,Law & Governance,Central Services,102,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,16.ADVERTISING
2016-09-01,1302075,10.00,CHUBB ELECTRONIC SECURITY SYSTEMS LTD,375594,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,INTRUDER ALARM
2016-09-01,1302075,343.00,CHUBB ELECTRONIC SECURITY SYSTEMS LTD,375594,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,INTRUDER ALARM
2016-09-01,1302076,337.50,Redacted Personal Data,349924,"Environment, Housing & Leisure",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,18.CONFERENCING
2016-09-01,1302079,11.95,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,11.95,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,11.95,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,11.95,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,15.95,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,15.95,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,24.50,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,24.50,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,33.00,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,33.00,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,49.00,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,49.00,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302079,49.00,DURHAM BUSINESS WEAR LTD,331187,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTHING UNI
2016-09-01,1302081,22991.42,AGE UK NORTH TYNESIDE,334565,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2016-09-01,1302081,33831.40,AGE UK NORTH TYNESIDE,334565,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2016-09-01,1302090,1795.70,NORTHUMBRIAN WATER LIMITED,014360,Business & Economic Development,Planning Services,110,Premises-Related Expenditure,502,Rates,5008,Revenue,27.WATER
2016-09-01,1302091,540.00,BARNARDO'S,029324,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-09-01,1302091,720.00,BARNARDO'S,029324,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-09-01,1302094,9.50,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,10.85,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,10.85,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,10.85,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,10.85,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,16.00,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,18.40,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,21.06,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,21.06,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,30.36,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302094,68.00,DVS COMPONENTS,004169,"Environment, Housing & Leisure",Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
2016-09-01,1302097,530.00,ST CUTHBERTS CARE,248775,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302097,530.00,ST CUTHBERTS CARE,248775,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302097,687.50,ST CUTHBERTS CARE,248775,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302097,795.00,ST CUTHBERTS CARE,248775,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302097,2137.50,ST CUTHBERTS CARE,248775,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302098,14636.70,KIER NORTH TYNESIDE LIMITED,383278,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,02.BUILDING SERVICES
2016-09-01,1302099,424.00,STEVE TRENHOLM,373594,"Environment, Housing & Leisure",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,18.CONFERENCING
2016-09-01,1302100,400.00,THE TRUSTEES OF THE DIOCESE OF HEXHAM & NEWCASTLE,004510,Commissioning & Investment,Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,16.REAL ESTATE
2016-09-01,1302101,450.00,ADARE LTD,372769,Law & Governance,Central Services,102,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PRINT PRINT
2016-09-01,1302102,65515.39,TALBOT HOUSE,020441,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302104,3520.00,HOWARD HOUSE CARE LIMITED,358471,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302104,3520.00,HOWARD HOUSE CARE LIMITED,358471,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2016-09-01,1302107,6000.00,SILVERLINK SOFTWARE LIMITED,308814,Commissioning & Investment,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,15.SOFTWARE
2016-09-01,1302109,802.56,DEBTORS VENDOR (ANITE),299989,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,00.NON INFLUENCIBLE
2016-09-01,1302112,4107.00,Redacted Personal Data,394046,HR & Organisational Development,Central Services,102,Employees,501,Indirect Employee Expenses,5002,Revenue,00.GRANT
2016-09-01,1302113,4107.00,Redacted Personal Data,394045,HR & Organisational Development,Central Services,102,Employees,501,Indirect Employee Expenses,5002,Revenue,00.GRANT
2016-09-01,1302114,4107.00,Redacted Personal Data,394044,HR & Organisational Development,Central Services,102,Employees,501,Indirect Employee Expenses,5002,Revenue,00.GRANT
2016-09-01,1302115,1477.50,EURO CONTRACTING SOLUTIONS LTD,382680,Business & Economic Development,Planning Services,110,Third Party Payments,505,Private Contractors,5042,Revenue,FIRE GUARD
2016-09-01,1302115,2235.00,EURO CONTRACTING SOLUTIONS LTD,382680,Business & Economic Development,Planning Services,110,Third Party Payments,505,Private Contractors,5042,Revenue,FIRE GUARD
2016-09-01,1302118,305.96,DE POEL MANAGED SERVICES LIMITED,391542,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,219.66,DE POEL MANAGED SERVICES LIMITED,391542,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,263.63,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,293.02,DE POEL MANAGED SERVICES LIMITED,391542,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,298.94,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,341.64,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.13,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
2016-09-01,1302118,351.50,DE POEL MANAGED SERVICES LIMITED,391542,"Environment, Housing & Leisure",Cultural & Related Services,104,Employees,501,Direct Employee Expenses,5001,Revenue,16.AGENCY WORKER
