Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2014-12-01,962889,33831.39,AGE UK NORTH TYNESIDE,334565,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962866,22540.00,DH HOMECARE LTD,363748,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2014-12-01,962889,22540.00,AGE UK NORTH TYNESIDE,334565,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962951,22540.00,ALLIED HEALTHCARE GROUP LTD,347472,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2014-12-01,962976,22540.00,NORTH TYNESIDE HOMECARE ASSOCIATES LTD,357929,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2014-12-01,962987,22540.00,HOUSING 21,305162,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2014-12-01,962990,22540.00,MEARS GROUP PLC,378729,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2014-12-01,962889,22991.42,AGE UK NORTH TYNESIDE,334565,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962987,15192.67,HOUSING 21,305162,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2014-12-01,962863,150000.00,BALFOUR BEATTY WORKPLACE LIMITED,389026,Capital,Capital,Capital,Supplies and Services,504,Communications & Computing,5028,Capital,19.PFI
2014-12-01,962888,6775.67,NORTH TYNESIDE CARERS CENTRE,300370,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,22.SUPPORT SERVICES
2014-12-01,962900,22680.00,JUST LEARNING LTD,351428,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.GRANT
2014-12-01,962986,20406.05,HAWTHORN NURSERIES,302216,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.EQUIPMENT
2014-12-01,963021,19642.75,NNDR,299990,General Fund Financing,Holding A/C,N/A,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,00.NON INFLUENCIBLE
2014-12-01,962995,1450.41,Redacted Personal Data,379947,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,00.GRANT
2014-12-01,962998,15593.20,KIDS 1ST DAY NURSERIES,358393,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.GRANT
2014-12-01,962908,13440.50,TYNEMOUTH LILLIPUT NURSERY,335878,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962960,12596.80,4CHILDREN (DIRECT) LTD,328174,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962883,9848.50,FIELD HOUSE DAY NURSERY,346653,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962892,9246.00,CHILDRENS CHOICE NURSERY,335676,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962898,8627.00,FOREST HALL DAY NURSERY,283904,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962955,5902.70,LITTLE TWISTERS LTD,389759,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.GRANT
2014-12-01,962971,5806.20,INTERSERVE FM (STEPPING STONES),361169,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.GRANT
2014-12-01,962983,5704.50,SCHOOLS OUT (NORTHERN) LTD,350887,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.GRANT
2014-12-01,962914,5672.40,APPLETREE GARDENS OUT OF SCHOOL CLUB,375345,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2014-12-01,962902,5413.00,TYNEMOUTH NURSERY AT THE ACADEMY,381708,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962248,5327.50,SWIFT - PREPAID CARDS,299980,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2014-12-01,962934,5253.33,EUROPEAN CARE UK - DOVECOTE,322403,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962975,5252.80,KINDER CASTLE  LTD,355757,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,22.CHILDRENS' SERVICES
2014-12-01,962863,5000.00,BALFOUR BEATTY WORKPLACE LIMITED,389026,DCE - Technical Package,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,19.PFI
2014-12-01,962915,400.00,THE TRUSTEES OF THE DIOCESE OF HEXHAM & NEWCASTLE,004510,Commissioning & Fair Access,Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,16.REAL ESTATE
2014-12-01,962684,4698.22,CARE UK COMMUNITY PARTNERSHIPS LIMITED,330181,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962863,4583.34,BALFOUR BEATTY WORKPLACE LIMITED,389026,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,19.PFI
2014-12-01,962545,4540.03,UNITED RESPONSE,330350,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962861,4500.00,SCS COUNSELLING & THERAPY SERVICES,391758,"Children, Young People & Learning",Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,18.TRAINING
2014-12-01,962545,4104.49,UNITED RESPONSE,330350,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962957,4000.00,CAPITA SYMONDS LTD,376582,DCE - Technical Package,Planning Services,110,Third Party Payments,505,Private Contractors,5042,Revenue,19.PFI
2014-12-01,962728,3616.67,QUALITY CARE HOMES PLC (264596),264596,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962476,3577.00,NEW BEGINNINGS (N.E.) LTD,337005,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962476,3577.00,NEW BEGINNINGS (N.E.) LTD,337005,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962968,3401.58,PETER BRETT ASSOCIATES LLP T/A ROGER TYM AND PARTNERS,309036,DCE - Technical Package,Housing Services,108,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.CONSULTANTS FEES
2014-12-01,962545,3306.00,UNITED RESPONSE,330350,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962427,3048.57,CARE UK LEARNING DISABILITIES SERVICES LTD,387528,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.DAY CARE SERVICES
2014-12-01,523987,3000.00,GENERAL INVOICES - BSS ONLY,379831,Corporate Accounting,Holding A/C,N/A,Control Accounts,N/A,Control Accounts,N/A,Revenue,00.NON INFLUENCIBLE
2014-12-01,962545,2876.60,UNITED RESPONSE,330350,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962550,2846.15,NORTH EAST AUTISM SOCIETY,329004,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962709,2605.30,CARE HOMES FOR ADULTS WITH DISABILITIES,364959,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962677,2581.00,AUTISM CARE (UK) LIMITED,387636,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962677,2579.50,AUTISM CARE (UK) LIMITED,387636,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962469,2554.17,SWIFT - PREPAID CARDS,299980,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2014-12-01,962986,2517.00,HAWTHORN NURSERIES,302216,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.EQUIPMENT
2014-12-01,962785,2514.81,AUTISM NORTH LIMITED,376291,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962713,2501.51,COQUET TRUST,347369,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962937,2470.50,LEIGH'S NURSERIES,391513,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2014-12-01,962677,2457.00,AUTISM CARE (UK) LIMITED,387636,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962550,2442.30,NORTH EAST AUTISM SOCIETY,329004,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962545,2426.03,UNITED RESPONSE,330350,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962645,2341.00,LIFEWAYS COMMUNITY CARE LTD,385849,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962603,2323.22,Redacted Personal Data,386973,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2014-12-01,962182,2237.88,HOUSING BENEFIT,299992,Finance & Commercial Services,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2014-12-01,962691,2218.82,PERCY HEDLEY FOUNDATION,252934,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962395,2184.00,NEW PROSPECTS ASSOCIATION LIMITED,203069,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962670,2174.74,CARE MANAGEMENT GROUP LIMITED,337801,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962545,2145.57,UNITED RESPONSE,330350,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2014-12-01,962936,2133.00,RISE AND SHINE PLAYGROUP LTD,391514,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2014-12-01,962476,2117.42,NEW BEGINNINGS (N.E.) LTD,337005,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962492,2107.00,Redacted Personal Data,386873,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.SUPPORT SERVICES
2014-12-01,962395,2102.87,NEW PROSPECTS ASSOCIATION LIMITED,203069,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962690,2100.00,NORTHERN LIFE CARE LTD T/A UBU LTD,214737,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
2014-12-01,962985,2067.10,GROSVENOR COMMUNITY PRE-SCHOOL,281696,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,00.EXT SCHOOLS
2014-12-01,962395,2039.50,NEW PROSPECTS ASSOCIATION LIMITED,203069,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.DAY CARE SERVICES
2014-12-01,962373,2026.85,Redacted Personal Data,353764,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,22.RESIDENTIAL
2014-12-01,962743,2001.55,RESOLVE CARE NORTHERN LIMITED,383736,Adult Social Care,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.RESIDENTIAL
