Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,10/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4630800,113.61,May Fuel
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,24/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631897,188.11,May Fuel
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,03/06/2015,DR K M COATS,4631778,"1,554.00",May 2015 payment Medical Referee
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,24/06/2015,FALON NAMEPLATES LTD,4631592,17.5,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,24/06/2015,FALON NAMEPLATES LTD,4631592,344.6,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Other Premises Related Costs,08/06/2015,MOOR & VALLEY LTD,4631917,"3,490.00",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,11/06/2015,FACULTATIEVE TECHNOLOGIES LTD,4631706,-563.74,credit trans 4630065
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,17/06/2015,FACULTATIEVE TECHNOLOGIES LTD,4631357,"2,020.26",
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,29/06/2015,HACS CIVIL ENGINEERING LLP,4632670,"45,805.72",Stonefall Cemetry
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,11/06/2015,WETHERBY SKIP HIRE SERVICES,4630934,172.71,various
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,29/06/2015,WETHERBY SKIP HIRE SERVICES,4631923,172.71,various
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,03/06/2015,DR R SPENCER,4631777,351.5,Dr R Spencer May 2015 monthly
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,29/06/2015,PEACOCK BROTHERS,4631980,"2,950.00",
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,03/06/2015,HALL FUELS,4630814,492.3,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,24/06/2015,HUMBLE HERITAGE,4631842,250,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,03/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631104,58.38,Apr Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,03/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631104,51.44,Apr Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,03/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631104,-58.38,Apr Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,03/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631104,-51.44,Apr Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,10/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4630800,-58.95,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,10/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4630800,-56.9,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,10/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4630800,58.95,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,10/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4630800,56.9,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,24/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631897,-55.23,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,24/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631897,55.23,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/06/2015,NORTHGATE VEHICLE HIRE LTD,4633175,274.72,VAN HIRE MAY 2015
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/06/2015,NORTHGATE VEHICLE HIRE LTD,4633178,274.72,VAN HIRE MAY 2015
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,11/06/2015,NORTHGATE VEHICLE HIRE LTD,4630749,287.8,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,17/06/2015,NOMIX ENVIRO,4631286,206.6,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,17/06/2015,NOMIX ENVIRO,4631286,6.3,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,08/06/2015,BOB COWELL,4631799,379,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,22/06/2015,PARK SQUARE PROPERTY MANAGEMENT LTD,4631822,"12,500.00",Station Parade Car Park
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,24/06/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4631897,40,late payment charge
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/06/2015,ATS EUROMASTER LTD,4631805,723.35,ATS tyres may 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/06/2015,ATS EUROMASTER LTD,4631805,227.24,ATS tyres may 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/06/2015,ATS EUROMASTER LTD,4631805,439.12,ATS tyres may 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/06/2015,ATS EUROMASTER LTD,4631805,456.14,ATS tyres may 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/06/2015,ATS EUROMASTER LTD,4631805,227.24,ATS tyres may 2015
