Body Name,Expenditure Category,Captial/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,02/10/2017,WETHERBY SKIP HIRE SERVICES,4683136,150,various
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,30/10/2017,BULLOUGHS CLEANING SERVICES LTD,4684327,295,HBC  Blossomgate Hostel Blossomgate
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,30/10/2017,BULLOUGHS CLEANING SERVICES LTD,4684330,641.33,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,30/10/2017,BULLOUGHS CLEANING SERVICES LTD,4684331,775.67,HBC  Avondale House The Avondale Hostel
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,11/10/2017,CORDANT PEOPLE LIMITED,4684416,365.7,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,18/10/2017,CORDANT PEOPLE LIMITED,4684757,426.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,09/10/2017,CORDANT PEOPLE LIMITED,4684034,435.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,30/10/2017,CORDANT PEOPLE LIMITED,4685270,444.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,30/10/2017,CORDANT PEOPLE LIMITED,4685269,449.48,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,18/10/2017,CORDANT PEOPLE LIMITED,4684758,524.73,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,09/10/2017,CORDANT PEOPLE LIMITED,4684033,766.29,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,25/10/2017,CORDANT PEOPLE LIMITED,4684415,819.64,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,04/10/2017,PROFESSIONAL PAPER SUPPLIES LTD,4682743,"1,108.40",Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Equipment,18/10/2017,PROFESSIONAL PAPER SUPPLIES LTD,4683387,219.5,Claro Road Deliveries
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,04/10/2017,PROFESSIONAL PAPER SUPPLIES LTD,4682822,223.85,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,18/10/2017,PROFESSIONAL PAPER SUPPLIES LTD,4683851,253.35,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,04/10/2017,BOB COWELL,4684094,320,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/10/2017,EDEN FARM LTD,4682912,672.69,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Other Consultants Fees,02/10/2017,EDGE PUBLIC SOLUTIONS LTD,4684177,"22,425.00",
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,18/10/2017,KILLGERM CHEMICALS LTD,4683609,233.2,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/10/2017,P P SNACK FOODS LTD,4682882,291.38,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/10/2017,P P SNACK FOODS LTD,4682882,-23.98,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/10/2017,P P SNACK FOODS LTD,4682882,23.98,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,11/10/2017,PELICAN ROUGE COFFEE SOLUTIONS LTD,4683547,374.08,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,11/10/2017,PELICAN ROUGE COFFEE SOLUTIONS LTD,4683547,-338.54,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,11/10/2017,PELICAN ROUGE COFFEE SOLUTIONS LTD,4683547,338.54,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,18/10/2017,PELSIS LIMITED,4683846,731.12,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,11/10/2017,STORM ENVIRONMENTAL LIMITED,4683899,"2,642.40",
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,11/10/2017,STORM ENVIRONMENTAL LIMITED,4683899,"5,094.00",
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,58.77,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,-58.77,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,-56.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,56.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,105.39,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,-105.39,AS60046921
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,BAYDALE CONTROL SYSTEMS LTD,4684105,"8,916.52",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,BAYDALE CONTROL SYSTEMS LTD,4684106,"10,643.89",
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,11/10/2017,BEMROSE BOOTH PARAGON LTD,4683202,"-2,223.00",re inv 441326
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,11/10/2017,BEMROSE BOOTH PARAGON LTD,4683193,-274.8,re inv 441418
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,11/10/2017,BEMROSE BOOTH PARAGON LTD,4683005,274.8,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,11/10/2017,BEMROSE BOOTH PARAGON LTD,4683005,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,11/10/2017,BEMROSE BOOTH PARAGON LTD,4682706,391.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,30/10/2017,BEMROSE BOOTH PARAGON LTD,4683004,862.6,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,11/10/2017,BEMROSE BOOTH PARAGON LTD,4683006,"2,268.00",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,30/10/2017,BOB COWELL,4684102,375,Conyngham Hall
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Cash Collection Fees,02/10/2017,G4S CASH SOLUTIONS (UK),4683540,825.16,1 Oct 17  31 Oct 17
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684176,"2,118.31",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684176,-552.5,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684176,552.5,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684175,"2,431.58",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684175,"-1,156.00",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,25/10/2017,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684175,"1,156.00",
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,16/10/2017,NIDDERDALE AGRICULTURAL SOCIETY,4684645,"3,675.08",Additional rent Nidderdale Showground
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684433,274.72,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684434,274.72,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685117,300.89,NA13SOE
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685119,300.89,NA13SOH
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684433,-274.72,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684434,-274.72,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685117,-300.89,NA13SOE
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685119,-300.89,NA13SOH
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,16/10/2017,PARK SQUARE PROPERTY MANAGEMENT LTD,4683875,"4,166.67",Re Station Parade Car Park Harrogate
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,18/10/2017,PARKEON LTD,4683877,616,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,18/10/2017,PARKEON LTD,4683835,"1,092.00",
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,25/10/2017,REDFERN TRAVEL LTD,4685126,1,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,25/10/2017,REDFERN TRAVEL LTD,4685126,1,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,25/10/2017,REDFERN TRAVEL LTD,4685126,1,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,30/10/2017,SCHEIDT & BACHMANN (UK) LTD,4685201,"2,750.00",
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,30/10/2017,SCHEIDT & BACHMANN (UK) LTD,4685201,"1,800.00",
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,18/10/2017,SCHEIDT & BACHMANN (UK) LTD,4684823,"1,233.00",
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,30/10/2017,WHARFEDALE FINANCE CO.,4684225,850,Car Park Station Road Pannal
Harrogate Borough Council,Premises,R,Community,Car Parking,Water & Sewerage,25/10/2017,YORKSHIRE WATER PLC,4684912,388.06,York Place Car  and  Coach Park
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,70.33,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,117.58,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,72.71,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,11/10/2017,BARRY CARTER MOTOR PRODUCTS LTD,4684194,258.82,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,25/10/2017,DENNIS EAGLE LTD,4683892,227.52,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,16/10/2017,DENNIS EAGLE LTD,4684357,272.79,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,11/10/2017,DENNIS EAGLE LTD,4682908,330.31,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,25/10/2017,DENNIS EAGLE LTD,4684070,435.16,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,25/10/2017,DENNIS EAGLE LTD,4684727,860.39,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,30/10/2017,DIRECT TYRE MANAGEMENT LTD,4684448,"5,927.16",
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,25/10/2017,DIRECT TYRE MANAGEMENT LTD,4684566,"13,480.16",
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,04/10/2017,EURO MUNICIPAL LTD,4682724,250,Claro Road supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,18/10/2017,EVANS HALSHAW DAF LEEDS,4683970,245.64,Claro Road supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,30/10/2017,FUCHS LUBRICANTS (UK) PLC,4685758,548.32,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,04/10/2017,GIBSONS GARDEN MACHINERY LTD,4682782,232.58,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,MEND A HOSE HYDRAULICS LTD,4683598,226.75,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,MIKE WILSON MOTORS,4683606,581,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,11/10/2017,MITCHELL DIESEL LTD,4683190,295.5,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,04/10/2017,MITCHELL DIESEL LTD,4682505,316.47,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,25/10/2017,NORTHERN RADIATORS LTD,4683998,398,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,25/10/2017,NORTHERN RADIATORS LTD,4684257,"1,100.00",Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,PROBRUSH,4683697,178.46,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,PROBRUSH,4683697,178.46,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,PROBRUSH,4683697,178.46,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,PROBRUSH,4683697,178.47,Claro Road supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,11/10/2017,RIX PETROLEUM (HULL) LIMITED,4683104,244.75,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,04/10/2017,RIX PETROLEUM (HULL) LIMITED,4682715,504.8,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,18/10/2017,RIX PETROLEUM (HULL) LIMITED,4683656,507.9,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,25/10/2017,RIX PETROLEUM (HULL) LIMITED,4684078,719.67,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,04/10/2017,RIX PETROLEUM (HULL) LIMITED,4682716,"9,484.00",Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,18/10/2017,RIX PETROLEUM (HULL) LIMITED,4683657,"9,515.00",Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,25/10/2017,RIX PETROLEUM (HULL) LIMITED,4684077,"9,524.06",Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,11/10/2017,RIX PETROLEUM (HULL) LIMITED,4683103,"9,571.00",Diesel EN590
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,S & W SERVICES (YORKSHIRE) LTD,4684369,270,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,S & W SERVICES (YORKSHIRE) LTD,4684375,340,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/10/2017,S & W SERVICES (YORKSHIRE) LTD,4684375,170,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,11/10/2017,TERBERG MATEC UK,4683121,416.64,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,04/10/2017,THE AUTOGLAZIERS,4682741,445,Claro Road supplies
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,02/10/2017,BAYDALE CONTROL SYSTEMS LTD,4683941,"2,365.00",
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,30/10/2017,BAYDALE CONTROL SYSTEMS LTD,4685779,"2,365.00",Monthly CCTV Upgrade Maintenance for the period of October 2017
Harrogate Borough Council,Premises,R,Community,Community Safety,Other Premises Related Costs,25/10/2017,BAYDALE CONTROL SYSTEMS LTD,4684107,"7,194.50",
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,18/10/2017,PMD MAGNETICS,4683654,104,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,18/10/2017,PMD MAGNETICS,4683654,104,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,18/10/2017,PMD MAGNETICS,4683654,39.1,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,18/10/2017,PMD MAGNETICS,4683654,31.5,
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,25/10/2017,REDFERN TRAVEL LTD,4685126,73.6,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,16/10/2017,ST ANDREW PRINT SOLUTIONS,4684829,361,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Equipment,25/10/2017,DOGS TRUST,4684185,246,dog microchips scanners petscanlOO v8
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,25/10/2017,NORTHUMBRIAN WATER LIMITED (NWL),4684181,"1,213.77",Environmental Protection
Harrogate Borough Council,Transport,R,Community,Enviromental Protection,Travel,25/10/2017,REDFERN TRAVEL LTD,4685126,106,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.7,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.22,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.22,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.22,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.2,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.35,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.35,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.34,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.35,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Miscellaneous Expenditure,25/10/2017,NORTH YORKSHIRE COUNTY COUNCIL,4684751,"395,491.69",2nd qtr Surplus payment 201718
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684433,137.36,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684433,137.36,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684434,137.36,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4684434,137.36,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685117,150.45,NA13SOE
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685117,150.44,NA13SOE
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685119,150.45,NA13SOH
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,25/10/2017,NORTHGATE VEHICLE HIRE LTD,4685119,150.44,NA13SOH
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,02/10/2017,CROFT PROPERTIES (HARROGATE) LTD,4684118,"1,150.00",Bond and rent in advance 
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,11/10/2017,ECLIPSE PROPERTIES LIMITED,4684497,986.58,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,11/10/2017,ECLIPSE PROPERTIES LIMITED,4684499,"1,534.68",REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,04/10/2017,JOHN WILLIS PROPERTIES LIMITED,4682753,700,Bond Rent in advance 
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,09/10/2017,KARL HANOVER PROPERTIES LTD,4684511,425,Rent in advance 
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,11/10/2017,LENTINSMITH,4684569,650,Bond and rent in advance 
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,11/10/2017,LENTINSMITH,4684569,780,Bond and rent in advance 
