ï»¿Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TFL CORPORATE,EXCELERATED S2P,Software Maintenance,1001\5110042450,2021-12-24,64974.00,
RAIL FOR LONDON LIMITED,SWIFT AUTOMATIC DOORS & SECURITY,Maintenance of Plant & Equipment,1020\5110039570,2021-12-22,1200.00,
RAIL FOR LONDON LIMITED,SWIFT AUTOMATIC DOORS & SECURITY,Protective Clothing,1020\5110039567,2021-12-22,710.00,
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110046987,2021-12-15,218755.13,
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110047563,2021-12-15,37916.06,
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110047577,2021-12-15,31789.48,
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110054007,2022-01-06,29895.60,
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110047581,2021-12-15,7376.56,
TFL CORPORATE,2CV RESEARCH,Customer Research And Counts,1001\5110037705,2021-12-15,26000.00,
TRANSPORT TRADING LTD,2CV RESEARCH,Customer Research And Counts,1004\5110042112,2021-12-24,19560.00,
SURFACE TRANSPORT CORP,2CV RESEARCH,Customer Research And Counts,1002\5110037706,2021-12-15,14500.00,
SURFACE TRANSPORT CORP,2CV RESEARCH,Customer Research And Counts,1002\5110042134,2021-12-24,6650.00,
TFL CORPORATE,2CV RESEARCH,Research For Marketing Campaigns And Activities,1001\5110042116,2021-12-24,6500.00,
TFL CORPORATE,3B TRAINING LIMITED,Staff Training,1001\5110054168,2022-01-06,990.00,
TUBE LINES LTD,3ECO,Staff Training,1025\5110041272,2021-12-22,8950.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110051002,2021-12-23,10832.50,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110044570,2021-12-17,8760.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110051658,2021-12-23,6445.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110050993,2021-12-23,5980.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Electrical Equipment Maintenance,1005\5110051702,2021-12-23,4211.70,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110046311,2021-12-14,3812.50,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Track General Maintenance,1005\5110048907,2021-12-20,2878.50,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110050998,2021-12-22,2560.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110048912,2021-12-20,2065.45,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110045502,2021-12-14,1944.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110045501,2021-12-14,1825.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047611,2021-12-16,1706.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047613,2021-12-16,1706.00,
LONDON RIVER SERVICES LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1007\5110046308,2021-12-15,1642.50,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110049613,2021-12-22,1587.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110045505,2021-12-14,1466.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Equipment Repairs & Maintenance,1005\5110051760,2021-12-23,1363.50,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047606,2021-12-16,1347.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110053659,2022-01-05,1297.85,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047617,2021-12-16,1228.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110049612,2021-12-22,1109.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110048918,2021-12-20,1105.95,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047615,2021-12-16,974.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047653,2021-12-17,934.25,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110051653,2021-12-23,865.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Plant & Equipment Purchases,1005\5110053704,2022-01-05,680.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110049615,2021-12-22,676.70,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Track General Maintenance,1005\5110045498,2021-12-13,415.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110049620,2021-12-22,373.70,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110049785,2021-12-22,373.70,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Track General Maintenance,1005\5110046891,2021-12-15,373.70,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110048041,2021-12-17,368.65,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110047043,2022-01-05,365.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110048919,2021-12-22,365.00,
LONDON UNDERGROUND LTD,4 RAIL SERVICES LTD,Building Maintenance & Repairs,1005\5110051014,2021-12-22,365.00,
SURFACE TRANSPORT CORP,40SEVEN LTD,Professional Engineering Services,1002\5110042804,2021-12-24,18770.00,
SURFACE TRANSPORT CORP,40SEVEN LTD,Professional Engineering Services,1002\5110042806,2021-12-24,11075.00,
SURFACE TRANSPORT CORP,40SEVEN LTD,Professional Engineering Services,1002\5110042807,2021-12-24,9780.00,
SURFACE TRANSPORT CORP,40SEVEN LTD,Professional Engineering Services,1002\5110042789,2021-12-24,6995.00,
SURFACE TRANSPORT CORP,40SEVEN LTD,Professional Engineering Services,1002\5110043009,2021-12-24,3995.00,
SURFACE TRANSPORT CORP,40SEVEN LTD,Contracted Services - Roads,1002\5110044454,2021-12-24,2615.00,
TRANSPORT TRADING LTD,A & D NEWS J PATEL,Transys Control - TTL,1004\1901680932,2021-12-22,830.79,
LONDON UNDERGROUND LTD,A J WELLS & SONS LTD,MR Construction Costs,1005\5109949634,2022-01-04,7217.15,
LONDON UNDERGROUND LTD,A&A ELECTRICAL DISTRIBUTORS LTD,Fleet,1005\5110051189,2021-12-23,582.50,
LONDON UNDERGROUND LTD,A&A ELECTRICAL DISTRIBUTORS LTD,Furniture & Equipment,1005\5110052314,2021-12-24,487.50,
LONDON UNDERGROUND LTD,A.E PETSCHE,Fleet,1005\5110045199,2021-12-31,413.98,
LUL NOMINEE BCV LIMITED,A.E PETSCHE,Signalling Systems,1033\5110038866,2021-12-20,413.75,
LUL NOMINEE BCV LIMITED,A.S.B. (RNI) LTD,Fleet,1033\5110045839,2021-12-31,5988.00,
LONDON UNDERGROUND LTD,A.S.B. (RNI) LTD,Fleet,1005\5110032727,2022-01-06,1310.00,
SURFACE TRANSPORT CORP,AA DRIVETECH,Contracted Services - Roads,1002\5110037361,2021-12-13,732978.82,
LUL NOMINEE SSL LIMITED,ABB LIMITED,Maintenance Materials,1031\5110039360,2021-12-15,12334.26,
TUBE LINES LTD,ABB LIMITED,Electrical & Electronic Engineering,1025\5110037581,2021-12-15,3423.00,
TUBE LINES LTD,ABB LIMITED,Electrical & Electronic Engineering,1025\5110044559,2021-12-29,2660.00,
LUL NOMINEE BCV LIMITED,ABBEY PRECISION ENGINEERING,Track General Maintenance,1033\5110045046,2021-12-29,10638.00,
LUL NOMINEE SSL LIMITED,ABBEY PRECISION ENGINEERING,Maintenance Materials,1031\5110041756,2021-12-22,6455.00,
LONDON UNDERGROUND LTD,ABBEY PRECISION ENGINEERING,Maintenance Materials,1005\5110047616,2021-12-31,450.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046683,2021-12-24,6308077.64,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046684,2021-12-24,3691984.66,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046715,2022-01-07,2018578.10,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046716,2022-01-07,1206710.83,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046704,2022-01-06,52752.96,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046672,2021-12-24,36347.40,
LONDON UNDERGROUND LTD,ABELLIO LONDON LTD,Rail Replacement Service Costs,1005\5110048251,2022-01-07,14635.00,
DOCKLANDS LIGHT RAILWAY,ABELLIO LONDON LTD,Rail Replacement Service Costs,1012\5110048245,2022-01-07,9959.32,
RAIL FOR LONDON LIMITED,ABELLIO LONDON LTD,Rail Replacement Service Costs,1020\5110048255,2022-01-07,8319.00,
RAIL FOR LONDON LIMITED,ABELLIO LONDON LTD,Rail Replacement Service Costs,1020\5110048256,2022-01-07,4126.00,
RAIL FOR LONDON LIMITED,ABELLIO LONDON LTD,Rail Replacement Service Costs,1020\5110048247,2022-01-07,3643.00,
LONDON UNDERGROUND LTD,ABELLIO LONDON LTD,Rail Replacement Service Costs,1005\5110052788,2021-12-29,2704.82,
LONDON UNDERGROUND LTD,ABTUS LIMITED,Equipment Repairs & Maintenance,1005\5110052838,2021-12-29,274.00,
LONDON UNDERGROUND LTD,ACCRASYSTEMS LTD - T/A METROSEAL,Fleet,1005\5110048211,2021-12-23,1011.00,
LONDON UNDERGROUND LTD,ACIERIES ET LAMINOIRS DE RIVES SAS,Track General Maintenance,1005\5110042098,2021-12-24,5299.00,
LONDON UNDERGROUND LTD,ACIERIES ET LAMINOIRS DE RIVES SAS,Track General Maintenance,1005\5110042103,2021-12-24,5299.00,
LONDON UNDERGROUND LTD,ACIERIES ET LAMINOIRS DE RIVES SAS,Fleet,1005\5110047474,2022-01-07,4886.00,
LONDON UNDERGROUND LTD,ACIERIES ET LAMINOIRS DE RIVES SAS,Signalling Systems,1005\5110047463,2022-01-07,4886.00,
LONDON UNDERGROUND LTD,ACIERIES ET LAMINOIRS DE RIVES SAS,Signalling Systems,1005\5110047465,2022-01-07,4886.00,
RAIL FOR LONDON LIMITED,ACOREL UK LTD,Management & Support Consultancy,1020\5110050920,2021-12-22,50460.98,
LONDON UNDERGROUND LTD,ACTIVAIR AUTOMATION LTD,Fleet,1005\5110038500,2021-12-17,4224.00,
LONDON UNDERGROUND LTD,ACTIVAIR AUTOMATION LTD,Fleet,1005\5110052998,2021-12-30,2694.06,
LONDON UNDERGROUND LTD,ACTIVE MED SUPPLIES LIMITED,Medical & First Aid Materials,1005\5110041187,2021-12-22,912.90,
TFL CORPORATE,ADDLESHAW GODDARD LLP,Legal Fees,1001\5110052159,2021-12-24,2866.50,
DOCKLANDS LIGHT RAILWAY,AECOM LTD,Professional Engineering Services,1012\5110047628,2021-12-22,79885.75,
TFL CORPORATE,AECOM LTD,Professional Engineering Services,1001\5110046258,2022-01-06,72567.00,
DOCKLANDS LIGHT RAILWAY,AECOM LTD,Professional Engineering Services,1012\5110048214,2021-12-15,67124.64,
SURFACE TRANSPORT CORP,AECOM LTD,Transport Planning Consultancy & Services,1002\5110046954,2022-01-05,19218.50,
SURFACE TRANSPORT CORP,AECOM LTD,Planning & Development Consultancy,1002\5110047657,2021-12-20,14335.15,
TFL CORPORATE,AECOM LTD,Management & Support Consultancy,1001\5110037300,2021-12-15,11970.00,
TFL CORPORATE,AECOM LTD,Planning & Development Consultancy,1001\5110041538,2021-12-17,11175.00,
TFL CORPORATE,AECOM LTD,Management & Support Consultancy,1001\5110044019,2021-12-29,10830.00,
TFL CORPORATE,AECOM LTD,Other Professional Fees,1001\5110047583,2021-12-22,8900.00,
TFL CORPORATE,AECOM LTD,Planning & Development Consultancy,1001\5110041537,2021-12-17,8342.50,
TFL CORPORATE,AECOM LTD,Management & Support Consultancy,1001\5110049881,2022-01-07,7505.00,
TFL CORPORATE,AECOM LTD,Management & Support Consultancy,1001\5110044018,2021-12-22,6715.00,
SURFACE TRANSPORT CORP,AECOM LTD,Planning & Development Consultancy,1002\5110047652,2021-12-14,3559.45,
TFL CORPORATE,AECOM LTD,Other Professional Fees,1001\5110040255,2021-12-15,3428.29,
DOCKLANDS LIGHT RAILWAY,AECOM LTD,Professional Engineering Services,1012\5110047631,2021-12-22,2752.54,
LONDON UNDERGROUND LTD,AECOM LTD,Planning & Development Consultancy,1005\5110046909,2021-12-29,2700.00,
DOCKLANDS LIGHT RAILWAY,AECOM LTD,Professional Engineering Services,1012\5110048238,2021-12-15,2084.19,
TFL CORPORATE,AECOM LTD,Planning & Development Consultancy,1001\5110038343,2021-12-15,1582.96,
TFL CORPORATE,AECOM LTD,Planning & Development Consultancy,1001\5110037702,2021-12-15,619.23,
TUBE LINES LTD,AEG POWER SOLUTIONS LTD,Electrical Equipment Maintenance,1025\5110029447,2022-01-06,5769.00,
TUBE LINES LTD,AEG POWER SOLUTIONS LTD,Electrical Equipment Maintenance,1025\5110036081,2022-01-06,3813.00,
TUBE LINES LTD,AEG POWER SOLUTIONS LTD,Electrical Equipment Maintenance,1025\5110042985,2021-12-24,3813.00,
TUBE LINES LTD,AEG POWER SOLUTIONS LTD,Electrical Equipment Maintenance,1025\5110033739,2022-01-06,1857.00,
LUL NOMINEE SSL LIMITED,AEI CABLES LTD,Signalling Systems,1031\5110037269,2021-12-13,4307.00,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110040101,2021-12-31,8550.25,
SURFACE TRANSPORT CORP,AGENTIS WORKWEAR LTD,Uniforms,1002\5110052841,2021-12-31,4530.00,
SURFACE TRANSPORT CORP,AGENTIS WORKWEAR LTD,Uniforms,1002\5110040095,2021-12-31,1787.50,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110052867,2021-12-31,1501.19,
SURFACE TRANSPORT CORP,AGENTIS WORKWEAR LTD,Uniforms,1002\5110040099,2021-12-31,1450.00,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110048012,2021-12-31,695.04,
DIAL A RIDE,AGENTIS WORKWEAR LTD,Uniforms,1010\5110040086,2021-12-31,557.99,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110041260,2021-12-31,498.80,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110048176,2021-12-31,472.54,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110041203,2021-12-31,466.93,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110041196,2021-12-31,417.77,
LONDON BUS SERVICES LTD,AGENTIS WORKWEAR LTD,Uniforms,1006\5110052228,2021-12-31,382.20,
DIAL A RIDE,AGENTIS WORKWEAR LTD,Uniforms,1010\5110052217,2021-12-31,308.27,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110043433,2021-12-22,26497.18,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110045737,2021-12-29,9320.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110049992,2022-01-06,6497.72,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110049425,2022-01-05,5801.10,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Signalling Systems,1005\5110046419,2021-12-16,5688.00,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110046436,2021-12-21,5151.86,
LONDON UNDERGROUND LTD,AGGREGATE INDUSTRIES UK LTD,Track General Maintenance,1005\5110039579,2021-12-15,4924.23,
