Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901681455,2022-01-21,29322643.97,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110063574,2022-02-04,17598690.55,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900046797,2022-01-21,15367656.98,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5110064577,2022-02-02,15067189.54,
RAIL FOR LONDON LIMITED,345 RAIL LEASING LIMITED,Vehicle Repairs & Maintenance,1020\5110059952,2022-01-31,14498095.79,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900046785,2022-01-21,13359038.20,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900046792,2022-01-21,11823964.32,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900046795,2022-01-21,10802424.53,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900046791,2022-01-21,10096229.00,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900046789,2022-01-21,9218436.36,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110058795,2022-02-04,7608072.87,
TFL CORPORATE,BYTES SOFTWARE SERVICES,Computer Hardware,1001\5110041754,2022-01-11,7290785.53,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110063566,2022-01-31,7124197.71,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900046786,2022-01-21,6875407.70,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046783,2022-01-21,6264368.52,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900046799,2022-01-21,6225155.62,
TFL CORPORATE,COMPUTACENTER PLC,Software Maintenance,1001\5110054119,2022-01-25,5999392.62,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110055234,2022-01-24,5622403.33,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110060223,2022-02-02,5577018.96,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900046844,2022-02-04,5054830.36,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5110053835,2022-01-28,4631571.53,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5110055614,2022-01-11,4322032.53,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900046832,2022-02-04,4162139.12,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900046796,2022-01-21,3975351.83,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900217625,2022-01-18,3840000.00,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900046839,2022-02-04,3785810.21,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5110064809,2022-02-03,3785771.17,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900046798,2022-01-21,3747008.89,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046784,2022-01-21,3695522.57,
LONDON UNDERGROUND LTD,BAI COMMUNICATIONS LTD,Maintenance of Telecommunications Equipment,1005\5110052726,2022-01-14,3503696.00,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110052725,2022-01-19,3398091.68,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110058333,2022-02-02,3379145.39,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900046838,2022-02-04,3344764.32,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Maintenance Materials,1005\5110050336,2022-01-13,3297128.00,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900046787,2022-01-21,3222907.77,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110055176,2022-02-02,3141375.46,
TFL CORPORATE,BYTES SOFTWARE SERVICES,Computer Hardware,1001\5110040747,2022-01-26,2989150.45,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900046842,2022-02-04,2975670.06,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900046836,2022-02-04,2876105.75,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110054331,2022-01-11,2853163.18,
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5110054422,2022-01-12,2832368.95,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900046793,2022-01-21,2654816.33,
LONDON UNDERGROUND LTD,THALES GROUND TRANSPORTATION SYSTEM,Computer Hardware,1005\5110055124,2022-02-02,2492667.00,
