Strategic Group,Spend Level,Spend Level 2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Comms & Computing,42234444,3,201102,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2011-05-03
Central Services,Supplies and Services,Comms & Computing,42234444,4,201102,POSTAGE BY PHONE-PITNEY BOWES,16,2011-05-03
Central Services,Works,,42234457,26,201102,COUPELINE,1412.14,2011-05-09
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234566,2,201102,REDCAR & CLEVELAND B.C.,51157.77,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234571,2,201102,SOUTH TYNESIDE MBC,164958.14,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234576,2,201102,CITY OF NEWCASTLE UPON TYNE,107630.17,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234581,2,201102,MIDDLESBROUGH BOROUGH COUNCIL,70426.29,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234584,2,201102,HARTLEPOOL BOROUGH COUNCIL,57121.32,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234585,2,201102,DURHAM COUNTY COUNCIL,262174.16,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234587,2,201102,NORTH TYNESIDE COUNCIL,73495.50,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234589,2,201102,CITY OF SUNDERLAND,154318.60,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234592,2,201102,STOCKTON ON TEES B.C.,117285.94,2011-05-06
Central Services,Supplies and Services,Catering & Provisions,42234593,4,201102,MPH GROUP,226.5,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234593,3,201102,MPH GROUP,123.75,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234594,2,201102,DARLINGTON BOROUGH COUNCIL,46724.91,2011-05-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234653,2,201102,NORTHUMBERLAND COUNTY COUNCIL,142890.30,2011-05-06
Central Services,Supplies and Services,Catering & Provisions,42234656,2,201102,AUTOBAR UK LTD,607.09,2011-05-04
Central Services,Income: Customer and Client Receipts,Customer & Client Receipts,42234801,13,201102,HMCTS,35,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,6,201102,HMCTS,50,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,8,201102,HMCTS,50,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,11,201102,HMCTS,80,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,14,201102,HMCTS,35,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,9,201102,HMCTS,70,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,10,201102,HMCTS,70,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,12,201102,HMCTS,50,2011-05-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42234801,16,201102,HMCTS,80,2011-05-04
Central Services,Supplies and Services,Comms & Computing,42234859,2,201102,CAPITA BUSINESS SERVICES LTD,6317.88,2011-05-04
Central Services,,,42234979,2,201102,OFCOM,750,2011-05-04
Central Services,Purchase of Equipment,,42235050,2,201102,FUJITSU SERVICES LTD,394.44,2011-05-05
Central Services,Supplies and Services,Miscellaneous Supplies,42235920,2,201102,IRRV,499,2011-05-05
Central Services,Supplies and Services,"Grants, Contribs & Subs",42235927,2,201102,WOLTERS KLUWER (UK) LTD,717.94,2011-05-05
Central Services,Third Party Payments,Third Party Payments,42235937,2,201102,RSM TENON,4000.00,2011-05-05
Central Services,Third Party Payments,Third Party Payments,42235984,2,201102,RSM TENON,2750.00,2011-05-05
Central Services,Supplies and Services,Miscellaneous Supplies,42235987,4,201102,CIPFA,1145.00,2011-05-05
Central Services,Supplies and Services,Miscellaneous Supplies,42235987,5,201102,CIPFA,1145.00,2011-05-05
Central Services,Supplies and Services,Miscellaneous Supplies,42235987,6,201102,CIPFA,1145.00,2011-05-05
Central Services,Supplies and Services,"Grants, Contribs & Subs",42235993,2,201102,CIPFA,3465.00,2011-05-05
Central Services,Supplies and Services,"Grants, Contribs & Subs",42236004,2,201102,CIPFA,3300.00,2011-05-05
Central Services,Supplies and Services,Comms & Computing,42236218,3,201102,ROYAL MAIL,7091.14,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236218,4,201102,ROYAL MAIL,7091.14,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236219,3,201102,ROYAL MAIL,1980.00,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236219,4,201102,ROYAL MAIL,1980.00,2011-05-06
Central Services,Employees,Indirect Employee Expenses,42236243,2,201102,CENTRAL LAW TRAINING,350,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236244,3,201102,VIRGIN MEDIA BUSINESS,12.83,2011-05-09
Central Services,Supplies and Services,Comms & Computing,42236244,4,201102,VIRGIN MEDIA BUSINESS,4693.15,2011-05-09
Central Services,Supplies and Services,Comms & Computing,42236261,3,201102,VIRGIN MEDIA BUSINESS,1359.96,2011-05-09
Central Services,Supplies and Services,Comms & Computing,42236261,4,201102,VIRGIN MEDIA BUSINESS,969.36,2011-05-09
Central Services,Supplies and Services,Comms & Computing,42236266,13,201102,ROYAL MAIL,523.61,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236266,8,201102,ROYAL MAIL,206.73,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236266,9,201102,ROYAL MAIL,53.28,2011-05-06
Central Services,Supplies and Services,Comms & Computing,42236266,10,201102,ROYAL MAIL,19.28,2011-05-06
