Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200078807,1,202205,Barclaycard - Global Commercial Payments,120.00,2022-08-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200076863,1,202205,Barclaycard - Global Commercial Payments,115.00,2022-08-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200078724,1,202205,Barclaycard - Global Commercial Payments,650.00,2022-08-15
Schools,Employees,Indirect Employee Expenses,200074433,1,202205,Barclaycard - Global Commercial Payments,15.00,2022-08-08
Schools,Employees,Indirect Employee Expenses,200075090,1,202205,Barclaycard - Global Commercial Payments,185.00,2022-08-08
Resources and Digital,Employees,Indirect Employee Expenses,200075577,1,202205,Barclaycard - Global Commercial Payments,236.83,2022-08-28
Resources and Digital,Employees,Indirect Employee Expenses,200076281,1,202205,Barclaycard - Global Commercial Payments,479.75,2022-08-28
Resources and Digital,Employees,Indirect Employee Expenses,200077604,1,202205,Barclaycard - Global Commercial Payments,5.84,2022-08-28
Schools,Premises,Rep & Maint,200078671,1,202205,Barclaycard - Global Commercial Payments,17.49,2022-08-08
Schools,Premises,Rep & Maint,200078672,1,202205,Barclaycard - Global Commercial Payments,14.53,2022-08-08
Children's Social Care & Lifelong Learning,Premises,Rep & Maint,200079482,1,202205,Barclaycard - Global Commercial Payments,81.11,2022-08-15
Public Health and Wellbeing,Premises,Rep & Maint,200076809,1,202205,Barclaycard - Global Commercial Payments,42.40,2022-08-08
Public Health and Wellbeing,Premises,Rep & Maint,200078042,1,202205,Barclaycard - Global Commercial Payments,25.02,2022-08-08
Public Health and Wellbeing,Premises,Rep & Maint,200078353,1,202205,Barclaycard - Global Commercial Payments,34.95,2022-08-08
Public Health and Wellbeing,Premises,Rep & Maint,200078674,1,202205,Barclaycard - Global Commercial Payments,5.83,2022-08-08
Public Health and Wellbeing,Premises,Rep & Maint,200079177,1,202205,Barclaycard - Global Commercial Payments,23.03,2022-08-15
Public Health and Wellbeing,Premises,Rep & Maint,200078441,1,202205,Barclaycard - Global Commercial Payments,24.99,2022-08-15
Public Health and Wellbeing,Premises,Rep & Maint,200078442,1,202205,Barclaycard - Global Commercial Payments,15.20,2022-08-15
