Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,148033295,3,201908,CLICK TRAVEL LTD,325,2019-11-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,44058472,0,201908,RECITE ME LTD,2000,2019-11-25
Office of the Chief Executive,Supplies and Services,Advertising,41264679,1,201908,MIKE LYNCH ADVERTISING LTD,7295,2019-11-20
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001368,13,201908,CLICK TRAVEL LTD,50,2019-11-13
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001368,28,201908,CLICK TRAVEL LTD,50,2019-11-13
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001368,36,201908,CLICK TRAVEL LTD,50,2019-11-13
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001368,44,201908,CLICK TRAVEL LTD,50,2019-11-13
Corporate Resources,Transport,Public Transport and Taxi Fares,148033295,2,201908,CLICK TRAVEL LTD,231.1,2019-11-14
Corporate Resources,Supplies and Services,Comms & Computing,41263784,1,201908,QUICKTHINK CLOUD LIMITED,1369.2,2019-11-07
Corporate Resources,Supplies and Services,Comms & Computing,41263785,1,201908,QUICKTHINK CLOUD LIMITED,3023.65,2019-11-07
Corporate Resources,Supplies and Services,Comms & Computing,41264151,1,201908,CRITIQOM,992.7,2019-11-14
Corporate Resources,Supplies and Services,Comms & Computing,41264153,1,201908,CRITIQOM,1432.14,2019-11-14
Corporate Resources,Supplies and Services,Comms & Computing,148033227,7,201908,ROYAL MAIL,225.46,2019-11-07
Corporate Resources,Supplies and Services,Comms & Computing,148033318,7,201908,ROYAL MAIL,209.16,2019-11-15
Corporate Resources,Supplies and Services,Comms & Computing,148033447,7,201908,ROYAL MAIL,354.58,2019-11-28
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44056926,0,201908,TOTAL ID,782.45,2019-11-27
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44057837,0,201908,ADT FIRE & SECURITY PLC,7920,2019-11-27
Corporate Resources,Supplies and Services,Comms & Computing,41263446,1,201908,PITNEY BOWES PURCHASE POWER,751.65,2019-11-04
Corporate Resources,Supplies and Services,Comms & Computing,41264453,1,201908,PITNEY BOWES FINANCE PLC,9620.77,2019-11-19
Corporate Resources,Supplies and Services,Comms & Computing,148033227,1,201908,ROYAL MAIL,94.11,2019-11-07
Corporate Resources,Supplies and Services,Comms & Computing,148033227,2,201908,ROYAL MAIL,146.46,2019-11-07
Corporate Resources,Supplies and Services,Comms & Computing,148033318,1,201908,ROYAL MAIL,130.43,2019-11-15
Corporate Resources,Supplies and Services,Comms & Computing,148033318,2,201908,ROYAL MAIL,162.09,2019-11-15
Corporate Resources,Supplies and Services,Comms & Computing,148033447,1,201908,ROYAL MAIL,571.27,2019-11-28
Corporate Resources,Supplies and Services,Comms & Computing,148033447,2,201908,ROYAL MAIL,301.32,2019-11-28
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",44057305,0,201908,CAPITA BUSINESS SERVICES LTD,4702.22,2019-11-15
