Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seque no,Period,Supplier ID(T),Amount,Updated
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43842728,1,201412,GEM ARTS,2000.00,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43842740,1,201412,BASELINE SHIFT,2000.00,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,33,201412,O2 (UK) LTD,14.5,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,34,201412,O2 (UK) LTD,14.5,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",43839139,0,201412,CITY OF NEWCASTLE UPON TYNE,1144.00,2015-03-03
Communities & Enviroment,Supplies and Services,Advertising,41106936,1,201412,CRACK LTD,400,2015-03-11
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",41108736,1,201412,AV WORKS LTD,360,2015-03-23
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,34,201412,O2 (UK) LTD,14.5,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,35,201412,O2 (UK) LTD,14.5,2015-03-23
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",41107766,1,201412,V BRADBURY,550,2015-03-18
Communities & Enviroment,Supplies and Services,"Licenses, Housing, Fees",41107771,1,201412,V BRADBURY,1500.00,2015-03-18
Communities & Enviroment,Third Party Payments,Third Party Payments,41109208,1,201412,NORTH MUSIC TRUST,50933.50,2015-03-27
Communities & Enviroment,Supplies and Services,Other Running Costs,43842420,0,201412,NOVA INTERNATIONAL LTD,35000.00,2015-03-20
Communities & Enviroment,Supplies and Services,Other Running Costs,43842419,0,201412,NOVA INTERNATIONAL LTD,30000.00,2015-03-20
Communities & Enviroment,Supplies and Services,Other Running Costs,43838956,0,201412,N.A.F.A.S,2500.00,2015-03-03
Communities & Enviroment,Supplies and Services,Other Running Costs,43842417,0,201412,NORTHERN CHORDS LTD,2000.00,2015-03-20
