Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001163,22,201904,CLICK TRAVEL LTD,1.00,2019-07-05
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001192,35,201904,CLICK TRAVEL LTD,73.00,2019-07-19
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001196,12,201904,CLICK TRAVEL LTD,367.73,2019-07-23
Office of the Chief Executive,Employees,Indirect Employee Expenses,44045860,1,201904,DAN SLEE C2 LTD,2000.00,2019-07-25
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001196,18,201904,CLICK TRAVEL LTD,82.50,2019-07-23
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001196,19,201904,CLICK TRAVEL LTD,82.75,2019-07-23
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001204,39,201904,CLICK TRAVEL LTD,163.75,2019-07-29
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",44039123,0,201904,ACORN WEB OFFSET LTD,8294.88,2019-07-05
Office of the Chief Executive,Supplies and Services,"Grants, Contribs & Subs",44041890,1,201904,NATIONAL LEAFLET COMPANY,5443.13,2019-07-10
Office of the Chief Executive,Supplies and Services,Advertising,41255115,1,201904,GLOBAL RADIO SERVICES LTD,700.00,2019-07-10
Office of the Chief Executive,Supplies and Services,Comms & Computing,44044463,0,201904,DELL COMPUTER CORPORATION LTD,1094.69,2019-07-19
Office of the Chief Executive,Supplies and Services,Comms & Computing,41255139,1,201904,CAPITA BUSINESS SERVICES LTD T/A ORANGE BUS,4000.00,2019-07-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001164,10,201904,CLICK TRAVEL LTD,9.95,2019-07-05
Corporate Resources,Transport,Public Transport and Taxi Fares,300001164,15,201904,CLICK TRAVEL LTD,109.50,2019-07-05
Corporate Resources,Transport,Public Transport and Taxi Fares,300001164,23,201904,CLICK TRAVEL LTD,9.95,2019-07-05
Corporate Resources,Transport,Public Transport and Taxi Fares,300001192,3,201904,CLICK TRAVEL LTD,37.70,2019-07-19
Corporate Resources,Transport,Public Transport and Taxi Fares,300001192,20,201904,CLICK TRAVEL LTD,29.95,2019-07-19
Corporate Resources,Transport,Public Transport and Taxi Fares,300001192,29,201904,CLICK TRAVEL LTD,32.50,2019-07-19
