Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Employees,Indirect Employee Expenses,200020368,1,201912,Barclaycard - Global Commercial Payments,95,2020-03-24
Communities & Environment,Employees,Indirect Employee Expenses,200020369,1,201912,Barclaycard - Global Commercial Payments,95,2020-03-24
Corporate Resources,Employees,Indirect Employee Expenses,200030742,1,201912,Barclaycard - Global Commercial Payments,234,2020-03-04
Corporate Resources,Employees,Indirect Employee Expenses,200030743,1,201912,Barclaycard - Global Commercial Payments,234,2020-03-04
Corporate Services & Governance,Employees,Indirect Employee Expenses,200034398,1,201912,Barclaycard - Global Commercial Payments,5.99,2020-03-25
Corporate Services & Governance,Employees,Indirect Employee Expenses,200034399,1,201912,Barclaycard - Global Commercial Payments,8.71,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200031036,1,201912,Barclaycard - Global Commercial Payments,200,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200034827,1,201912,Barclaycard - Global Commercial Payments,83.97,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200035087,1,201912,Barclaycard - Global Commercial Payments,120,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200035088,1,201912,Barclaycard - Global Commercial Payments,208.5,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200030772,1,201912,Barclaycard - Global Commercial Payments,20,2020-03-16
Communities & Environment,Employees,Indirect Employee Expenses,200033048,1,201912,Barclaycard - Global Commercial Payments,30,2020-03-04
Communities & Environment,Employees,Indirect Employee Expenses,200033984,1,201912,Barclaycard - Global Commercial Payments,40,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200034764,1,201912,Barclaycard - Global Commercial Payments,192,2020-03-25
Communities & Environment,Employees,Indirect Employee Expenses,200033989,1,201912,Barclaycard - Global Commercial Payments,111.6,2020-03-25
Corporate Resources,Employees,Indirect Employee Expenses,200034675,1,201912,Barclaycard - Global Commercial Payments,12,2020-03-25
Corporate Resources,Employees,Indirect Employee Expenses,200032988,1,201912,Barclaycard - Global Commercial Payments,120,2020-03-25
Corporate Resources,Employees,Indirect Employee Expenses,200034339,1,201912,Barclaycard - Global Commercial Payments,250,2020-03-25
Corporate Resources,Employees,Indirect Employee Expenses,200034504,1,201912,Barclaycard - Global Commercial Payments,284.55,2020-03-25
Corporate Services & Governance,Employees,Indirect Employee Expenses,200031054,1,201912,Barclaycard - Global Commercial Payments,11.27,2020-03-04
