Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41193154,1,201702,D J RAYNOR,550,2017-05-03
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41194266,1,201702,REDACTED - Personal Information,1500,2017-05-03
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41194971,1,201702,REDACTED - Personal Information,1200,2017-05-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41193852,1,201702,NEWCASTLE & GATESHEAD INITIATIVE,500,2017-05-03
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",148024203,1,201702,WESTERN UNION BUSINESS SOLUTIONS (UK) LTD,6827.61,2017-05-17
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",41195537,1,201702,CITY OF NEWCASTLE UPON TYNE,600,2017-05-19
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",41195538,0,201702,BENSHAM AND SALTWELL ALIVE,1950,2017-05-19
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",41195539,1,201702,DUNSTON COMMUNITY FESTIVAL,1550,2017-05-19
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",41195540,0,201702,DUNSTON COMMUNITY FESTIVAL,1216,2017-05-19
Communities & Environment,Supplies and Services,Comms & Computing,43950674,0,201702,XN LEISURE SYSTEMS LIMITED,31868.82,2017-05-11
Communities & Environment,Supplies and Services,Catering & Provisions,41195939,1,201702,BATLEYS LTD,447.93,2017-05-15
Communities & Environment,Supplies and Services,Catering & Provisions,41195939,2,201702,BATLEYS LTD,87.9,2017-05-15
Communities & Environment,Premises,Energy,43951275,0,201702,ENER-G COMBINED POWER LTD,1851.9,2017-05-12
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43950703,4,201702,GATSBYS,150,2017-05-11
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43951105,1,201702,J P  LENNARD LTD,740.9,2017-05-18
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41197580,1,201702,BRENNTAG UK LTD,549.11,2017-05-31
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43951291,4,201702,UKACTIVE,2120.04,2017-05-17
Communities & Environment,Premises,Rep & Maint,43952611,0,201702,ANTHONY LOVE SEATING INSTALLATIONS LIMITED,1744.89,2017-05-24
Communities & Environment,Premises,Energy,43951272,0,201702,ENER-G COMBINED POWER LTD,2143.41,2017-05-12
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43946390,0,201702,DALESAUNA LTD,2918,2017-05-10
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43950703,2,201702,GATSBYS,150,2017-05-11
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43952766,0,201702,AV WORKS LTD,1190,2017-05-26
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43952773,0,201702,AV WORKS LTD,480,2017-05-26
Communities & Environment,Supplies and Services,Catering & Provisions,41196852,1,201702,BATLEYS LTD,245.6,2017-05-23
Communities & Environment,Supplies and Services,Catering & Provisions,41196852,2,201702,BATLEYS LTD,221.35,2017-05-23
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43951291,3,201702,UKACTIVE,5681.71,2017-05-17
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43951291,0,201702,UKACTIVE,1467.72,2017-05-17
Communities & Environment,Premises,Energy,43951276,0,201702,ENER-G COMBINED POWER LTD,1695.97,2017-05-12
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43951291,5,201702,UKACTIVE,163.08,2017-05-17
Communities & Environment,Premises,Energy,43951274,0,201702,ENER-G COMBINED POWER LTD,1695.97,2017-05-12
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43950703,3,201702,GATSBYS,150,2017-05-11
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43952634,1,201702,BRENNTAG UK LTD,598.5,2017-05-31
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43951291,1,201702,UKACTIVE,3140.91,2017-05-17
Communities & Environment,Premises,Energy,43951273,0,201702,ENER-G COMBINED POWER LTD,1820.71,2017-05-12
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43945359,0,201702,PULSE FITNESS LTD,1151.41,2017-05-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43950703,1,201702,GATSBYS,150,2017-05-11
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43945897,0,201702,BRENNTAG UK LTD,685,2017-05-08
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43951291,2,201702,UKACTIVE,3379.02,2017-05-17
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,4,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,6,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,9,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,2,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,10,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,5,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,8,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,7,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,3,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Employees,Indirect Employee Expenses,148024109,1,201702,TYNE & WEAR PENSION FUND,7352,2017-05-09
Communities & Environment,Employees,Indirect Employee Expenses,148024327,1,201702,TYNE & WEAR PENSION FUND,32400,2017-05-25
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41195676,1,201702,CANON (UK) LTD,179.11,2017-05-16
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43949917,0,201702,SELINA FELLOWS RETAIL AND MARKETING CONSULTANCY,2860.15,2017-05-03
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949859,0,201702,ASKEWS LIBRARY SERVICES LTD,2160.44,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949862,0,201702,ASKEWS LIBRARY SERVICES LTD,2573.23,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949865,0,201702,ULVERSCROFT LARGE PRINT BOOKS,423.4,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949893,0,201702,ASKEWS LIBRARY SERVICES LTD,2000,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949930,0,201702,NIELSEN BOOK SERVICES LTD,4252,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949948,0,201702,ASKEWS LIBRARY SERVICES LTD,3914.54,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949955,0,201702,ASKEWS LIBRARY SERVICES LTD,1926.35,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949964,0,201702,ULVERSCROFT LARGE PRINT BOOKS,622.8,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949966,0,201702,ASKEWS LIBRARY SERVICES LTD,1890.75,2017-05-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43951842,0,201702,NEW WRITING NORTH LTD,800,2017-05-19
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43952326,0,201702,ASKEWS LIBRARY SERVICES LTD,2624.57,2017-05-23
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",147036590,1,201702,SUMMERHILL BOOKS,659,2017-05-10
Communities & Environment,Supplies and Services,Comms & Computing,147036667,1,201702,PITNEY BOWES PURCHASE POWER,4000,2017-05-05
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43949909,0,201702,THE HISTORY WARDROBE,629,2017-05-02
Communities & Environment,Premises,Rep & Maint,41196192,1,201702,STATUS SECURITY SYSTEMS LTD,426.19,2017-05-22
Communities & Environment,Third Party Payments,Third Party Payments,41192855,1,201702,NEWCASTLE & GATESHEAD INITIATIVE,16404.17,2017-05-12
Communities & Environment,Third Party Payments,Third Party Payments,41192856,1,201702,NEWCASTLE & GATESHEAD INITIATIVE,18487.5,2017-05-12
Communities & Environment,Third Party Payments,Third Party Payments,43951426,0,201702,NEWCASTLE & GATESHEAD INITIATIVE,16404.17,2017-05-17
Communities & Environment,Transport,Car Allowances,148024285,17,201702,CO - WHEELS CARCLUB CIC,8.71,2017-05-23
Communities & Environment,Transport,Car Allowances,148024282,1,201702,CO - WHEELS CARCLUB CIC,1579.76,2017-05-23
Communities & Environment,Supplies and Services,Comms & Computing,148024023,9,201702,ROYAL MAIL,105.92,2017-05-02
Communities & Environment,Supplies and Services,Comms & Computing,148024278,9,201702,ROYAL MAIL,109.73,2017-05-23
Communities & Environment,Supplies and Services,Comms & Computing,148024279,9,201702,ROYAL MAIL,74.27,2017-05-23
Communities & Environment,Supplies and Services,Comms & Computing,148024280,9,201702,ROYAL MAIL,126.39,2017-05-23
Communities & Environment,Supplies and Services,Comms & Computing,148024281,9,201702,ROYAL MAIL,88.31,2017-05-23
Communities & Environment,Third Party Payments,Third Party Payments,43951421,0,201702,SOUTH TYNE & WEAR ENERGY RECOVERY LTD,146516.7,2017-05-15
Communities & Environment,Third Party Payments,Third Party Payments,43952114,0,201702,SOUTH TYNE & WEAR ENERGY RECOVERY LTD,2120352.93,2017-05-19
Communities & Environment,Third Party Payments,Third Party Payments,43952888,0,201702,SOUTH TYNE & WEAR ENERGY RECOVERY LTD,490598.6,2017-05-25
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41193694,1,201702,RIXONWAY KITCHENS LTD,479.3,2017-05-08
Communities & Environment,Third Party Payments,Third Party Payments,41195019,1,201702,A COOLE ELECTRICAL LTD,495,2017-05-08
Communities & Environment,Third Party Payments,Third Party Payments,147036794,1,201702,GIBSON HARRIS LTD,10377,2017-05-18
Communities & Environment,Third Party Payments,Third Party Payments,41195019,2,201702,A COOLE ELECTRICAL LTD,150,2017-05-08
Communities & Environment,Third Party Payments,Third Party Payments,147036794,2,201702,GIBSON HARRIS LTD,19272.69,2017-05-18
Communities & Environment,Supplies and Services,Other Running Costs,41194091,1,201702,ANGLIAN WINDOWS LTD,1809.75,2017-05-11
Communities & Environment,Supplies and Services,Other Running Costs,43949572,0,201702,ANGLIAN WINDOWS LTD,2599.07,2017-05-12
Communities & Environment,Supplies and Services,Other Running Costs,147036621,1,201702,MCVICKERS  LIMITED,1210,2017-05-04
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43950617,0,201702,RIXONWAY KITCHENS LTD,468.54,2017-05-24
