Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Office of the Chief Executive,Supplies and Services,Comms & Computing,44023653,0,201810,GOSS INTERACTIVE LIMITED,1428.00,2019-01-15,
Office of the Chief Executive,Supplies and Services,Comms & Computing,44023654,0,201810,GOSS INTERACTIVE LIMITED,755,2019-01-15,
Office of the Chief Executive,Supplies and Services,Comms & Computing,44023657,0,201810,GOSS INTERACTIVE LIMITED,1800.00,2019-01-15,
Office of the Chief Executive,Supplies and Services,Comms & Computing,44023658,0,201810,GOSS INTERACTIVE LIMITED,2500.00,2019-01-15,
Office of the Chief Executive,Supplies and Services,Comms & Computing,44023661,0,201810,GOSS INTERACTIVE LIMITED,9500.00,2019-01-15,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41242103,1,201810,UNIT4 BUSINESS SOFTWARE LTD,500,2019-01-18,
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148029922,2,201810,MARSH LTD,4675.13,2019-01-17,
Corporate Resources,Supplies and Services,Comms & Computing,41241639,1,201810,QUICKTHINK CLOUD LIMITED,3038.80,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,41242102,1,201810,QUICKTHINK CLOUD LIMITED,1321.61,2019-01-18,
Corporate Resources,Supplies and Services,Comms & Computing,41242041,1,201810,LEGAL ESCROW & ARBITRATION SERVICES LTD,540,2019-01-17,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",44023057,0,201810,G7 BUSINESS SOLUTIONS LTD,1650.00,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,41241054,1,201810,CRITIQOM,683.9,2019-01-07,
Corporate Resources,Supplies and Services,Comms & Computing,41241057,1,201810,CRITIQOM,1197.10,2019-01-07,
Corporate Resources,Supplies and Services,Comms & Computing,41241059,1,201810,CRITIQOM,1183.07,2019-01-07,
Corporate Resources,Supplies and Services,Comms & Computing,41242174,1,201810,CRITIQOM,888.51,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,7,201810,ROYAL MAIL,249.02,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,7,201810,ROYAL MAIL,139.29,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,7,201810,ROYAL MAIL,451.14,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,7,201810,ROYAL MAIL,155.58,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,41241660,1,201810,VIRGIN MEDIA PAYMENTS LTD,617.98,2019-01-11,
Corporate Resources,Supplies and Services,Other Running Costs,148029811,1,201810,ROSSENDALES COLLECT LTD,299.96,2019-01-08,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44024761,0,201810,TOTAL ID,599.7,2019-01-28,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44024761,1,201810,TOTAL ID,87,2019-01-28,
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44024761,3,201810,TOTAL ID,9.95,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,41241053,1,201810,PITNEY BOWES PURCHASE POWER,5224.15,2019-01-04,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,1,201810,ROYAL MAIL,464.8,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,2,201810,ROYAL MAIL,577.38,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,1,201810,ROYAL MAIL,139,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,2,201810,ROYAL MAIL,653.67,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,1,201810,ROYAL MAIL,580.52,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,2,201810,ROYAL MAIL,1153.57,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,1,201810,ROYAL MAIL,131.15,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,2,201810,ROYAL MAIL,723.64,2019-01-28,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41242612,1,201810,PREPAID FINANCIAL SERVICES LTD,1798.35,2019-01-25,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41242612,2,201810,PREPAID FINANCIAL SERVICES LTD,1286.05,2019-01-25,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41242612,3,201810,PREPAID FINANCIAL SERVICES LTD,1185.58,2019-01-25,
Corporate Resources,Supplies and Services,Comms & Computing,148030014,1,201810,MHR INTERNATIONAL UK LTD,2048.00,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,6,201810,ROYAL MAIL,152.35,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,6,201810,ROYAL MAIL,89.74,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,6,201810,ROYAL MAIL,53.64,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,6,201810,ROYAL MAIL,209.35,2019-01-28,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029906,1,201810,CLICK TRAVEL LTD,1587.21,2019-01-16,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029906,2,201810,CLICK TRAVEL LTD,524.46,2019-01-16,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029907,1,201810,CLICK TRAVEL LTD,749.96,2019-01-16,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029915,1,201810,CLICK TRAVEL LTD,332.16,2019-01-17,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029915,2,201810,CLICK TRAVEL LTD,3173.35,2019-01-17,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029916,1,201810,CLICK TRAVEL LTD,5082.53,2019-01-17,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029916,2,201810,CLICK TRAVEL LTD,120.54,2019-01-17,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029917,1,201810,CLICK TRAVEL LTD,285.39,2019-01-17,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029917,2,201810,CLICK TRAVEL LTD,189,2019-01-17,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,3,201810,ROYAL MAIL,120.96,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,4,201810,ROYAL MAIL,290.9,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,3,201810,ROYAL MAIL,198.4,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,4,201810,ROYAL MAIL,96.54,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,3,201810,ROYAL MAIL,194.59,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,4,201810,ROYAL MAIL,918.11,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,3,201810,ROYAL MAIL,162.12,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,4,201810,ROYAL MAIL,260.09,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,5,201810,ROYAL MAIL,22.2,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,5,201810,ROYAL MAIL,25.49,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,5,201810,ROYAL MAIL,24.25,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,5,201810,ROYAL MAIL,14.95,2019-01-28,
Corporate Resources,Employees,Indirect Employee Expenses,44022924,0,201810,TES GLOBAL LIMITED,879.94,2019-01-09,
Corporate Resources,Supplies and Services,Comms & Computing,148029838,8,201810,ROYAL MAIL,24.47,2019-01-10,
Corporate Resources,Supplies and Services,Comms & Computing,148029849,8,201810,ROYAL MAIL,35.63,2019-01-11,
Corporate Resources,Supplies and Services,Comms & Computing,148029996,8,201810,ROYAL MAIL,46.48,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,148030048,8,201810,ROYAL MAIL,38.55,2019-01-28,
Corporate Resources,Transport,Public Transport and Taxi Fares,148029920,3,201810,CLICK TRAVEL LTD,228,2019-01-17,
Corporate Resources,Supplies and Services,Comms & Computing,44022342,0,201810,VIRGIN MEDIA LTD,122121.31,2019-01-08,
Corporate Resources,Supplies and Services,Comms & Computing,44022381,0,201810,VIRGIN MEDIA LTD,116425.71,2019-01-08,
Corporate Resources,Supplies and Services,Comms & Computing,44024799,0,201810,CETUS SOLUTIONS LIMITED,4995.00,2019-01-25,
Corporate Resources,Supplies and Services,Comms & Computing,44024909,0,201810,SPECOPS SOFTWARE LTD,2640.00,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,44024909,1,201810,SPECOPS SOFTWARE LTD,3300.00,2019-01-28,
Corporate Resources,Supplies and Services,Comms & Computing,44021841,0,201810,ALARM & COMMUNICATION SYSTEMS,850,2019-01-07,
Corporate Resources,Supplies and Services,Comms & Computing,44022348,0,201810,UNITED CARLTON OFFICE SYSTEMS,1350.00,2019-01-07,
Corporate Resources,Supplies and Services,Comms & Computing,44022428,0,201810,DELL COMPUTER CORPORATION LTD,1023.10,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,44023901,0,201810,DELL BANK INTERNATIONAL LTD,4191.62,2019-01-17,
Corporate Resources,Supplies and Services,Comms & Computing,44024765,0,201810,DELL BANK INTERNATIONAL LTD,726.61,2019-01-25,
Corporate Resources,Supplies and Services,Comms & Computing,44022430,0,201810,PHOENIX SOFTWARE LTD,466.16,2019-01-23,
Corporate Resources,Supplies and Services,Comms & Computing,44022431,0,201810,PHOENIX SOFTWARE LTD,1748.10,2019-01-23,
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",147042873,1,201810,REDACTED - Personal Information,1000.00,2019-01-08,
Corporate Services & Governance,Supplies and Services,"Licenses, Housing, Fees",44022736,0,201810,MEDICALS PLUS LIMITED,3061.20,2019-01-09,
Corporate Services & Governance,Supplies and Services,"Licenses, Housing, Fees",44024800,0,201810,TREATMENT SOLUTIONS,4166.66,2019-01-29,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44022670,0,201810,DEVELOPMENT DIMENSIONS INTERNATIONAL UK LTD,2040.00,2019-01-21,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44024778,0,201810,DAWN PARKIN SOLUTIONS LIMITED,755.4,2019-01-30,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44025397,0,201810,GATESHEAD COLLEGE,2625.00,2019-01-30,
Corporate Services & Governance,Supplies and Services,Comms & Computing,44025126,0,201810,REDACTED - Personal Information,12500.00,2019-01-28,
Corporate Services & Governance,Employees,Indirect Employee Expenses,44024781,0,201810,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATI,5400.00,2019-01-29,
