Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Resources,Employees,Indirect Employee Expenses,148024562,1,201703,REDACTIVE EVENTS LTD,695,2017-06-20
Corporate Resources,Employees,Indirect Employee Expenses,148024562,2,201703,REDACTIVE EVENTS LTD,495,2017-06-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300000019,22,201703,CLICK TRAVEL LTD,26.28,2017-06-09
Corporate Resources,Transport,Public Transport and Taxi Fares,300000019,27,201703,CLICK TRAVEL LTD,1.74,2017-06-09
Corporate Resources,Transport,Public Transport and Taxi Fares,300000019,41,201703,CLICK TRAVEL LTD,29.28,2017-06-09
Corporate Resources,Transport,Public Transport and Taxi Fares,300000019,58,201703,CLICK TRAVEL LTD,57.64,2017-06-09
Corporate Resources,Transport,Public Transport and Taxi Fares,300000019,72,201703,CLICK TRAVEL LTD,65.8,2017-06-09
Corporate Resources,Transport,Public Transport and Taxi Fares,300000019,73,201703,CLICK TRAVEL LTD,96.3,2017-06-09
Corporate Resources,Transport,Car Allowances,148024656,2,201703,CO - WHEELS CARCLUB CIC,0.39,2017-06-27
Corporate Resources,Supplies and Services,Comms & Computing,41197977,1,201703,UNIT4 BUSINESS SOFTWARE LTD,123079.06,2017-06-16
Corporate Resources,Supplies and Services,Comms & Computing,60600004,396,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1137,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1181,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1779,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1889,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1905,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,2658,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,2665,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,2667,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,2669,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,2670,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,3444,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41197985,1,201703,AON HEWITT LIMITED,2240,2017-06-05
Corporate Resources,Transport,Car Allowances,148024656,3,201703,CO - WHEELS CARCLUB CIC,3.12,2017-06-27
Corporate Resources,Supplies and Services,Comms & Computing,60600004,900,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,986,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,990,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1023,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1026,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1041,201703,O2 (UK) LTD,10,2017-06-13
Corporate Resources,Supplies and Services,Comms & Computing,60600004,1045,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,147036994,1,201703,ALD HAIRDRESSING TRAINING ACADEMY,124.88,2017-06-12
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,2129,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,2130,201703,O2 (UK) LTD,0.91,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,398,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,778,201703,O2 (UK) LTD,1.66,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,1176,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,1527,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,1599,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,1771,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,2086,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,2639,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,2659,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,2907,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600004,3476,201703,O2 (UK) LTD,10,2017-06-13
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41199720,1,201703,WEST BERKSHIRE TRAINING CONSORTIUM,1181.46,2017-06-22
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41199919,1,201703,WEST BERKSHIRE TRAINING CONSORTIUM,1181.46,2017-06-23
"Care, Wellbeing & Learning",Supplies and Services,"Furn, Equip & Mats",147036928,1,201703,REDACTED - Personal Information,800,2017-06-02
