Strategic Group,Spend Level,Spend Level2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,"Licenses, Housing, Fees",42214691,2,201012,ALZHEIMERS TRADING LTD,520.83,2011-03-01
Central Services,Supplies and Services,"Licenses, Housing, Fees",42215303,2,201012,REDACTED - Personal Information,400.00,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,14,201012,ROYAL MAIL,1409.55,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,8,201012,ROYAL MAIL,466.01,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,9,201012,ROYAL MAIL,235.80,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,10,201012,ROYAL MAIL,170.41,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,11,201012,ROYAL MAIL,7.00,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,13,201012,ROYAL MAIL,1173.33,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215395,12,201012,ROYAL MAIL,1135.43,2011-03-01
Central Services,Supplies and Services,"Printing, Stationery etc",42215541,2,201012,LEXIS NEXIS UK,995.00,2011-03-01
Central Services,Supplies and Services,Miscellaneous Supplies,42215550,2,201012,LOOMIS UK LTD,929.26,2011-03-01
Central Services,Supplies and Services,Miscellaneous Supplies,42215556,2,201012,LOOMIS UK LTD,464.63,2011-03-01
Central Services,Supplies and Services,Other Running Costs,42215578,2,201012,REDACTED - Personal Information,909.30,2011-03-02
Central Services,Supplies and Services,Comms & Computing,42215667,2,201012,ECS,2775.42,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215668,2,201012,ECS,1656.71,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215669,2,201012,ECS,1746.22,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215670,2,201012,ECS,1656.71,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215671,2,201012,ECS,1746.22,2011-03-01
Central Services,Works,,42215696,2,201012,PREMIER SCAFFOLDING SERVICES LTD,1290.00,2011-03-01
Central Services,Works,,42215718,2,201012,TANDEM CONTRACTS LTD,25165.00,2011-03-01
Central Services,Supplies and Services,Comms & Computing,42215774,2,201012,NORTHGATEARINSO,3229.49,2011-03-02
Central Services,Supplies and Services,Comms & Computing,42216505,2,201012,MLL TELECOM LTD,1670.00,2011-03-04
Central Services,Supplies and Services,Comms & Computing,42216517,2,201012,MLL TELECOM LTD,835.00,2011-03-04
Central Services,Supplies and Services,Comms & Computing,42216548,2,201012,MLL TELECOM LTD,3340.00,2011-03-04
Central Services,Supplies and Services,Comms & Computing,42217218,2,201012,MLL TELECOM LTD,910.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217244,2,201012,MLL TELECOM LTD,910.00,2011-03-07
Central Services,Third Party Payments,Third Party Payments,42217285,3,201012,NEWCASTLE & GATESHEAD INITIATIVE,29930.00,2011-03-04
Central Services,Third Party Payments,Third Party Payments,42217285,4,201012,NEWCASTLE & GATESHEAD INITIATIVE,7500.00,2011-03-04
Central Services,Third Party Payments,Third Party Payments,42217285,5,201012,NEWCASTLE & GATESHEAD INITIATIVE,7500.00,2011-03-04
Central Services,Supplies and Services,Comms & Computing,42217286,2,201012,VODAFONE CORPORATE LTD,1219.68,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217286,3,201012,VODAFONE CORPORATE LTD,126.08,2011-03-07
Central Services,Employees,Indirect Employee Expenses,42217376,2,201012,CENTRAL LAW TRAINING,350.00,2011-03-04
Central Services,Employees,Indirect Employee Expenses,42217786,2,201012,NEW COLLEGE DURHAM,3339.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,24,201012,VODAFONE CORPORATE LTD,19.28,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,22,201012,VODAFONE CORPORATE LTD,129.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,23,201012,VODAFONE CORPORATE LTD,4.50,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,28,201012,VODAFONE CORPORATE LTD,21.19,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,29,201012,VODAFONE CORPORATE LTD,18.24,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,25,201012,VODAFONE CORPORATE LTD,35.53,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,26,201012,VODAFONE CORPORATE LTD,45.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,27,201012,VODAFONE CORPORATE LTD,2.25,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,32,201012,VODAFONE CORPORATE LTD,2.41,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,30,201012,VODAFONE CORPORATE LTD,90.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,31,201012,VODAFONE CORPORATE LTD,12.75,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,33,201012,VODAFONE CORPORATE LTD,90.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,36,201012,VODAFONE CORPORATE LTD,0.63,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,34,201012,VODAFONE CORPORATE LTD,123.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,35,201012,VODAFONE CORPORATE LTD,2.25,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,39,201012,VODAFONE CORPORATE LTD,7.67,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,37,201012,VODAFONE CORPORATE LTD,45.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42217805,38,201012,VODAFONE CORPORATE LTD,2.25,2011-03-07
Central Services,Works,,42217879,2,201012,CHIRMARN LTD,500.00,2011-03-07
Central Services,Consultants,,42217881,2,201012,NORTH OF ENGLAND CIVIC TRUST,605.00,2011-03-07
Central Services,Consultants,,42217885,2,201012,NORTH OF ENGLAND CIVIC TRUST,623.75,2011-03-07
Central Services,Works,,42217890,2,201012,NEDL,537.15,2011-03-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",42218017,2,201012,NEW VISION TRAINING,500.00,2011-03-07
Central Services,Supplies and Services,Comms & Computing,42218237,2,201012,UNITED CARLTON OFFICE SYSTEMS,1380.99,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218238,2,201012,DELL COMPUTER CORPORATION LTD,1242.64,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218240,2,201012,UNITED CARLTON OFFICE SYSTEMS,369.00,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218245,2,201012,OMNICOM IT SERVICES,2024.59,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218246,2,201012,OMNICOM IT SERVICES,1824.78,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218339,6,201012,CAPITA BUSINESS SERVICES LTD,2326.00,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218339,4,201012,CAPITA BUSINESS SERVICES LTD,2326.00,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218339,5,201012,CAPITA BUSINESS SERVICES LTD,2326.00,2011-03-08
Central Services,Purchase of Equipment,,42218555,2,201012,COMPUTACENTER (UK) LTD,59240.00,2011-03-08
Central Services,Supplies and Services,Comms & Computing,42218817,4,201012,VODAFONE CORPORATE LTD,197.21,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42218817,5,201012,VODAFONE CORPORATE LTD,2791.08,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42218817,6,201012,VODAFONE CORPORATE LTD,100.93,2011-03-10
Central Services,Supplies and Services,Comms & Computing,42218817,7,201012,VODAFONE CORPORATE LTD,2.83,2011-03-10
Central Services,Works,,42219300,4,201012,LUMSDEN & CARROLL CONSTRUCTION,17825.72,2011-03-10
Central Services,Works,,42219307,7,201012,WILLMOTT DIXON CONSTRUCTION LTD,10744.00,2011-03-10
Central Services,Works,,42219307,6,201012,WILLMOTT DIXON CONSTRUCTION LTD,29843.00,2011-03-10
