Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Community Based Services,Transport,Car Allowances,148002691,15,201303,COMMONWHEELS CIC,4.50,2013-06-07
Community Based Services,Transport,Car Allowances,148002691,60,201303,COMMONWHEELS CIC,61.92,2013-06-07
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41002547,1,201303,NORTHERN SIGN INTERPRETING LTD,829.90,2013-06-03
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41002548,1,201303,NORTHERN SIGN INTERPRETING LTD,497.94,2013-06-03
Community Based Services,Third Party Payments,Third Party Payments,41003207,1,201303,PALATINE,20000.00,2013-06-18
Community Based Services,Transport,Public Transport and Taxi Fares,148003074,24,201303,CLICK TRAVEL LTD,82.59,2013-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148002694,29,201303,CLICK TRAVEL LTD,89.16,2013-06-07
Community Based Services,Transport,Public Transport and Taxi Fares,148003252,32,201303,CLICK TRAVEL LTD,170.16,2013-06-27
Community Based Services,Supplies and Services,Comms & Computing,148002844,8,201303,O2 (UK) LTD,0.52,2013-06-14
Community Based Services,Transport,Public Transport and Taxi Fares,148002965,23,201303,CLICK TRAVEL LTD,147.44,2013-06-19
Community Based Services,Transport,Public Transport and Taxi Fares,148003074,21,201303,CLICK TRAVEL LTD,200.96,2013-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148003252,7,201303,CLICK TRAVEL LTD,72.29,2013-06-27
Community Based Services,Transport,Public Transport and Taxi Fares,148003252,8,201303,CLICK TRAVEL LTD,63.71,2013-06-27
Community Based Services,Transport,Public Transport and Taxi Fares,148003252,12,201303,CLICK TRAVEL LTD,72.29,2013-06-27
Community Based Services,Supplies and Services,"Printing, Stationery etc",40999233,7,201303,INTERCHANGE NEWS,47.94,2013-06-13
Community Based Services,Supplies and Services,"Printing, Stationery etc",41003762,7,201303,INTERCHANGE NEWS,58.60,2013-06-11
Community Based Services,Supplies and Services,Comms & Computing,148002844,44,201303,O2 (UK) LTD,15.00,2013-06-14
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41005334,1,201303,IZON AUDIO VISUAL LTD,3875.00,2013-06-12
Community Based Services,Transport,Public Transport and Taxi Fares,148003252,13,201303,CLICK TRAVEL LTD,75.93,2013-06-27
Community Based Services,Supplies and Services,Comms & Computing,148002844,11,201303,O2 (UK) LTD,39.43,2013-06-14
Community Based Services,Employees,Indirect Employee Expenses,41003451,1,201303,ARK ASSOCIATES,490.00,2013-06-21
Community Based Services,Supplies and Services,Comms & Computing,148002844,9,201303,O2 (UK) LTD,13.00,2013-06-14
Community Based Services,Third Party Payments,Third Party Payments,41003350,1,201303,ALZHEIMERS DISEASE SOCIETY,5000.00,2013-06-06
Community Based Services,Third Party Payments,Third Party Payments,41003430,1,201303,CARELINE HOMECARE LTD,2166.66,2013-06-05
Community Based Services,Third Party Payments,Third Party Payments,41003431,1,201303,CARELINE HOMECARE LTD,2166.66,2013-06-05
Community Based Services,Third Party Payments,Third Party Payments,41003432,1,201303,CARELINE HOMECARE LTD,2166.66,2013-06-05
Community Based Services,Third Party Payments,Third Party Payments,41002106,1,201303,CARERS FEDERATION LTD,1339.05,2013-06-17
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000713,1,201303,EMMAVILLE PRIMARY SCHOOL,1000.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000713,2,201303,EMMAVILLE PRIMARY SCHOOL,1000.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000731,1,201303,TYNE & WEAR PLAY ASSOCIATION,1200.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000732,1,201303,THE THOMAS HEPBURN SCHOOL INTERNAL FUND,500.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000732,2,201303,THE THOMAS HEPBURN SCHOOL INTERNAL FUND,500.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000732,3,201303,THE THOMAS HEPBURN SCHOOL INTERNAL FUND,500.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000732,4,201303,THE THOMAS HEPBURN SCHOOL INTERNAL FUND,500.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000733,1,201303,BLAYDON RACES FESTIVAL,2000.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000736,1,201303,EDBERTS HOUSE,7051.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000761,1,201303,BILL QUAY PRE SCHOOL GROUP,800.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000762,1,201303,ARGYLE ESTATE RESIDENTS ASSOCIATION,997.50,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000763,1,201303,WHITE MERE COMMUNITY PRIMARY SCHOOL,2500.00,2013-06-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000864,1,201303,OAKFIELD INFANT SCHOOL,250.00,2013-06-28
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000864,2,201303,OAKFIELD INFANT SCHOOL,250.00,2013-06-28
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000872,1,201303,PORTOBELLO PRIMARY SCHOOL,470.00,2013-06-28
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000873,1,201303,MOUNT COMMUNITY ASSOCIATION,1800.00,2013-06-28
Community Based Services,Transport,Car Allowances,148002691,14,201303,COMMONWHEELS CIC,1.65,2013-06-07
Community Based Services,Transport,Car Allowances,148002691,59,201303,COMMONWHEELS CIC,61.92,2013-06-07
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43735274,0,201303,CHROMAZONE,460.00,2013-06-19
Community Based Services,Supplies and Services,Comms & Computing,148002844,10,201303,O2 (UK) LTD,196.17,2013-06-14
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41006297,1,201303,PHS GROUP PLC,376.07,2013-06-24
Community Based Services,Third Party Payments,Third Party Payments,41004569,1,201303,GVOC,28050.00,2013-06-07
Community Based Services,Third Party Payments,Third Party Payments,41004570,1,201303,GVOC,20463.50,2013-06-07
Community Based Services,Supplies and Services,Comms & Computing,148002844,49,201303,O2 (UK) LTD,0.60,2013-06-14
Community Based Services,Premises,Rep & Maint,41006798,2,201303,NORTHERN HOUSING CONSORTIUM LTD,26716.59,2013-06-25
Community Based Services,Premises,Rep & Maint,41006798,5,201303,NORTHERN HOUSING CONSORTIUM LTD,291.67,2013-06-25
Community Based Services,Supplies and Services,Comms & Computing,41005360,1,201303,VIRGIN MEDIA PAYMENTS LTD,355.00,2013-06-13
Community Based Services,Supplies and Services,Comms & Computing,41005340,2,201303,VODAFONE CORPORATE LTD,45.00,2013-06-14
Community Based Services,Supplies and Services,Comms & Computing,148002844,50,201303,O2 (UK) LTD,145.42,2013-06-14
Community Based Services,Premises,Rep & Maint,41003171,1,201303,ANGEL HOME IMPROVEMENTS LTD,680.00,2013-06-18
Community Based Services,Premises,Energy,41003248,1,201303,OPUS ENERGY,457.36,2013-06-26
Community Based Services,Supplies and Services,Other Running Costs,41003236,1,201303,FIVE LAMPS ORGANISATION,580.00,2013-06-26
Community Based Services,Transport,Car Allowances,148002691,18,201303,COMMONWHEELS CIC,18.60,2013-06-07
Community Based Services,Transport,Car Allowances,148002691,63,201303,COMMONWHEELS CIC,61.92,2013-06-07
Community Based Services,Supplies and Services,Comms & Computing,148002844,51,201303,O2 (UK) LTD,120.61,2013-06-14
Community Based Services,Supplies and Services,Comms & Computing,148002844,52,201303,O2 (UK) LTD,50.62,2013-06-14
Community Based Services,Supplies and Services,Other Running Costs,148002740,1,201303,MARSH LTD,28244.17,2013-06-10
