Strategic Group,Spend Level,Spend Level2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Miscellaneous Supplies,42202211,2,201011,STEVEN GREGORY DESIGN LTD,9300.00,2011-02-09
Central Services,Supplies and Services,Comms & Computing,42206450,2,201011,VIRGIN MEDIA BUSINESS,1071.95,2011-02-01
Central Services,Works,,42206509,2,201011,CHIRMARN LTD,740.00,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206513,3,201011,BRITISH TELECOM,366.66,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206513,4,201011,BRITISH TELECOM,829.19,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206513,5,201011,BRITISH TELECOM,9.00,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206523,3,201011,BRITISH TELECOM,454.43,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206523,4,201011,BRITISH TELECOM,362.55,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206523,5,201011,BRITISH TELECOM,9.00,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206526,3,201011,BRITISH TELECOM,1442.17,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206526,4,201011,BRITISH TELECOM,22.50,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206625,12,201011,ROYAL MAIL,692.53,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206625,7,201011,ROYAL MAIL,299.69,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206625,8,201011,ROYAL MAIL,199.44,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206625,9,201011,ROYAL MAIL,18.61,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206625,11,201011,ROYAL MAIL,895.65,2011-02-02
Central Services,Supplies and Services,Comms & Computing,42206625,10,201011,ROYAL MAIL,429.46,2011-02-02
Central Services,Supplies and Services,"Licenses, Housing, Fees",42207334,2,201011,NEW COLLEGE DURHAM,700.00,2011-02-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42207338,2,201011,NEW COLLEGE DURHAM,600.00,2011-02-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42207344,2,201011,CITY & GUILDS,1200.00,2011-02-04
Central Services,Works,,42207604,2,201011,PATTINSON SCIENTIFIC SERVICES,1120.00,2011-02-04
Central Services,Works,,42207614,2,201011,BUREAU VERITAS HS&E LTD,1862.00,2011-02-04
Central Services,Supplies and Services,Comms & Computing,42207736,2,201011,VIRGIN MEDIA BUSINESS,2040.00,2011-02-07
Central Services,Supplies and Services,Comms & Computing,42207742,2,201011,VIRGIN MEDIA BUSINESS,1250.00,2011-02-07
