Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Miscellaneous Supplies,42346307,3,201204,HMCS,2793.00,2012-07-02
Central Services,Supplies and Services,Miscellaneous Supplies,42346307,4,201204,HMCS,228.00,2012-07-02
Central Services,Supplies and Services,"Printing, Stationery etc",42346774,2,201204,OCE UK LTD,22312.33,2012-07-04
Central Services,Supplies and Services,"Printing, Stationery etc",42346775,2,201204,OCE UK LTD,870.00,2012-07-04
Central Services,Supplies and Services,"Printing, Stationery etc",42346776,2,201204,OCE UK LTD,1812.90,2012-07-04
Central Services,Supplies and Services,Comms & Computing,42346808,2,201204,VODAFONE CORPORATE LTD,1245.00,2012-07-05
Central Services,Transport,Public Transport and Taxi Fares,42347038,12,201204,CLICK TRAVEL LTD,116.00,2012-07-04
Central Services,Transport,Public Transport and Taxi Fares,42347038,23,201204,CLICK TRAVEL LTD,272.00,2012-07-04
Central Services,Transport,Public Transport and Taxi Fares,42347038,14,201204,CLICK TRAVEL LTD,31.10,2012-07-04
Central Services,Transport,Public Transport and Taxi Fares,42347038,16,201204,CLICK TRAVEL LTD,30.00,2012-07-04
Central Services,Transport,Public Transport and Taxi Fares,42347038,19,201204,CLICK TRAVEL LTD,199.20,2012-07-04
Central Services,Transport,Public Transport and Taxi Fares,42347038,24,201204,CLICK TRAVEL LTD,0.83,2012-07-04
Central Services,Supplies and Services,Comms & Computing,42347087,3,201204,VIRGIN MEDIA BUSINESS,12.83,2012-07-04
Central Services,Supplies and Services,Comms & Computing,42347087,4,201204,VIRGIN MEDIA BUSINESS,4670.79,2012-07-04
Central Services,Supplies and Services,Comms & Computing,42347120,2,201204,CIVICA LTD,809.92,2012-07-05
Central Services,Premises,Rep & Maint,42347492,2,201204,CLASSIC MASONRY LTD,492.51,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,11,201204,ROYAL MAIL,626.36,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,6,201204,ROYAL MAIL,156.09,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,7,201204,ROYAL MAIL,148.20,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,8,201204,ROYAL MAIL,68.73,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,12,201204,ROYAL MAIL,40.00,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,10,201204,ROYAL MAIL,337.18,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347574,9,201204,ROYAL MAIL,588.98,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,11,201204,ROYAL MAIL,513.98,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,6,201204,ROYAL MAIL,242.03,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,7,201204,ROYAL MAIL,293.92,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,8,201204,ROYAL MAIL,132.34,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,12,201204,ROYAL MAIL,50.00,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,10,201204,ROYAL MAIL,350.80,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347575,9,201204,ROYAL MAIL,882.57,2012-07-06
Central Services,Supplies and Services,"Grants, Contribs & Subs",42347583,2,201204,BARNSLEY MBC,1000.00,2012-07-06
Central Services,Third Party Payments,Third Party Payments,42347584,2,201204,NEWCASTLE & GATESHEAD INITIATIVE,12500.00,2012-07-06
Central Services,,,42347585,2,201204,TYNE & WEAR PENSION FUND,169065.96,2012-07-06
Central Services,Supplies and Services,Comms & Computing,42347949,3,201204,POSTAGE BY PHONE-PITNEY BOWES,9.00,2012-07-09
Central Services,Supplies and Services,Comms & Computing,42347949,4,201204,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2012-07-09
Central Services,Transport,Public Transport and Taxi Fares,42347950,24,201204,CLICK TRAVEL LTD,140.00,2012-07-09
Central Services,Employees,Indirect Employee Expenses,42348241,2,201204,NORTHUMBRIA UNIVERSITY,1200.00,2012-07-10
Central Services,Employees,Indirect Employee Expenses,42348260,2,201204,NORTHUMBRIA UNIVERSITY,1200.00,2012-07-10
Central Services,Supplies and Services,"Furn, Equip & Mats",42348713,2,201204,OCE FINANCE,593.04,2012-07-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",42348724,2,201204,NORTHUMBRIA UNIVERSITY,1125.00,2012-07-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",42348725,2,201204,NORTHUMBRIA UNIVERSITY,5925.00,2012-07-11
Central Services,Premises,Rent,42348729,2,201204,WATSON BURTON,850.00,2012-07-11
Central Services,Supplies and Services,Miscellaneous Supplies,42348750,2,201204,PPL,1609.08,2012-07-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",42348751,17,201204,CRIMINAL RECORDS BUREAU,396.00,2012-07-11
