Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000511,31,201802,CLICK TRAVEL LTD,167.08,2018-05-02
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000539,7,201802,CLICK TRAVEL LTD,81,2018-05-11
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000539,24,201802,CLICK TRAVEL LTD,81,2018-05-11
Office of the Chief Executive,Supplies and Services,Comms & Computing,43995169,0,201802,ESRI UK LTD,22543,2018-05-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,43990391,0,201802,NATIONAL LEAFLET COMPANY,5582.7,2018-05-24
Corporate Resources,Employees,Agency Staff,60091267,4,201802,DE POEL MANAGED SERVICES LIMITED,463.2,2018-05-02
Corporate Resources,Employees,Agency Staff,60091268,28,201802,DE POEL MANAGED SERVICES LIMITED,542.04,2018-05-02
Corporate Resources,Employees,Agency Staff,60091269,34,201802,DE POEL MANAGED SERVICES LIMITED,537.12,2018-05-09
Corporate Resources,Employees,Indirect Employee Expenses,41225972,1,201802,CIPFA,480,2018-05-24
Corporate Resources,Transport,Public Transport and Taxi Fares,300000539,22,201802,CLICK TRAVEL LTD,26.52,2018-05-11
Corporate Resources,Transport,Public Transport and Taxi Fares,300000558,15,201802,CLICK TRAVEL LTD,7,2018-05-25
Corporate Resources,Transport,Public Transport and Taxi Fares,300000558,16,201802,CLICK TRAVEL LTD,306,2018-05-25
Corporate Resources,Transport,Public Transport and Taxi Fares,300000558,19,201802,CLICK TRAVEL LTD,15,2018-05-25
Corporate Resources,Supplies and Services,Comms & Computing,43995916,0,201802,QUICKTHINK CLOUD LIMITED,3279.41,2018-05-15
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43993370,0,201802,CHARTERED INSTITUTE OF INTERNAL AUDITORS,841,2018-05-01
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43993371,0,201802,CHARTERED INSTITUTE OF INTERNAL AUDITORS,841,2018-05-01
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43993645,0,201802,CHARTERED INSTITUTE OF INTERNAL AUDITORS,841,2018-05-01
Corporate Resources,Transport,Public Transport and Taxi Fares,300000511,14,201802,CLICK TRAVEL LTD,85.25,2018-05-02
Corporate Resources,Transport,Public Transport and Taxi Fares,300000511,18,201802,CLICK TRAVEL LTD,69.42,2018-05-02
