Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
15500097,LONDON BOROUGH OF CAMDEN,544075,Grants to External Organisations,5107919045,3013434.00,2013-08-06
10006953,LONDON BOROUGH OF REDBRIDGE,544075,Grants to External Organisations,5107929952,2577316.00,2013-08-06
15500142,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5107924613,2100000.00,2013-07-26
15500077,LONDON BOROUGH OF BARKING,544075,Grants to External Organisations,5107870453,1991126.00,2013-08-05
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018323,1968564.00,2013-07-26
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5107923133,928684.00,2013-08-08
15050016,EVERSHEDS CLIENT ACCOUNT,542420,Claim Settlements,1900018304,645334.00,2013-07-24
10016904,GREENWICH LEISURE LTD,510010,Property Management Fees,5107855425,615563.81,2013-08-07
10016524,TRANSPORT FOR LONDON,542320,Shared Services Fees,5107920037,500000.00,2013-08-14
10020628,LOOK AHEAD HOUSING AND CARE,542800,Hsg-Rough Sleeping,5107908661,353063.00,2013-07-26
10006450,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107928362,300000.00,2013-07-31
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900017560,287779.00,2013-07-26
10020714,BRITISH FASHION COUNCIL,544075,Grants to External Organisations,5107918029,231420.78,2013-07-22
10020632,ST MUNGOS,542800,Hsg-Rough Sleeping,5107914848,200000.00,2013-08-07
10020632,ST MUNGOS,542800,Hsg-Rough Sleeping,5107914307,200000.00,2013-08-07
10009307,FILM LONDON LTD,544075,Grants to External Organisations,5107930410,195000.00,2013-08-07
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107938578,184984.00,2013-08-14
10017866,JACK MORTON WORLDWIDE,542330,Event Management Fee,5107918594,171000.00,2013-08-07
10002527,XEROX (UK) LTD,536300,Computer Hardware,5107907370,161524.00,2013-07-24
18000024,METROPOLITAN HOUSING TRUST LIMITED,544076,HSG Grants to Registered Providers,1900018363,142873.00,2013-08-05
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107933618,130365.00,2013-08-07
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5107906813,126626.00,2013-07-24
10020692,THE LONDON DESIGN FESTIVAL LTD,544075,Grants to External Organisations,5107930496,125000.00,2013-08-16
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107933618,122782.00,2013-08-07
10000318,UNIVERSITY COLLEGE LONDON,544075,Grants to External Organisations,5107935261,98984.63,2013-08-09
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107938578,96600.00,2013-08-14
10020632,ST MUNGOS,544075,Grants to External Organisations,5107919383,88000.00,2013-08-12
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107929207,76863.63,2013-08-01
10015256,OLYMPIC DELIVERY AUTHORITY,544075,Grants to External Organisations,5107924906,75000.00,2013-07-31
10021642,LONDON ACADEMIES ENTERPRISE TRUST,544075,Grants to External Organisations,5107924748,74597.00,2013-08-09
10022048,LONDON YOUTH SUPPORT TRUST,544075,Grants to External Organisations,5107934132,71035.52,2013-08-08
10016904,GREENWICH LEISURE LTD,510010,Property Management Fees,5107915058,67716.53,2013-08-07
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107907063,67621.14,2013-07-24
10006879,OVE ARUP & PARTNERS LTD,542060,Planning & Development Consultancy,5107897130,65737.46,2013-07-23
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5107906812,64137.00,2013-07-24
10007901,OVE ARUP & PARTNERS LTD,542000,Management & Support Consultancy,5107934045,63987.25,2013-08-14
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018367,62608.00,2013-08-06
10014816,SOFTWARE BOX LIMITED,536510,Software Maintenance,5107931415,62567.89,2013-08-07
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107933618,61866.00,2013-08-07
10015284,GLOBAL RADIO SERVICES LIMITED,540050,Marketing Services,5107924592,60000.00,2013-07-31
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900017787,52224.00,2013-07-26
10009307,FILM LONDON LTD,544075,Grants to External Organisations,5107930407,50000.00,2013-08-07
15500142,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5107923179,49792.86,2013-07-24
10020169,LONDON BOROUGH OF NEWHAM,544075,Grants to External Organisations,5107918022,47500.00,2013-07-31
10008030,LONDON BOROUGH OF TOWER HAMLETS,544075,Grants to External Organisations,5107907406,47500.00,2013-08-13
10017495,GREENWICH & DOCKLANDS FESTIVALS,544075,Grants to External Organisations,5107930428,45000.00,2013-08-13
10020632,ST MUNGOS,544075,Grants to External Organisations,5107919386,44400.00,2013-08-12
10007901,OVE ARUP & PARTNERS LTD,542060,Planning & Development Consultancy,5107918724,41516.26,2013-08-07
10017495,GREENWICH & DOCKLANDS FESTIVALS,542330,Event Management Fee,5107925660,40000.00,2013-08-01
10023401,J MCSWEENEY,536510,Software Maintenance,5107918936,40000.00,2013-07-24
10005471,GLENNY,542000,Management & Support Consultancy,5107926159,36932.50,2013-07-30
10023362,A NEW DIRECTION LONDON LTD,502020,Consultants (Contractors),5107931203,35000.00,2013-08-06
10016904,GREENWICH LEISURE LTD,550010,Contracted Services Buildings,5107918567,35000.00,2013-08-07
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107931139,34728.00,2013-08-14
10019301,THAMES REACH,544075,Grants to External Organisations,5107914507,33076.00,2013-08-07
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018400,31909.00,2013-08-12
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018391,31909.00,2013-08-08
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018390,31909.00,2013-08-08
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018389,31909.00,2013-08-08
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018388,31909.00,2013-08-08
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018387,31909.00,2013-08-08
10022213,TROWERS & HAMLINS LLP,542300,Legal Fees,5107907174,31614.38,2013-07-29
10023350,CORPORATEPAY,542355,Other Professional Fees,5107924191,30700.00,2013-07-24
10021772,SQW CONSULTING,542001,Consultancy  Evaluation Assessment,5107924874,30185.50,2013-07-26
10017690,MEDIAEDGE:CIA UK LTD,540600,Marketing & Economic Research,5107934897,30008.75,2013-08-09
12001741,2CV RESEARCH,540600,Marketing & Economic Research,5107907253,30000.00,2013-08-12
12001741,2CV RESEARCH,540600,Marketing & Economic Research,5107892430,30000.00,2013-07-30
10016707,BURGES SALMON LLP,542300,Legal Fees,5107924727,29322.34,2013-08-13
10018532,CRISTIE DATA LIMITED,536510,Software Maintenance,5107920534,29073.88,2013-07-24
10016797,DBR (LONDON) LIMITED,510000,Building Maintenance & Repairs,5107920256,27403.56,2013-07-26
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107933210,26475.83,2013-08-06
10014774,LONDON YOUTH,544075,Grants to External Organisations,5107908943,26000.00,2013-08-01
10007641,HERBERT SMITH LLP,542300,Legal Fees,5107939012,24387.93,2013-08-14
10016694,BOW TIE,530010,Equipment Repairs & Maintenance,5107934278,24358.50,2013-08-08
10019489,CAPITAL AGE FESTIVAL,544075,Grants to External Organisations,5107929401,23000.00,2013-08-01
10016797,DBR (LONDON) LIMITED,510000,Building Maintenance & Repairs,5107859999,22833.77,2013-08-14
10017470,COMPUTACENTER,536510,Software Maintenance,5107907048,21504.00,2013-07-24
10017067,PREVISTA LTD,544075,Grants to External Organisations,5107920071,21083.18,2013-07-22
10002789,GVA GRIMLEY LTD,510010,Property Management Fees,5107908741,20847.49,2013-07-29
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018369,20048.00,2013-08-06
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018368,20048.00,2013-08-06
10021753,GROUNDSWELL,544075,Grants to External Organisations,5107931132,20000.00,2013-08-05
10017313,SECTOR TREASURY SERVICES LTD,542000,Management & Support Consultancy,5107907247,20000.00,2013-08-02
10017322,SERVOCA SECURE SOLUTIONS,510020,Security Equipment,5107935973,19808.75,2013-08-12
10016707,BURGES SALMON LLP,542300,Legal Fees,5107924730,18358.00,2013-08-13
10017322,SERVOCA SECURE SOLUTIONS,510020,Security Equipment,5107935936,17973.90,2013-08-12
10016707,BURGES SALMON LLP,542300,Legal Fees,5107924731,17516.50,2013-08-13
10007641,HERBERT SMITH LLP,542300,Legal Fees,5107939012,17099.35,2013-08-14
10005622,IBM UNITED KINGDOM LIMITED,536510,Software Maintenance,5107918557,17027.00,2013-08-06
10004598,PORT OF LONDON AUTHORITY,510051,Land/Ground Rents,5107913154,16426.29,2013-08-08
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018366,16000.00,2013-08-06
10006811,ENERGY SAVING TRUST,502010,Seconded Staff - Non Group,5107917901,15961.25,2013-07-23
12000113,ANALYSYS MASON,542000,Management & Support Consultancy,5107931309,15310.00,2013-08-14
10022222,UTILITY CONNECTIONS,510056,Site Supervision,5107864203,15000.00,2013-08-13
10017690,MEDIAEDGE:CIA UK LTD,540000,Advertising,5107906780,14841.07,2013-08-01
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107909275,14429.16,2013-08-01
10020654,S&J CONSULTING LIMITED,542000,Management & Support Consultancy,5107929294,14250.00,2013-08-05
10016797,DBR (LONDON) LIMITED,510000,Building Maintenance & Repairs,5107924564,14094.19,2013-07-26
