Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
15500077,LONDON BOROUGH OF BARKING,544094,HZ CONTINGENT GRANT LA,5109506866,11300000.00,2019-04-17,HOUSING & REGENERATN,CAPITAL
10014161,LONDON BOROUGH OF EALING,544094,HZ CONTINGENT GRANT LA,5109516270,5582551.54,2019-04-16,HOUSING & REGENERATN,CAPITAL
10018835,RICHMOND UPON THAMES COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109505135,3567386.23,2019-04-17,TRANSPORT & ENVIRONM,CAPITAL
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900044710,3028886.00,2019-04-23,HOUSING,CAPITAL
10029035,MAYORS OFFICE OF POLICING AND CRIME,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109497302,2475000.00,2019-04-09,COMMUNITIES AND INTELLIGENCE,CHILDRENS AND EDUCATION SERVICES
10025485,RETROFIT WORKS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109507783,1425000.00,2019-04-02,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",CAPITAL
18000091,LB TOWER HAMLETS,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900044485,1400000.00,2019-04-09,HOUSING & REGENERATN,CAPITAL
18000119,CATALYST COMMUNITIES HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900044608,1400000.00,2019-04-01,HOUSING & REGENERATN,CAPITAL
10029320,CGI IT UK LTD,542355,OTHER PROFESSIONAL FEES,5109495393,1078935.78,2019-04-03,ELECTIONS,CENTRAL SERVICES
18000091,LB TOWER HAMLETS,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900044487,1000000.00,2019-04-09,HOUSING & REGENERATN,CAPITAL
18000371,RESI HOUSING LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900044624,952000.00,2019-04-03,HOUSING & REGENERATN,CAPITAL
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109507704,902645.75,2019-04-24,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",CAPITAL
18000091,LB TOWER HAMLETS,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900044486,850000.00,2019-04-09,HOUSING & REGENERATN,CAPITAL
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109499998,828000.02,2019-04-10,HOUSING & REGENERATN,HOUSING SERVICES
