Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10016524,Transport for London,544093,NLE - Grant pmt to TfL,CHAPS 22,17435013.70,2017-04-28,Resources,Z_CAPITAL
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054170,5425953.61,2017-04-26,Housing,Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054203,3632009.39,2017-04-26,"Development, Enterprise & Environment",Capital
10020937,London & Partners Limited,544075,Grants to External Organisations,CHAPS 40,3352000.00,2017-04-25,"Development, Enterprise & Environment",Planning services
99999999,London Championships Ltd,542500,Miscellaneous Costs,CHAPS 56,1000000.00,2017-04-28,Communities and Intelligence,Cultural & related services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109035079,920000.00,2017-04-11,Housing,Housing services
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5109020092,888014.06,2017-04-11,Housing & Land,Housing & Land Services
15500077,LONDON BOROUGH OF BARKING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109057979,811352.82,2017-04-26,Housing,Capital
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5109033579,754197.37,2017-04-04,Housing & Land,Housing & Land Services
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109038468,727334.46,2017-04-24,"Development, Enterprise & Environment",Economic Development
15500080,LONDON BOROUGH OF HOUNSLOW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109033832,700000.00,2017-04-18,"Development, Enterprise & Environment",Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054215,691383.86,2017-04-26,"Development, Enterprise & Environment",Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054213,687328.00,2017-04-26,"Development, Enterprise & Environment",Capital
10016524,TRANSPORT FOR LONDON,542300,LEGAL FEES,5109029878,642310.00,2017-04-13,Resources,Support Costs
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054207,567074.00,2017-04-26,"Development, Enterprise & Environment",Capital
10016397,WALTHAM FOREST COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109038955,453027.40,2017-04-05,"Development, Enterprise & Environment",Capital
10016397,WALTHAM FOREST COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109050585,418221.60,2017-04-13,"Development, Enterprise & Environment",Capital
10027458,AJ Gallagher,542400,General Insurance,CHAPS 11,412459.78,2017-04-10,Resources,Z_SUPPORT COSTS
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040075,362500.00,2017-04-03,Housing,Capital
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040073,353691.00,2017-04-03,Housing,Capital
10002509,BROMLEY COLLEGE OF FURTHER & HI,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109037334,352969.93,2017-04-24,"Development, Enterprise & Environment",Capital
10016524,TRANSPORT FOR LONDON,542320,SHARED SERVICES FEES,5109029877,351429.00,2017-04-13,Assembly & Secretariat,Corporate and democratic core
10022339,TFL GROUP PROPERTY,510051,LAND/GROUND RENTS,5109029319,344729.00,2017-04-03,Housing & Land,Housing & Land Services
10017217,Museum of London,544075,Grants to External Organisations,CHAPS 25,316000.00,2017-04-03,Communities and Intelligence,Cultural & related services
10017217,Museum of London,544075,Grants to External Organisations,CHAPS 28,316000.00,2017-04-18,Communities and Intelligence,Cultural & related services
10006811,ENERGY SAVING TRUST LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109020049,300000.00,2017-04-04,"Development, Enterprise & Environment",Capital
12002611,CITY OF WESTMINSTER COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109047011,290129.45,2017-04-26,"Development, Enterprise & Environment",Capital
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040085,275000.00,2017-04-03,Housing,Capital
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109035073,256472.75,2017-04-11,Housing,Housing services
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5109035067,254934.55,2017-04-05,Housing,Housing services
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040077,221850.00,2017-04-03,Housing,Capital
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109036389,208516.10,2017-04-19,"Development, Enterprise & Environment",Capital
18000051,VIRIDIAN HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040086,189000.00,2017-04-03,Housing,Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054208,186556.14,2017-04-26,"Development, Enterprise & Environment",Capital
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040074,184842.00,2017-04-03,Housing,Capital
18000043,PARAGON COMMUNITY HOUSING GROUP LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040002,175000.00,2017-04-25,Housing,Capital
10025921,LONDON SPORT LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109039034,166042.00,2017-04-03,Communities and Intelligence,Cultural & related services
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109029868,153280.47,2017-04-05,"Development, Enterprise & Environment",Economic Development
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5109035121,143179.87,2017-04-05,Housing,Housing services
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040068,140000.00,2017-04-03,Housing,Capital
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040070,140000.00,2017-04-03,Housing,Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054219,134871.94,2017-04-26,Housing,Capital
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109035075,134866.35,2017-04-11,Housing,Housing services
10007542,Zurich Municipal,542400,General Insurance,CHAPS 26,131398.69,2017-04-18,Resources,Z_SUPPORT COSTS
10006458,LONDON BOROUGH OF BRENT,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109049832,128197.50,2017-04-12,"Development, Enterprise & Environment",Capital
15500012,LONDON BOROUGH OF ISLINGTON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109023920,127004.34,2017-04-05,"Development, Enterprise & Environment",Economic Development
18000252,BIRNBECK HOUSING ASSOCIATION LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040087,126000.00,2017-04-04,Housing,Capital
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040069,122500.00,2017-04-03,Housing,Capital
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054916,120465.28,2017-04-26,"Development, Enterprise & Environment",Capital
10027458,AJ Gallagher,542400,General Insurance,CHAPS 11,112083.89,2017-04-10,Resources,Z_SUPPORT COSTS
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040081,107400.00,2017-04-03,Housing,Housing services
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040082,107400.00,2017-04-03,Housing,Housing services
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040083,107400.00,2017-04-03,Housing,Housing services
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040084,107400.00,2017-04-03,Housing,Housing services
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054217,102283.14,2017-04-26,"Development, Enterprise & Environment",Economic Development
15500145,ROYAL BOROUGH OF GREENWICH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109045410,101261.00,2017-04-10,"Development, Enterprise & Environment",Capital
10007901,OVE ARUP & PARTNERS LTD,542051,CONSULTANCY-COMMISSIONED REPORT,5109047030,95000.00,2017-04-26,"Development, Enterprise & Environment",Economic Development
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054119,94772.95,2017-04-28,"Development, Enterprise & Environment",Capital
18000043,PARAGON COMMUNITY HOUSING GROUP LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040041,94000.00,2017-04-25,Housing,Capital
10016904,GREENWICH LEISURE LTD,510000,BUILDING MAINTENANCE & REPAIRS,5109031204,87774.50,2017-04-19,Housing & Land,Housing & Land Services
10026799,LAMBETH COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109045840,86163.61,2017-04-11,"Development, Enterprise & Environment",Capital
10014157,LB of Bromley,542500,Miscellaneous Costs,CHAPS 10,85210.75,2017-04-07,Assembly & Secretariat,Central services
10004347,HM Treasury Group,542500,Miscellaneous Costs,CHAPS 20,79658.14,2017-04-19,Resources,Highways and transport services
10006799,LONDON BOROUGH OF EALING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109034927,74855.95,2017-04-11,"Development, Enterprise & Environment",Capital
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,CONSULTANCY-PROJECT MANAGEMENT,5109051104,74470.63,2017-04-25,Housing,Environmental & regulatory services
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109037743,71818.00,2017-04-03,Housing,Capital
10014157,LONDON BOROUGH OF BROMLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109030069,66766.42,2017-04-13,"Development, Enterprise & Environment",Capital
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109054120,66705.26,2017-04-28,"Development, Enterprise & Environment",Economic Development
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109054206,66638.00,2017-04-24,Housing,Capital
10027726,HEALTH EDUCATION ENGLAND,502010,SECONDED STAFF,5109044347,55772.00,2017-04-26,Communities and Intelligence,Public Health
15500148,WESTMINSTER CITY COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109029077,55229.32,2017-04-03,"Development, Enterprise & Environment",Economic Development
